source,target,POS
doyen,decano,noun
glisser,deslizar,verb
réformation,reformación,noun
Parana,Paraná,properNoun
aléatoire,aleatorio,adjective
attraction,atracción,noun
immense,inmenso,adjective
neutraliser,neutralizar,verb
Andonegi,Andonegi,properNoun
multiculturel,multicultural,adjective
au delà,allende,adverb
codification,codificación,noun
ralliement,adhesión,noun
payez à,páguese a,preposition
Akud Arnolds,Akud Arnolds,properNoun
Kabardino-Balkarie,Kabardino-Balkaria,properNoun
profiter de,aprovechar,verb
Clínica Euskalduna,Clínica Euskalduna,properNoun
Marin,Marin,properNoun
Tourfan,Turfan,properNoun
Nijni-Novgorod,Nizhni-Novgorod,properNoun
unisexualité,unisexualidad,noun
Murn,Murn,properNoun
reproducteur,reproductor,noun
lâche,cobarde,adjective
million,millón,noun
Pistolleto,Pistolleto,properNoun
Toni,Toni,properNoun
mâle,macho,noun
Babieca,Babieca,properNoun
alboka,alboka,noun
tenir pour dit et d'accord,dar por enterado y conforme,verb
examination,examinación,noun
bomber,bombear,verb
Sentjens,Sentjens,properNoun
selon que,dependiendo de que,subordinatingConjunction
improviser,improvisar,verb
Espel,Espel,properNoun
Eladio,Eladio,properNoun
antivol,antirrobo,adjective
dérober,ocultar,verb
Pellicer,Pellicer,properNoun
installateur d'antennes,antenista,noun
légèrement,livianamente,adverb
cadre,marco,noun
Mosso,Mosso,properNoun
Stalingrad,Stalingrado,properNoun
durement,duramente,adverb
Abderrahman,Abderrahman,properNoun
maison de disques,discográfica,noun
tout d'abord,primeramente,adverb
Andris,Andris,properNoun
perruque,peluca,noun
taxe sur la valeur ajoutée,impuesto sobre el valor añadido,noun
Jospin,Jospin,properNoun
Philippe II le Hardi,Felipe II el Atrevido,properNoun
qualité,calidad,noun
validité,validez,noun
remplissage,llenado,noun
Unai,Unai,properNoun
Citigroup,Citigroup,properNoun
personne,nadie,pronoun
débordement de joie,alborozo,noun
véritable,auténtico,adjective
réseau,cobertura,noun
périmètre,perímetro,noun
accorder,conceder,verb
goût,gusto,noun
chiffre,dígito,noun
vouer,consagrar,verb
révolutionnaire,revolucionario,noun
Ahmad,Ahmad,properNoun
tandis que,en tanto en cuanto,subordinatingConjunction
ambre,ámbar,noun
pension,pensión,noun
Marie-Georges,Marie-Georges,properNoun
molécule,molécula,noun
orgasme,orgasmo,noun
éthique,ético,adjective
Munreco,Munreco,properNoun
deviner,acertar,verb
Surinam,Surinam,properNoun
Maite,Maite,properNoun
valeur ajoutée,valor añadido,noun
idiomatique,idiomático,adjective
genou,rodilla,noun
la nuit,por la noche,adverb
Amane,Amane,properNoun
Legazpi,Legazpi,properNoun
Abaitúa,Abaitúa,properNoun
monnaie,moneda,noun
livraison,remesa,noun
Ambros,Ambros,properNoun
marmelade,mermelada,noun
généraliste,generalista,noun
dépistage,detección,noun
Pérou,Perú,properNoun
ibex,ibex,properNoun
bureau de poste,oficina de correos,noun
écarter,apartar,verb
Goleman,Goleman,properNoun
Aguinaga,Aguinaga,properNoun
Roncoli,Roncoli,properNoun
Banc d'Espagne,Banco de España,properNoun
Saint-Louis,Saint-Louis,properNoun
favoriser,favorecer,verb
Alexandre Farnèse,Alejandro Farnesio,properNoun
nid,nido,noun
Areitio,Areitio,properNoun
libéralité,liberalidad,noun
grenouille,rana,noun
Bhoutan,Bután,properNoun
Marilyn,Marilyn,properNoun
éditorial,editorial,adjective
respiration,respiración,noun
Blaudzun,Blaudzun,properNoun
nouveau,novedoso,adjective
sud-est,sureste,noun
groupe,plantel,noun
mer de Chine orientale,Mar de China Oriental,properNoun
deuxième,segundo,adjective
Illyrie,Iliria,properNoun
Lazkao,Lazkao,properNoun
Puig,Puig,properNoun
véhicule,vehículo,noun
discipline,disciplina,noun
pêche,pesca,noun
euro,euro,noun
badauderie,curiosidad,noun
sectarisme,sectarismo,noun
BBC,BBC,noun
de longue main,desde hace tiempo,adverb
Aqualung,Aqualung,properNoun
crucial,crucial,adjective
Ludovic,Ludovic,properNoun
pesage,pesaje,noun
rater,perder,verb
Everest,Everest,properNoun
vingtaine,veintena,noun
Aldamiz,Aldamiz,properNoun
riche,adinerado,adjective
compagne,compañera,noun
kutxaempresas,kutxaempresas,properNoun
sujet,asunto,noun
sieste,siesta,noun
vingt-neuf,veintinueve,numeral
parallèlement,paralelamente,adverb
Cuba,Cuba,properNoun
bois,bosque,noun
touron,turrón,noun
Greater Manchester,Gran Manchester,properNoun
enfermer,encerrar,verb
Ganbara,Ganbara,properNoun
protagoniste,protagonista,noun
de mon temps,en mis tiempos,adverb
Perrier,Perrier,properNoun
quota laitier,cuota láctea,noun
Bénin,Benín,properNoun
dégagé,despejado,adjective
volontaire,voluntario,noun
Txingudi,Txingudi,properNoun
Grandes Antilles,Grandes Antillas,properNoun
Monge,Monge,properNoun
embourber,atascar,verb
couler,fluir,verb
rédiger,redactar,verb
nuage,nube,noun
bloc,bloque,noun
adrénaline,adrenalina,noun
salut,salvación,noun
mauvais traitement,maltrato,noun
communiste,comunista,adjective
Extrême-Orient,Extremo Oriente,properNoun
Adriana,Adriana,properNoun
Relax,Relax,properNoun
garde,custodia,noun
Belzébuth,Belcebú,properNoun
Kingston,Kingston,properNoun
Amorós,Amorós,properNoun
hymne,himno,noun
neuf cents,novecientos,numeral
hoyInversión,hoyInversión,properNoun
Monts Cantabriques,Cordillera Cantábrica,properNoun
lavabo,cuartos de aseo,noun
incompétence,incompetencia,noun
Xénophane,Jenófanes,properNoun
EDF,EDF,properNoun
Valle de Arán,Valle de Arán,properNoun
au début,al principio,adverb
Pompée,Pompeyo,properNoun
Mikhaïl Sergueïevitch,Mijaíl Serguéyevich,properNoun
assidu,asiduo,adjective
constructif,constructivo,adjective
syndical,sindical,adjective
Takeo,Takeo,properNoun
Adarraga,Adarraga,properNoun
hippique,hípico,adjective
anniversaire,aniversario,noun
effet commercial,efecto comercial,noun
revenu fixe,renta fija,noun
promenade,paseo,noun
Zamora,Zamora,properNoun
coûteux,costoso,adjective
encourageant,esperanzador,adjective
déploiement,despliegue,noun
segmentation,segmentación,noun
tôt,temprano,adverb
apôtre,apóstol,noun
Cela,Cela,properNoun
contribution,contribución,noun
transitoirement,transitoriamente,adverb
pôle,polo,noun
radioprotection,radioprotección,noun
Volskwagen,Volskwagen,properNoun
parole,palabra,noun
Deccan,Decán,properNoun
Pays de Galles,País de Gales,properNoun
antiviolence,antiviolencia,noun
Anjou,Anjou,properNoun
rogner,recortar,verb
