propietario_noun	proprietário_noun
anticipo_noun	abono_noun
anclar_verb	ancorar_verb
monitorización_noun	monitorização_noun
lus_propernoun	lus_propernoun
estándar_adjective	regular_adjective
cobijo_noun	refúgio_noun
guardia_noun	guarda_noun
necio_adjective	néscio_adjective
rutina_noun	rotina_noun
despegar_verb	decolar_verb
desconocedor_adjective	desconhecedor_adjective
check-out_noun	check-out_noun
tranquilamente_adverb	calmamente_adverb
ligero_adjective	ligeiro_adjective
reactivación_noun	reativação_noun
a-montones_adverb	aos-montes_adverb
enemigo_noun	inimigo_noun
acoger_verb	sediar_verb
sustentablemente_adverb	sustentavelmente_adverb
hito_noun	meta_noun
seno_noun	seio_noun
rubiralta_propernoun	rubiralta_propernoun
fiera_noun	fera_noun
tiniebla_noun	treva_noun
prometido_noun	noivo_noun
indirectamente_adverb	indiretamente_adverb
guerrero_adjective	guerreiro_adjective
problemático_adjective	problemático_adjective
sonido_noun	som_noun
vanamente_adverb	em-vão_adverb
taquilla_noun	bilheteira_noun
género_noun	gênero_noun
arrogancia_noun	arrogância_noun
cariñoso_adjective	carinhoso_adjective
ventilador_noun	ventilador_noun
temprano_adjective	temporão_adjective
consistente_adjective	consistente_adjective
sombrero_noun	chapéu_noun
lanzar_verb	lançar_verb
pensión_noun	pensão_noun
sustancia_noun	substância_noun
elasticidad_noun	elasticidade_noun
dermatológico_adjective	dermatológico_adjective
chao_adverb	tchau_adverb
elemental_adjective	elementar_adjective
al-por-menor_adverb	a-varejo_adverb
infarmed_propernoun	infarmed_propernoun
mello_propernoun	mello_propernoun
valientemente_adverb	valentemente_adverb
lituania_propernoun	lituânia_propernoun
apilamiento_noun	empilhamento_noun
ovación_noun	ovação_noun
bellamente_adverb	belamente_adverb
sedimentar_verb	sedimentar_verb
configurar_verb	configurar_verb
realizar_verb	efectivar_verb
aclimatar_verb	aclimatar_verb
oriente-medio_propernoun	médio-oriente_propernoun
tal-y-como-acordamos_interjection	conforme-combinamos_interjection
arrepentir_verb	arrepender_verb
maleabilidad_noun	maleabilidade_noun
dentado_adjective	dentado_adjective
cerca-de_adverb	para-perto-de_adverb
nudo_noun	nodo_noun
arancelización_noun	tributação_noun
vicente_propernoun	vicente_propernoun
trasporte_noun	transporte_noun
empaque_noun	empacotamento_noun
astrónomo_noun	astrônomo_noun
presentar_verb	apresentar_verb
gutiérrez_propernoun	gutiérrez_propernoun
nido_noun	ninho_noun
frecuentar_verb	frequentar_verb
cuál_relativepronoun	qual_relativepronoun
salgueiro_propernoun	salgueiro_propernoun
lacra_noun	marca_noun
duplicación_noun	duplicação_noun
sabio_adjective	sábio_adjective
complemento_noun	complemento_noun
lance_noun	lance_noun
inquebrantablemente_adverb	inquebrantavelmente_adverb
sutil_adjective	subtil_adjective
rueda_noun	roda_noun
ghana_propernoun	ghana_propernoun
diseñar_verb	desenhar_verb
alpaca_noun	alpaca_noun
escariado_noun	rebaixo_noun
multifuncionalidad_noun	multifuncionalidade_noun
indebidamente_adverb	indevidamente_adverb
a-pesar_subordinatingconjunction	apesar_subordinatingconjunction
carbonizar_verb	carbonizar_verb
reciamente_adverb	rijamente_adverb
afonso_propernoun	afonso_propernoun
ca_noun	ca_noun
cardozo_propernoun	cardozo_propernoun
concretización_noun	concretização_noun
emisario_noun	emissário_noun
dosificación_noun	dosificação_noun
nobleza_noun	nobreza_noun
relvado_propernoun	relvado_propernoun
reasociar_verb	reassociar_verb
simpáticamente_adverb	simpaticamente_adverb
tallar_verb	talhar_verb
anyós_propernoun	anyós_propernoun
adjuntar_verb	anexar_verb
machacar_verb	esmagar_verb
soñar_verb	sonhar_verb
francia_propernoun	frança_propernoun
providencia_noun	providência_noun
mayoritario_adjective	majoritário_adjective
aglutinar_verb	aglutinar_verb
correcto_adjective	correto_adjective
sucesivamente_adverb	sucessivamente_adverb
defraudador_noun	fraudador_noun
artillería_noun	artilharia_noun
democratización_noun	democratização_noun
terrible_adjective	terrível_adjective
coplanar_adjective	coplanar_adjective
muy-cercano_adverb	muito-próximo_adverb
incontable_adjective	inúmero_adjective
ligar_verb	engatar_verb
túnez_propernoun	tunísia_propernoun
extraer_verb	extrair_verb
centro-hospitalario_noun	centro-hospitalar_noun
adn_noun	dna_noun
correctamente_adverb	corretamente_adverb
perezoso_adjective	preguiçoso_adjective
inducción_noun	indução_noun
acontecimiento_noun	acontecimento_noun
calefacción_noun	calefacção_noun
reponer_verb	repor_verb
fuga_noun	vazamento_noun
cantidad_noun	quantidade_noun
allí_adverb	ali_adverb
ejemplar_noun	instância_noun
debatir_verb	debater_verb
tributar_verb	tributar_verb
abreviatura_noun	abreviatura_noun
barrido_noun	varredura_noun
paramétrico_adjective	paramétrico_adjective
niño_noun	menino_noun
condicionar_verb	condicionar_verb
incidentalmente_adverb	acidentalmente_adverb
hoy-día_adverb	hoje-em-dia_adverb
presuntamente_adverb	supostamente_adverb
sobrevenir_verb	sobrevir_verb
zootécnico_adjective	zootécnico_adjective
innecesario_adjective	desnecessário_adjective
óptimamente_adverb	optimamente_adverb
cooperativismo_noun	cooperativismo_noun
categóricamente_adverb	categoricamente_adverb
semiacabado_adjective	semiacabado_adjective
banco-central-europeo_propernoun	banco-central-europeu_propernoun
abrazadera_noun	abraçadeira_noun
endogeneidad_noun	endogeneidade_noun
callar_verb	calar_verb
resguardar_verb	resguardar_verb
veintitrés_numeral	vinte-e-três_numeral
invasión_noun	invasão_noun
diccionario_noun	dicionário_noun
puerta_noun	porta_noun
portabilidad_noun	portabilidade_noun
irracional_adjective	irracional_adjective
marinamente_adverb	marinhamente_adverb
cuadragésimamente_adverb	quadragesimamente_adverb
nicolau_propernoun	nicolau_propernoun
aspiración_noun	aspiração_noun
cuenta-atrás_noun	contagem-regressiva_noun
playa_noun	praia_noun
ceñir_verb	cingir_verb
ph_noun	ph_noun
topónimo_noun	topônimo_noun
euroliga_propernoun	euroliga_propernoun
santander_propernoun	santander_propernoun
legítimamente_adverb	legitimamente_adverb
cosido_adjective	com-costura_adjective
nacientemente_adverb	nascentemente_adverb
fracaso_noun	falhanço_noun
veinticuatro_numeral	vinte-e-quatro_numeral
excusa_noun	desculpa_noun
duton_propernoun	duton_propernoun
ghazzaoui_propernoun	ghazzaoui_propernoun
oportunista_adjective	oportunista_adjective
merced_noun	graça_noun
intervenir_verb	intervir_verb
estimado_noun	prezado_noun
cobaya_noun	cobaia_noun
inflexiblemente_adverb	inflexivelmente_adverb
configuración_noun	configuração_noun
especie_noun	espécie_noun
web_noun	site_noun
condicionante_adjective	condicionante_adjective
figueiredo_propernoun	figueiredo_propernoun
suicidio_noun	suicídio_noun
gestionar_verb	gerenciar_verb
escritura_noun	escrita_noun
gipsyking_propernoun	gipsyking_propernoun
servicialmente_adverb	serviçalmente_adverb
soplar_verb	soprar_verb
reaccionar_verb	reagir_verb
autocar_noun	ônibus_noun
