source,target,POS
Omán,Oman,properNoun
gerente,gerent,noun
Nueva Caledonia,Nova Caledònia,properNoun
Enel,Enel,properNoun
Zimbabue,Zimbàbue,properNoun
escorrentía,escolament,noun
antiturco,antiturc,adjective
perfectamente,perfectament,adverb
desgraciadamente,dissortadament,adverb
bocadillo,entrepà,noun
en tanto que,en tant que,preposition
profusamente,profusament,adverb
alboroto,aldarull,noun
implacablemente,implacablement,adverb
Cocteau,Cocteau,properNoun
tomar en cuenta,tenir en compte,verb
bebida,beguda,noun
antiaéreo,antiaeri,adjective
carcelero,carceller,noun
al mismo tiempo,a l'encop,adverb
semicurado,semicurat,adjective
veneno,verí,noun
afectadamente,afectadament,adverb
escolarmente,escolarment,adverb
Strawberry Fields,Strawberry Fields,properNoun
simplificación,simplificació,noun
hipermetrópico,hipermetròpic,adjective
inimaginablemente,inimaginablement,adverb
Ankara,Ankara,properNoun
vademécum,vademècum,noun
hiperamonemia,hiperamonièmia,noun
matraz,matràs,noun
metabolizado,metabolitzat,adjective
colidir,col·lidir,verb
mitosis,mitosi,noun
glande,gland,noun
doxógrafo,doxògraf,noun
deformadamente,deformadament,adverb
aminoración,minoració,noun
diversivo,diversiu,adjective
indudablemente,indubtablement,adverb
laxante,laxant,noun
TNC,TNC,properNoun
Irak,Iraq,properNoun
copero,coper,adjective
angioneurosis,angioneurosi,noun
industrializar,industrialitzar,verb
neuroanatomista,neuroanatomista,noun
beber a chorro,beure a gallet,verb
predilección,predilecció,noun
blusa,brusa,noun
box,box,noun
verticilo,verticil,noun
espasmódico,espasmòdic,adjective
sugestivo,suggestiu,adjective
ante,ant,noun
cigala,escamarlà,noun
lo bastante,prou,adverb
narratorio,narratori,adjective
Besalduch,Besalduch,properNoun
Spiegel,Spiegel,noun
Hare Krishna,Hare Krishna,properNoun
astrosamente,matusserament,adverb
asistencialmente,assistencialment,adverb
desaventajado,en inferioritat de condicions,adjective
canuto,canó,noun
interbancariamente,interbancàriament,adverb
robusto,robust,adjective
Davydenko,Davydenko,properNoun
vicegerente,vicegerent,noun
proporcionadamente,proporcionadament,adverb
metabolismo,metabolisme,noun
exageración,exageració,noun
peregrinaje,pelegrinatge,noun
recibir un espaldarazo,consagrar,verb
remediable,remeiable,adjective
vanagloria,vanaglòria,noun
no obstante,això no obstant,adverb
admisibilidad,admissibilitat,noun
renacionalizar,renacionalitzar,verb
vencer,vèncer,verb
mercantilización,mercantilització,noun
qué,quin,adjective
qué,quin,pronoun
qué,quin,interrogativePronoun
qué,quin,adjective
qué,quin,interrogativePronoun
qué,quin,adjective
qué,quin,pronoun
qué,quin,interrogativePronoun
qué,quin,adjective
qué,quin,interrogativePronoun
fruta,fruita,noun
desasosiego,desassossec,noun
anticlerical,anticlerical,adjective
limoso,llimós,adjective
marcado,marcat,adjective
rayar,ratllar,verb
latifundista,latifundista,adjective
divisorio,divisori,adjective
refutar,refutar,verb
treinta y cinco,trenta-cinc,numeral
annus horribilis,annus horribilis,noun
aquietar,aquietar,verb
sacrificable,sacrificable,adjective
acrítico,acrític,adjective
trocánter,trocànter,noun
calefacción,calefacció,noun
cantar las verdades del barquero,cantar les veritats,verb
botijo,càntir,noun
Parmalat,Parmalat,properNoun
compensación,compensació,noun
interconexionado,interconnexió,noun
termometría,termometria,noun
apocamiento,aturament,noun
resonar,ressonar,verb
peleano,peleà,adjective
antiparlamentario,antiparlamentari,adjective
capitalismo,capitalisme,noun
cavernoso,cavernós,adjective
laboratorio,laboratori,noun
algébrico,algèbric,adjective
antisépticamente,antisèpticament,adverb
andalucista,andalusista,adjective
anegadizo,negadívol,adjective
tilde,titlla,noun
celiandés,singalès,noun
devanar,debanar,verb
comunidad,comunitat,noun
concilio de Letrán,concili del Laterà,noun
ortopédico,ortopèdic,adjective
clarinete,clarinet,noun
globalizar,globalitzar,verb
monolingüemente,unilingüement,adverb
montaña,muntanya,noun
antipersona,antipersones,adjective
hacia donde,cap a on,adverb
su señoría,sa senyoria,noun
dorador,daurador,adjective
transitoriedad,transitorietat,noun
superfluamente,supèrfluament,adverb
acrodonto,acrodont,adjective
rifirrafe,picabaralla,noun
tío,oncle,noun
mudez,mudesa,noun
complementación,complementació,noun
íbero,iber,adjective
ornitófilo,ornitòfil,adjective
Maguncia,Magúncia,properNoun
precio del dinero,preu del diner,noun
conquista,conquesta,noun
testosterona,testosterona,noun
ambivalente,ambivalent,adjective
kilovatio,quilowatt,noun
sucintamente,succintament,adverb
mitocondria,mitocondri,noun
radio,radi,noun
cautivo,captiu,adjective
bragas,calces,noun
ahondamiento,apregonament,noun
psicograma,psicograma,noun
aparte de,a part de,preposition
sin ninguna duda,sens dubte,adverb
inoportuno,inoportú,adjective
tribalismo,tribalisme,noun
estereofonía,estereofonia,noun
Séneca,Sèneca,properNoun
itinerar,itinerar,verb
setenta y nueve,setanta-nou,numeral
pasterizador,pasteuritzador,noun
neurológico,neurològic,adjective
inhumación,inhumació,noun
a buen seguro,de ben segur,adverb
condimentación,condimentació,noun
presteza,prestesa,noun
selectivamente,selectivament,adverb
tropezar,ensopegar,verb
puntualización,puntualització,noun
haitiano,haitià,adjective
calaña,mena,noun
tabicar,paredar,verb
venerablemente,venerablement,adverb
fiestero,festaire,adjective
tirafondo,tirafons,noun
maltratador,maltractador,noun
asustadizo,espantadís,adjective
traína,traïnya,noun
borato,borat,noun
vidicón,vidicó,noun
estilismo,estilisme,noun
cautiverio,captivitat,noun
durísimamente,duríssimament,adverb
isómero,isòmer,noun
tecnoética,tecnoètica,noun
reinstauración,reinstauració,noun
identitario,identitari,adjective
las seis y cuarto,les sis i quart,noun
edentado,edentat,noun
Burriana,Burriana,properNoun
robotizar,robotitzar,verb
micénico,micènic,adjective
alfombrado,encatifat,adjective
reentrenar,reentrenar,verb
arrojar,llançar,verb
falso,fals,adjective
cinegético,cinegètic,adjective
revuelo,revolada,noun
logopédico,logopèdic,adjective
ricito,rinxolet,noun
autocategorización,autocategorització,noun
escurridero,escorredor,noun
genitivo,genitiu,noun
penumbra,penombra,noun
