waiting_for_preposition_en	esperando_a_preposition_es
split_verb_en	partir_verb_es
donostia-san_sebastián_propernoun_en	donostia-san_sebastián_propernoun_es
little_adverb_en	poco_adverb_es
send_back_verb_en	devolver_verb_es
browne_propernoun_en	browne_propernoun_es
metallic_adjective_en	metálico_adjective_es
friendliness_noun_en	amabilidad_noun_es
key_noun_en	tecla_noun_es
retailer_noun_en	detallista_noun_es
depth_noun_en	profundidad_noun_es
casting_noun_en	vaciado_noun_es
derivative_noun_en	derivado_noun_es
by_train_adverb_en	en_tren_adverb_es
shopping_trolley_noun_en	carrito_de_la_compra_noun_es
just_across_preposition_en	al_otro_lado_de_preposition_es
contrive_verb_en	idear_verb_es
truman_propernoun_en	truman_propernoun_es
reach_verb_en	lograr_verb_es
pine_marten_noun_en	marta_noun_es
tactics_noun_en	táctica_noun_es
optional_adjective_en	opcional_adjective_es
nevertheless_adverb_en	no_obstante_adverb_es
windows_propernoun_en	windows_propernoun_es
burst_verb_en	estallar_verb_es
cubic_capacity_noun_en	cilindrada_noun_es
dromedary_noun_en	dromedario_noun_es
half-naked_adjective_en	semidesnudo_adjective_es
coordination_noun_en	coordinación_noun_es
journey_noun_en	viaje_noun_es
globular_adjective_en	globular_adjective_es
heavily_adverb_en	pesadamente_adverb_es
wood_noun_en	bosque_noun_es
not_adverb_en	no_adverb_es
majority_noun_en	mayoría_noun_es
feminism_noun_en	feminismo_noun_es
detail_noun_en	pormenor_noun_es
right_through_adverb_en	completamente_adverb_es
freezing_point_noun_en	punto_de_congelación_noun_es
aerodynamic_adjective_en	aerodinámico_adjective_es
marathon_noun_en	maratón_noun_es
trust_verb_en	confiar_en_verb_es
irrationality_noun_en	irracionalidad_noun_es
christmas_eve_noun_en	víspera_de_navidad_noun_es
in_common_adverb_en	en_común_adverb_es
jacobiste_adjective_en	jacobita_adjective_es
kenyan_adjective_en	keniano_adjective_es
over_my_dead_body_adverb_en	por_encima_de_mi_cadáver_adverb_es
suspense_noun_en	suspenso_noun_es
richter_propernoun_en	richter_propernoun_es
alluvial_adjective_en	aluvial_adjective_es
plaque_noun_en	placa_noun_es
wage_noun_en	sueldo_noun_es
feudalism_noun_en	feudalismo_noun_es
overall_adverb_en	en_general_adverb_es
enmity_noun_en	enemistad_noun_es
coherence_noun_en	coherencia_noun_es
slam_verb_en	cerrar_de_golpe_verb_es
millimetre_noun_en	milímetro_noun_es
harper_propernoun_en	harper_propernoun_es
tel_aviv_propernoun_en	tel_aviv_propernoun_es
more_adverb_en	más_adverb_es
con_man_noun_en	estafador_noun_es
murillo_propernoun_en	murillo_propernoun_es
benedict_vii_propernoun_en	benedicto_vii_propernoun_es
magellan_propernoun_en	magallanes_propernoun_es
madness_noun_en	locura_noun_es
building_noun_en	nave_noun_es
corvette_noun_en	corbeta_noun_es
ring_finger_noun_en	dedo_anular_noun_es
pauli_propernoun_en	pauli_propernoun_es
belonging_noun_en	pertenencia_noun_es
hematology_noun_en	hematología_noun_es
pad_verb_en	acolchar_verb_es
evocation_noun_en	evocación_noun_es
lavilla_propernoun_en	lavilla_propernoun_es
base_address_noun_en	dirección_base_noun_es
fifty_numeral_en	cinco_numeral_es
abominable_adjective_en	abominable_adjective_es
xenocrates_propernoun_en	jenócrates_propernoun_es
kosovan_adjective_en	kosovar_adjective_es
vesical_adjective_en	vesical_adjective_es
further_up_adverb_en	más_arriba_adverb_es
accessory_noun_en	accesorio_noun_es
grub_screw_noun_en	tornillo_de_fijación_noun_es
loge_noun_en	palco_noun_es
firewoman_noun_en	bombero_noun_es
disappointment_noun_en	chasco_noun_es
desecrate_verb_en	profanar_verb_es
canberra_propernoun_en	camberra_propernoun_es
keep_in_touch_verb_en	mantenerse_en_contacto_verb_es
sensitivity_noun_en	sensibilidad_noun_es
introduction_noun_en	introducción_noun_es
bishop_noun_en	alfil_noun_es
queen_sofia_propernoun_en	reina_sofía_propernoun_es
dispense_verb_en	prescindir_verb_es
civil_defence_noun_en	protección_civil_noun_es
superconductivity_noun_en	superconductividad_noun_es
sanction_verb_en	sancionar_verb_es
advanced_search_noun_en	búsqueda_avanzada_noun_es
interrelate_verb_en	interrelacionar_verb_es
striptease_noun_en	striptease_noun_es
signal_verb_en	señalar_verb_es
punch_verb_en	pegar_verb_es
feminine_adjective_en	femenino_adjective_es
lazurite_noun_en	lazurita_noun_es
publicity_board_noun_en	cartelera_noun_es
in_the_rough_adverb_en	en_bruto_adverb_es
accompany_verb_en	acompañar_verb_es
reverend_noun_en	reverendo_noun_es
argue_verb_en	discutir_verb_es
mammoth_noun_en	mamut_noun_es
fruitful_adjective_en	fructífero_adjective_es
distinguish_verb_en	distinguir_verb_es
infringement_noun_en	contravención_noun_es
delicious_adjective_en	delicioso_adjective_es
augment_verb_en	aumentar_verb_es
wink_noun_en	guiño_noun_es
statutory_adjective_en	estatutario_adjective_es
bewitch_verb_en	encantar_verb_es
delaware_propernoun_en	delaware_propernoun_es
dare_verb_en	osar_verb_es
denigratory_adjective_en	denigratorio_adjective_es
from_now_on_adverb_en	de_ahora_en_adelante_adverb_es
taming_noun_en	doma_noun_es
trace_element_noun_en	oligoelemento_noun_es
flat_adjective_en	plano_adjective_es
convince_verb_en	convencer_verb_es
survival_noun_en	supervivencia_noun_es
isosceles_adjective_en	isósceles_adjective_es
jehle_propernoun_en	jehle_propernoun_es
maser_noun_en	máser_noun_es
cubist_noun_en	cubista_noun_es
binoculars_noun_en	prismáticos_noun_es
petalite_noun_en	petalita_noun_es
on_the_brink_of_starvation_adverb_en	al_borde_de_la_inanición_adverb_es
in_other_respects_adverb_en	en_otros_aspectos_adverb_es
wisely_adverb_en	avivadamente_adverb_es
appeal_noun_en	atractivo_noun_es
existentialism_noun_en	existencialismo_noun_es
hockey_noun_en	hockey_noun_es
tropopause_noun_en	tropopausa_noun_es
hormone_noun_en	hormona_noun_es
evasion_noun_en	evasiva_noun_es
enabler_noun_en	habilitador_noun_es
government_head_noun_en	jefe_de_gobierno_noun_es
easily_adverb_en	fácilmente_adverb_es
wrap_verb_en	envolver_verb_es
patrol_noun_en	patrulla_noun_es
elitist_adjective_en	elitista_adjective_es
improvement_noun_en	mejoramiento_noun_es
release_verb_en	desprender_verb_es
store_verb_en	almacenar_verb_es
finalist_noun_en	finalista_noun_es
dye_verb_en	colorar_verb_es
meticulously_adverb_en	meticulosamente_adverb_es
blogosphere_noun_en	blogosfera_noun_es
o'rourke_propernoun_en	o'rourke_propernoun_es
whiteness_noun_en	blancura_noun_es
encounter_verb_en	encontrar_verb_es
peirce_propernoun_en	peirce_propernoun_es
consistently_adverb_en	coherentemente_adverb_es
keen_adjective_en	entusiasta_adjective_es
falklands_propernoun_en	malvinas_propernoun_es
a-400_propernoun_en	a-400_propernoun_es
erc_noun_en	erc_noun_es
occident_noun_en	occidente_noun_es
anthropophagus_adjective_en	antropófago_adjective_es
tour_of_spain_noun_en	vuelta_a_españa_noun_es
primate_noun_en	primate_noun_es
in_front_of_preposition_en	frente_a_preposition_es
after_all_adverb_en	después_de_todo_adverb_es
paving_noun_en	pavimento_noun_es
seychelles_propernoun_en	seychelles_propernoun_es
infibulation_noun_en	infibulación_noun_es
accommodation_noun_en	hospedaje_noun_es
eritrean_adjective_en	eritreano_adjective_es
filler_noun_en	relleno_noun_es
incredulity_noun_en	incredulidad_noun_es
pergola_noun_en	pérgola_noun_es
thirteen_thousand_numeral_en	trece_mil_numeral_es
periclinal_adjective_en	periclinale_adjective_es
bow_verb_en	inclinar_verb_es
teaching_spanish_as_a_foreign_language_propernoun_en	didáctica_del_español_como_lengua_extranjera_propernoun_es
reflectance_noun_en	reflectancia_noun_es
compressible_adjective_en	compresible_adjective_es
brush_verb_en	rozar_verb_es
potamology_noun_en	potamología_noun_es
amiable_adjective_en	amable_adjective_es
erode_verb_en	erosionar_verb_es
aromatherapy_noun_en	aromaterapia_noun_es
amidst_preposition_en	entre_preposition_es
spend_the_whole_day_verb_en	pasarse_todo_el_día_verb_es
internaut_noun_en	internauta_noun_es
keep_a_safe_distance_verb_en	mantener_la_distancia_de_seguridad_verb_es
remember_verb_en	recordar_verb_es
indiscernible_adjective_en	indiscernible_adjective_es
portico_noun_en	pórtico_noun_es
intraocular_adjective_en	intraocular_adjective_es
foremost_adjective_en	más_importante_adjective_es
trillion_numeral_en	billón_numeral_es
cordless_phone_noun_en	teléfono_inalámbrico_noun_es
sake_noun_en	bien_noun_es
embryology_noun_en	embriología_noun_es
participation_noun_en	participación_noun_es
manchester_city_propernoun_en	manchester_city_propernoun_es
allophone_noun_en	alófono_noun_es
bed_verb_en	engastar_verb_es
critical_point_noun_en	punto_crítico_noun_es
all_right_adverb_en	bien_adverb_es
toenail_noun_en	uña_noun_es
mastermind_verb_en	planear_verb_es
work_noun_en	labor_noun_es
nursery_noun_en	guardería_noun_es
auspice_noun_en	auspicio_noun_es
miles_better_adverb_en	mucho_mejor_adverb_es
gipuzkoan_adjective_en	guipuzcoano_adjective_es
hundred_numeral_en	cientos_numeral_es
confidently_adverb_en	confidentemente_adverb_es
on_environmental_grounds_adverb_en	por_motivos_medioambientales_adverb_es
economic_adjective_en	económico_adjective_es
bark_verb_en	ladrar_verb_es
light_adjective_en	claro_adjective_es
posterior_adjective_en	posterior_adjective_es
baptise_verb_en	bautizar_verb_es
overwhelm_verb_en	agobiar_verb_es
arm_noun_en	arma_noun_es
accredit_verb_en	acreditar_verb_es
knickers_noun_en	braga_noun_es
cantabrian_coast_noun_en	cornisa_cantábrica_noun_es
bacteriological_adjective_en	bacteriológico_adjective_es
sudan_propernoun_en	sudán_propernoun_es
bronchopulmonary_adjective_en	broncopulmonar_adjective_es
esnal_propernoun_en	esnal_propernoun_es
brisbane_propernoun_en	brisbane_propernoun_es
oil_tanker_noun_en	petrolero_noun_es
ironmongery_noun_en	ferretería_noun_es
mobile_intensive_care_unit_noun_en	uvi_móvil_noun_es
equatorial_adjective_en	ecuatorial_adjective_es
slice_noun_en	rebanada_noun_es
procter_propernoun_en	procter_propernoun_es
dwarf_noun_en	enano_noun_es
particular_area_noun_en	campo_particular_noun_es
chacón_propernoun_en	chacón_propernoun_es
magnetite_noun_en	magnetita_noun_es
needy_adjective_en	necesitado_adjective_es
exaggerate_verb_en	exagerar_verb_es
tame_verb_en	domar_verb_es
rigour_noun_en	rigor_noun_es
nuisance_noun_en	engorro_noun_es
work_out_verb_en	salir_verb_es
serpent_noun_en	serpiente_noun_es
sapphire_noun_en	zafiro_noun_es
horrifying_adjective_en	horroroso_adjective_es
explore_verb_en	explorar_verb_es
stuttering_noun_en	tartamudez_noun_es
meal_noun_en	comida_noun_es
search_engine_noun_en	motor_de_búsqueda_noun_es
naples_propernoun_en	nápoles_propernoun_es
amount_noun_en	cantidad_noun_es
ginger-haired_adjective_en	pelirrojo_adjective_es
mozart_propernoun_en	mozart_propernoun_es
dismantle_verb_en	desmantelar_verb_es
nobel_prize_noun_en	premio_nóbel_noun_es
hydromorphic_adjective_en	hidromórfico_adjective_es
user_noun_en	usuario_noun_es
temperament_noun_en	temperamento_noun_es
horn_wound_noun_en	herida_de_asta_noun_es
concede_verb_en	conceder_verb_es
out_of_preposition_en	fuera_de_preposition_es
boo_noun_en	abucheo_noun_es
architectural_adjective_en	arquitectónico_adjective_es
minkowski_propernoun_en	minkowski_propernoun_es
nature_noun_en	carácter_noun_es
myelencephalon_noun_en	mielencéfalo_noun_es
tour-guide_noun_en	guía_de_turismo_noun_es
arduous_adjective_en	arduo_adjective_es
disloyal_adjective_en	desleal_adjective_es
filigree_noun_en	filigrana_noun_es
clear_verb_en	finiquitar_verb_es
geometer_noun_en	geómetra_noun_es
allusive_adjective_en	alusivo_adjective_es
back_verb_en	respaldar_verb_es
embarrassment_noun_en	vergüenza_noun_es
gather_verb_en	congregar_verb_es
dialog_noun_en	diálogo_noun_es
ávila_propernoun_en	ávila_propernoun_es
prism_noun_en	prisma_noun_es
xylophone_noun_en	xilófono_noun_es
milá_propernoun_en	milá_propernoun_es
travelling_adjective_en	ambulante_adjective_es
priesthood_noun_en	sacerdocio_noun_es
economisedly_adverb_en	ahorradamente_adverb_es
gallop_verb_en	galopar_verb_es
ovoid_adjective_en	ovoide_adjective_es
indispensable_adjective_en	imprescindible_adjective_es
innately_adverb_en	connaturalmente_adverb_es
satirical_adjective_en	satírico_adjective_es
finalise_verb_en	finalizar_verb_es
nimble_adjective_en	ágil_adjective_es
coarse_adjective_en	tosco_adjective_es
several_determiner_en	varios_determiner_es
hitler_propernoun_en	hitler_propernoun_es
hiv_noun_en	vih_noun_es
so_much_adverb_en	tanto_adverb_es
al-qaeda_propernoun_en	al-qaeda_propernoun_es
vegetable_noun_en	hortaliza_noun_es
fourteen_numeral_en	catorce_numeral_es
fist_noun_en	puño_noun_es
admirably_adverb_en	admirablemente_adverb_es
san_francisco_propernoun_en	san_francisco_propernoun_es
arabian_noun_en	árabe_noun_es
see_verb_en	pasar_consulta_verb_es
condolence_noun_en	pésame_noun_es
be_in_force_verb_en	estar_vigente_verb_es
cruise_propernoun_en	cruise_propernoun_es
ointment_noun_en	pomada_noun_es
be_out_on_bail_verb_en	estar_en_libertad_bajo_fianza_verb_es
statue_noun_en	estatua_noun_es
podcast_noun_en	podcast_noun_es
utah_propernoun_en	utah_propernoun_es
butt_noun_en	culata_noun_es
new_jersey_propernoun_en	new_jersey_propernoun_es
thermodynamic_adjective_en	termodinámico_adjective_es
declarative_adjective_en	declarativo_adjective_es
embarrass_verb_en	avergonzar_verb_es
psychophysiologic_adjective_en	psicofisiológico_adjective_es
scatter_verb_en	desperdigar_verb_es
pass_noun_en	pase_noun_es
eleventh_determiner_en	undécimo_determiner_es
unitarianism_noun_en	unitarismo_noun_es
g_noun_en	g_noun_es
sax_noun_en	saxo_noun_es
medullary_adjective_en	medular_adjective_es
lap_verb_en	lapidar_verb_es
satisfaction_noun_en	satisfacción_noun_es
trace_noun_en	vestigio_noun_es
acetophenone_noun_en	acetofenona_noun_es
autodynamic_adjective_en	autodinámico_adjective_es
room_noun_en	habitación_noun_es
squeeze_verb_en	estrujar_verb_es
gradually_adverb_en	gradualmente_adverb_es
horticulture_noun_en	horticultura_noun_es
gps_noun_en	gps_noun_es
