source,target,POS
Talevski,Talevski,properNoun
utvrđivati,determine,verb
darivati,gift,verb
Lečevski,Lečevski,properNoun
dok,while,subordinatingConjunction
organizacija,organisation,noun
zajednica,community,noun
Nikovski,Nikovski,properNoun
hvarski,Hvar,adjective
obuzeti,absorb,verb
doista,really,adverb
gleda,look,verb
gleda,look,presentParticipleAdjective
gleda,look,verb
gleda,look,presentParticipleAdjective
glasovit,famous,adjective
objaviti,proclaim,verb
udvajati,double,verb
Irak,Iraq,properNoun
kornjača,tortoise,noun
biciklistica,cyclist,noun
strahovati,fear,verb
Zirić,Zirić,properNoun
kamatan,interest,adjective
garantovati,guarantee,verb
atentat,plot,noun
mora,nightmare,noun
preobrazba,transformation,noun
rječca,word,noun
neosjetljivo,insensitively,adverb
zaposlenost,employment,noun
zatopljivanje,warming,noun
cepelin,zeppelin,noun
travanj,April,noun
početni,initial,adjective
manevar,manoeuvre,noun
nadgledati,control,verb
uvjetnost,conditionality,noun
otici,go,verb
dug,obligation,noun
zasto,why,adverb
zasto,why,interrogativePronoun
zasto,why,adverb
zasto,why,interrogativePronoun
zemljište,land,noun
Držić,Držić,properNoun
lociranje,locating,noun
antiturski,anti-Turkish,adjective
pretsjedanje,presidency,noun
kriminalitet,crime,noun
žiri,jury,noun
radost,joy,noun
detonacija,detonation,noun
romantičan,romantic,adjective
Bavčar,Bavčar,properNoun
predsjedatelj,chairman,noun
sibirski,Siberian,adjective
Čilić,Čilić,properNoun
prozor,window,noun
notes,notebook,noun
pun,replete,adjective
saveznica,ally,noun
maksimalan,maximum,adjective
suh,stale,adjective
velik,severe,adjective
susjeda,neighbour,noun
zelen,inexperienced,adjective
predsjedateljstvo,presidency,noun
kapitalist,capitalist,noun
bjelokost,ivory,noun
dozvola,license,noun
tjerati,hunt,verb
biokemijski,biochemical,adjective
proizvodnja,production,noun
izrod,brat,noun
roban,department,adjective
stavak,movement,noun
nužda,need,noun
travanjski,Arab,adjective
produživanje,continuation,noun
većim dijelom,mostly,adverb
pogovor,afterword,noun
predati,give up,verb
Đerić,Đerić,properNoun
evaluacija,evaluation,noun
radioaktivan,radioactive,adjective
kurziv,cursive,noun
vanredan,emergency,adjective
Cvijanović,Cvijanović,properNoun
krevet,bed,noun
čuvati,protect,verb
rog,horn,noun
obračunavati,calculate,verb
urugvajski,Uruguayan,adjective
Garić,Garić,properNoun
defibrilacija,defibrillation,noun
odvajati,divide,verb
jucer,yesterday,preposition
svjetski,global,adjective
bas,bass,noun
ekonomičnost,economy,noun
ići,go,verb
stajati,stand,verb
Kosovar,Kosovar,noun
moment,time,noun
pravilo,rule,noun
traka,stripe,noun
barem,at least,adverb
emitirati,transmit,verb
lanac,chain,noun
bilješka,note,noun
savjetodavno,advisory,adjective
Dautbašić,Dautbašić,properNoun
nelegalan,illicit,adjective
nevjesta,bride,noun
tužba,charge,noun
obrezivanje,circumcision,noun
direktnost,directness,noun
označavati,mark,verb
certifikat,certificate,noun
četrdeset i petero,forty-five,numeral
Aleksandra,Aleksandra,properNoun
Miščević,Miščević,properNoun
armija,army,noun
ocjena,mark,noun
zastrašujući,intimidating,adjective
Šlišković,Šlišković,properNoun
sredozemni,Mediterranean,adjective
ekstradiran,extradited,adjective
balast,ballast,noun
ekspertni,expert,adjective
Teodorović,Teodorović,properNoun
priopćenje,statement,noun
privremen,temporary,adjective
plin,gas,noun
zavežljaj,bundle,noun
vještica,witch,noun
jedinstven,sole,adjective
odavati,reveal,verb
imendan,name day,noun
izvršitelj,performer,noun
ukaz,edict,noun
Matijašević,Matijašević,properNoun
muzički,musical,adjective
čekati,anticipate,verb
dokazati,prove,verb
prodemokratski,pro-democratic,adjective
Italija,Italy,properNoun
naučnik,scientist,noun
nedavno,recently,adverb
kip,sculpture,noun
nizbrdo,downhill,adverb
srednjoeuropski,Middle-european,adjective
formirati,form,verb
biometrijski,biometric,adjective
građanski,civic,adjective
dopisivati,correspond,verb
rotacija,rotation,noun
bujno,exuberantly,adverb
delegacija,delegation,noun
straža,sentry,noun
Ščepanović,Ščepanović,properNoun
zrakoplovstvo,aviation,noun
kvalitet,quality,noun
francij,francium,noun
siv,grey,adjective
na,on,preposition
ocjenjivati,grade,verb
Mesić,Mesić,properNoun
mišljenje,opinion,noun
free,myself,pronoun
free,myself,reflexivePersonalPronoun
glasati,vote,verb
asfalt,asphalt,noun
devetnaest,nineteen,numeral
juniorski,junior,adjective
Tolstoj,Tolstoj,properNoun
Emona,Aemona,properNoun
odnijeti,take,verb
zagađivati,pollute,verb
blogerski,blogging,adjective
Vladimir,Vladimir,properNoun
konzulat,consulate,noun
pozajmljivati,borrow,verb
klizanje,skating,noun
značenje,significance,noun
nasljeđe,legacy,noun
tužiteljica,prosecutor,noun
puzeći,crawl,verb
puzeći,crawl,presentParticipleAdjective
puzeći,crawl,verb
puzeći,crawl,presentParticipleAdjective
navrh,on the top of,preposition
praznina,void,noun
Kandić,Kandić,properNoun
pretražiti,search,verb
li,if,adverb
avioprevoznik,airline,noun
Terzić,Terzić,properNoun
Karadaku,Karadaku,properNoun
defibrilator,defibrillator,noun
linčovati,lynch,verb
tanak,slim,adjective
jugoistočni,South-eastern,adjective
tragičar,tragedian,noun
pogodba,deal,noun
spontanost,spontaneity,noun
podijeliti,give out,verb
alarm,alarm,noun
buran,turbulent,adjective
zavarivanje,electric welding,noun
Tivoli,Tivoli,properNoun
apatija,apathy,noun
detalj,detail,noun
lisabonski,Lisbon,adjective
šansa,opportunity,noun
breme,burden,noun
pokajati,repent,verb
model,pattern,noun
Ivana,Ivana,properNoun
ekonomija,economics,noun
nedostupnost,lack,noun
disidentstvo,dissidence,noun
razredni,class,adjective
zaobilaziti,bypass,verb
otplaćivati,pay off,verb
kuharica,chef,noun
pristajati,fit,verb
pozdraviti,greet,verb
prakticirati,practise,verb
prebivanje,live,verb
Piran,Piran,properNoun
metoda,method,noun
konferencija,conference,noun
jedino,only,adverb
Mitrevski,Mitrevski,properNoun
kompletiranje,completion,noun
besramno,shamelessly,adverb
ljubomora,jealousy,noun
Vasić,Vasić,properNoun
Mikulić,Mikulić,properNoun
pogreb,burial,noun
tolerirati,tolerate,verb
zaključak,finding,noun
znamenitost,fame,noun
protuturski,anti-Turkish,adjective
hipernim,hypernym,noun
gospod,god,noun
inovacijski,innovative,adjective
Draženović,Draženović,properNoun
stav,opinion,noun
urok,curse,noun
važeći,valid,adjective
red,order,noun
Stavrevski,Stavrevski,properNoun
džep,pocket,noun
sumnja,suspicion,noun
neredovit,irregular,adjective
ljepota,beauty,noun
izostavljati,omit,verb
vrijednost,worth,noun
hladan,cold,adjective
scenski,dramaturgically,adverb
mandarinski,Mandarin,adjective
kolač,cake,noun
biti,be,verb
Trbovlje,Trbovlje,properNoun
četiri,four,numeral
sazdati,make,verb
sportski klub,sports club,noun
Pastuović,Pastuović,properNoun
ohrabrivati,encourage,verb
ispostava,branch,noun
Štefka,Štefka,properNoun
seljak,peasant,noun
rano,early,adverb
protivno,contrary,adjective
ubijanje,murder,noun
nasred,in the middle of,preposition
sistem,system,noun
litica,cliff,noun
izravnost,directness,noun
doživjeti,experience,verb
Alpe,the Alps,properNoun
davanje,resistance,noun
raditi,do,verb
odnos,attitude,noun
Štajerka,Styrian,noun
Palavić,Palavić,properNoun
građanski,civil,adjective
konzorcij,consortium,noun
putovati,travel,verb
zainteresiranost,interest,noun
krumpir,potato,noun
zadovoljstvo,satisfaction,noun
Novakovski,Novakovski,properNoun
Saksoburgotski,Saksoburgotski,properNoun
prevoditi,translate,verb
rutvica,rue,noun
izdržati,endure,verb
ih,meh,interjection
Natalija,Natalija,properNoun
svemirski,space,adjective
Bjeloš,Bjeloš,properNoun
jelen,deer,noun
ratobornost,militancy,noun
Engleska,England,properNoun
Gruzija,Georgia,properNoun
logičar,logician,noun
Višković,Višković,properNoun
dolina,valley,noun
inicijativa,initiative,noun
jednosmjerna ulica,one way street,noun
objedinjenost,unity,noun
Ivanovski,Ivanovski,properNoun
članak,article,noun
Holandija,the Netherlands,properNoun
Kisić,Kisić,properNoun
dvadeset i sedmero,twenty-seven,numeral
porast,rise,noun
napredovati,advance,verb
brončan,bronze,adjective
sitematski,systematic,adjective
odgovoriti,respond,verb
procvat,blossom,noun
korejski,Korean,adjective
Samaradžić,Samaradžić,properNoun
podušje,funeral,noun
obraditi,cover,verb
Stokić,Stokić,properNoun
kalendar,calendar,noun
kotao,boiler,noun
slab,slight,adjective
predlagati,recommend,verb
Fazlić,Fazlić,properNoun
Lović,Lović,properNoun
trošenje,spending,noun
regionalan,local,adjective
rastrojstvo,derangement,noun
carinik,customs official,noun
Ikonić,Ikonić,properNoun
Subašić,Subašić,properNoun
Čanović,Čanović,properNoun
zateći,find,verb
Musović,Musović,properNoun
obožavati,admire,verb
proglašavanje,proclamation,noun
opaska,note,noun
prijem,receipt,noun
obziran,careful,adjective
vani,outside,noun
bijeda,poverty,noun
Vuksić,Vuksić,properNoun
rimokatolik,Roman Catholic,noun
okresivanje,prune,verb
zaključak,conclusion,noun
hod,gait,noun
Mitrovski,Mitrovski,properNoun
nepoštovanje,contempt,noun
svijetao,light,adjective
nego,than,coordinatingConjunction
protokol,protocol,noun
bod,point,noun
predsjednik,president,noun
Atanačković,Atanačković,properNoun
zavaravati,fool,verb
zagrtati,bury,verb
mašinski,machine,adjective
obavezno zaustavljanje,compulsory stop,noun
paleta,palette,noun
kršćanski,Christian,adjective
nadležnost,jurisdiction,noun
jarbol,mast,noun
zemljak,countryman,noun
škotski,Scottish,adjective
sedamdeset i osam,seventy-eight,numeral
vijeće,assembly,noun
lisnica,wallet,noun
konverzacija,conversation,noun
Sarić,Sarić,properNoun
korisnik,user,noun
Jocić,Jocić,properNoun
ugljik,carbon,noun
nevjerovatan,incredible,adjective
lijevati,pour,verb
Rehn,Rehn,properNoun
zvati,dial,verb
Drnovšek,Drnovšek,properNoun
Skordovski,Skordovski,properNoun
sanak,sleep,noun
ulazak,entry,noun
naredba,order,noun
besjeda,speech,noun
mogućan,potential,adjective
neznatan,insignificant,adjective
međutim,however,adverb
dogovoriti,arrange,verb
troškovnik,list of expense,noun
gusarenje,privateer,verb
razlika,gap,noun
Vukasović,Vukasović,properNoun
čim,as soon as,adverb
paradajz,tomato,noun
tiskovni,press,adjective
Sekulović,Sekulović,properNoun
pouka,moral,noun
Darwin,Darwin,properNoun
širok,large,adjective
sedamdeset,seventy,numeral
šamar,slap,noun
hitnja,hurry,noun
pljusak,shower,noun
šija,neck,noun
politika,policy,noun
dekret,decree,noun
struja,power,noun
glavni,top,adjective
bionika,bionics,noun
visina,altitude,noun
Gagovski,Gagovski,properNoun
vlada,cabinet,noun
birati,choose,verb
zajednički,common,adjective
izdanje,edition,noun
atenski,Athenian,adjective
šupljina,cavity,noun
orkan,hurricane,noun
Lozančić,Lozančić,properNoun
izlaziti,exit,verb
gospodin,gentleman,noun
vrlo,very,adverb
šum,noise,noun
vladati,rule,verb
vladati,rule,verb
pipa,faucet,noun
dirigentstvo,baton,noun
Korić,Korić,properNoun
djelovati,work,verb
malen,small,adjective
Pad,Pad,properNoun
Dragičević,Dragičević,properNoun
vakciniranje,vaccination,noun
žonglerstvo,juggling,noun
te,and,coordinatingConjunction
dovući,drag,verb
uravnotežen,balanced,adjective
klitoris,clitoris,noun
