positioner_noun	posicionador_noun
by-a-whisker_adverb	pels-pèls_adverb
nice_adjective	bo_adjective
help_verb	socórrer_verb
pujol_propernoun	pujol_propernoun
saxophonist_noun	saxofonista_noun
zone_verb	qualificar_verb
silverman_propernoun	silverman_propernoun
inequality_noun	desigualtat_noun
declination_noun	declinació_noun
timber_noun	fusta_noun
gabarron_propernoun	gabarron_propernoun
hearing_noun	vista_noun
ballmer_propernoun	ballmer_propernoun
minimise_verb	minimitzar_verb
viau_propernoun	viau_propernoun
perrine_propernoun	perrine_propernoun
lluis_propernoun	lluis_propernoun
meyer_propernoun	meyer_propernoun
windows-2000_propernoun	windows-2000_propernoun
retinaculum_noun	retinacle_noun
aluja_propernoun	aluja_propernoun
democrat_noun	demòcrata_noun
shaving_adjective	d'afaitar_adjective
paradoxically_adverb	paradoxalment_adverb
endorsement_noun	aprovació_noun
elettra_propernoun	elettra_propernoun
berry_propernoun	berry_propernoun
tightness_noun	tibantor_noun
star_noun	astre_noun
crown_noun	corona_noun
embryologist_noun	embriòleg_noun
cyberspace_noun	ciberespai_noun
ireland_propernoun	ireland_propernoun
holohedron_noun	holoedre_noun
operate_verb	operar_verb
baking-powder_noun	llevat-en-pols_noun
kuwaiti_adjective	kuwaitià_adjective
guindon_propernoun	guindon_propernoun
celide_propernoun	celide_propernoun
ppm_noun	ppm_noun
disgust_verb	repugnar_verb
marginalisation_noun	marginació_noun
zidane_propernoun	zidane_propernoun
exhibit_noun	prova_noun
paddy_propernoun	paddy_propernoun
andrada_propernoun	andrada_propernoun
familiarity_noun	familiaritat_noun
degrandpré_propernoun	degrandpré_propernoun
delimiter_noun	delimitador_noun
ariane_propernoun	ariane_propernoun
brahma_propernoun	brahma_propernoun
barrel_noun	barril_noun
martella_propernoun	martella_propernoun
erazo_propernoun	erazo_propernoun
milhomme_propernoun	milhomme_propernoun
anyone_pronoun	ningú_pronoun
manière_propernoun	manière_propernoun
mondésir_propernoun	mondésir_propernoun
bonell_propernoun	bonell_propernoun
fluet_propernoun	fluet_propernoun
have_verb	ostentar_verb
abandonment_noun	abandonament_noun
second-world-war_propernoun	primera-guerra-mundial_propernoun
mesocarp_noun	mesocarpi_noun
imperceptibly_adverb	imperceptiblement_adverb
windows-95_propernoun	windows-95_propernoun
marcelon_propernoun	marcelon_propernoun
diagonal_adjective	diagonal_adjective
fix_verb	apanyar_verb
heraldist_noun	heraldista_noun
overlapped_adjective	fullat_adjective
deaden_verb	amortir_verb
immunofluorescence_noun	immunofluorescència_noun
contrast_noun	contrast_noun
geneva_propernoun	ginebra_propernoun
sicilia_propernoun	sicilia_propernoun
pentode_noun	pèntode_noun
cryptic_adjective	críptic_adjective
migneault_propernoun	migneault_propernoun
chromite_noun	cromita_noun
pensioner_noun	pensionista_noun
wintry_adjective	hivernal_adjective
exaction_noun	exacció_noun
inexpensive_adjective	econòmic_adjective
fountain_propernoun	fountain_propernoun
patriot_noun	patriota_noun
inspired-by_adjective	inspirat-en_adjective
centrifuge_verb	centrifugar_verb
torsion_noun	torsió_noun
hundredth_adjective	centè_adjective
beniamino_propernoun	beniamino_propernoun
round_verb	arredonir_verb
celestial_adjective	celeste_adjective
badía_propernoun	badía_propernoun
danzig_propernoun	danzig_propernoun
pretty-much_adverb	bastant_adverb
object_verb	objectar_verb
amice_propernoun	amice_propernoun
parochial_adjective	parroquial_adjective
on-sale_adverb	en-venda_adverb
