source,target,POS
Ziph,Зиф,properNoun
enthusiastic,мәз-мейрам,adjective
spark,ұшқын,noun
chick,шөже,noun
motherhood,шешелік,noun
acromion,қалақша,noun
countenance,жақтыр,verb
dubbed,дубляждалған,adjective
porosity,кеуектік,noun
function,функция,noun
Gayana,Гаяна,properNoun
Ural,Урал,properNoun
vat,кеспек,noun
Aqqır,Аққыр,properNoun
Papua,Папуа,properNoun
place,белгіле,verb
roman,римдік,adjective
planing,сүргілеу,noun
Zhuzbay,Жүзбай,properNoun
enthusiasm,екпінділік,noun
timetable,график,noun
Riquelme,Рикельме,properNoun
keyboard,пернетақта,noun
Mamyr,Мамыр,properNoun
XiX,XiX,numeral
precedent,прецендент,noun
methodology,методология,noun
likely,мүмкін,adjective
loveliness,әсемдік,noun
simplification,ықшамдау,noun
sponge,ысқыш,noun
archiver,архиватор,noun
Ernest,Эрнест,properNoun
Meiramgul,Мейрамгүл,properNoun
destruction,үркіншілік,noun
lyceum,лицей,noun
lipogram,липограмма,noun
beauty,көріктілік,noun
Baibek,Байбек,properNoun
Ibni,Ібни,properNoun
camel,түйе,noun
podium,подиум,noun
humanity,шарапат,noun
radish,шалғы,noun
Baiserkeh,Байсерке,properNoun
hurricane,сотқыр,noun
importer,импорттаушы,noun
southward,оңтүстікке,adverb
oral,ауызекі,adjective
anterior,алдыңғы,adjective
bib,көкірекше,noun
Giuseppe,Джузеппе,properNoun
needlework,тігу,noun
Perizat,Перизат,properNoun
stupidity,кещелік,noun
Baltabek,Балтабек,properNoun
specific,өзгеше,adjective
soya,соя,noun
Dnepr,Днепр,properNoun
integral,интеграл,noun
urge,мәжбүр ет,verb
timetable,уақыт кестесі,noun
overthrust,эпипараклаз,noun
lacustrine,көлді,adjective
mushroom,саңырауқұлақ,noun
toothpick,тісшұқуыш,noun
scale,шкала,noun
nimble,пысық,adjective
superfluidity,жоғары ағымдық,noun
circumstance,пысықтауыш,noun
vote,дауыс бер,verb
cold,суық,adjective
packaging,ораушы,noun
paresthesia,парестезия,noun
interview,әңгіме,noun
contactable,жапсарлас,adjective
abiotic,абиотикалық,adjective
Ulugbek,Ұлықбек,properNoun
prudential,ақылдылықпен,adjective
adamant,адамантты,adjective
hum,сарсыту,noun
comparator,компаратор,noun
command,бұйрық,noun
plunge,бат,verb
Estremadura,Эштремадура,properNoun
polydimensional,полиөлшемді,adjective
rule of law,заңдық,noun
crucial,қысылшаң,adjective
tobacco,табак,noun
that is,демек,interjection
hemotherapy,гемотерапия,noun
behavior,іс-қимыл,noun
net,тор,noun
Tal,Таль,properNoun
Qazyqan,Қазықан,properNoun
criterion,критерий,noun
grain,астық,noun
economics,экономика,noun
novelistic,новелдік,adjective
fail,сорла,verb
angioma,ангиома,noun
cabin,кабина,noun
brutal,айуандық,adjective
apostle,апостол,noun
publisher,баспасөз,noun
neonazi,неонацистік,adjective
Ce,Се,properNoun
segmentation,сегменттеу,noun
sandwich,сэндвич,noun
billion,миллиард,numeral
megakaryocyte,мегакариоцит,noun
shoe,аяқ-киім,noun
obviously,сірә,interjection
mantis,дәуіт,noun
align,сәйкестір,verb
Gulsharyan,Гүлшаруан,properNoun
Kurishzhan,Құрышжан,properNoun
hypocoristic,еркелейтін,adjective
Friedrich,Фридрих,properNoun
brazilian,бразилиялық,adjective
Konrad,Конрад,properNoun
Babacan,Бабажан,properNoun
northwest,солтүстік-батыс,adverb
grinder,қайрақшы,noun
tidal,жайылма,noun
ideology,рауаят,noun
many,көптеген,pronoun
many,көптеген,determiner
many,көптеген,pronoun
many,көптеген,determiner
many,көптеген,pronoun
many,көптеген,determiner
many,көптеген,pronoun
many,көптеген,determiner
continue,жалға,verb
cumulative,кумулятивті,adjective
Ospanbek,Оспанбек,properNoun
unexpected,күтпеген,adjective
donate,сыйла,verb
bend,иіліс,noun
Baitursynov,Байтұрсынов,properNoun
organic,органикалық,adjective
extraction,шығару,noun
friendship,достық,noun
stout,мықты,adjective
gentilic,орын тұрғыны,noun
Repopulation,қайта популяция,noun
Timofeev,Тимофеев,properNoun
punctuation,пунктуация,noun
relevance,қатынас,noun
metope,метоп,noun
Bormoynaq,Бормойнақ,properNoun
unexplained,түсіндірілмеген,adjective
lossy,бәсеңдейтін,adjective
forerunner,хабаршы,noun
disagree,келіс,verb
eligible,заңды,adjective
Zarif,Зариф,properNoun
dimer,димер,noun
insect,бунақдене,noun
Zhumabekov,Жұмабеков,properNoun
Tolegen,Төлеген,properNoun
Altyntobeh,Алтынтөбе,properNoun
rack,таған,noun
welt,сыздық,noun
inheritance,мұрагерлік,noun
voltammetry,вольтамметрия,noun
Bidaykol,Бидайкөл,properNoun
crop,егін,noun
bow,иіл,verb
Bayqoja,Байқожа,properNoun
mast,діңгек,noun
prolix,көпсөзді,adjective
Boz,Боз,properNoun
rupee,рупий,noun
Sandugash,Сандуғаш,properNoun
philistinism,дүниеқорлық,noun
reservoir,сутаған,noun
thrower,лақтырушы,noun
census,санақ,noun
sort,сұрыптау,noun
phytopathology,фитопатология,noun
groan,ыңқыл,verb
arginine,аргинин,noun
inattention,зейінсіздік,noun
ritualistic,дәстүрлік,adjective
know,біл,verb
interactive,диалогті,adjective
carved,оюлы,adjective
gallium,галлий,noun
midst,түс,noun
outermost,ең алыс,adverb
Stockholm,Стокгольм,properNoun
aspiring,талапкер,noun
indifference,шеттет,verb
dedication,берілушілік,noun
curtain,перде,noun
utter,толық,adjective
impure,арам,adjective
tax,салық,noun
Undasyn,Оңдасын,properNoun
Matteo,Маттео,properNoun
Micronesia,Микронезия,properNoun
fluoride,фторид,noun
year,ұзақтық,noun
archaeology,археология,noun
efficacy,тиімділік,noun
re-reiteration,қайта реитерация,noun
wiseman,ақылгөй,noun
Bidaibek,Бидайбек,properNoun
Hasan,Хасан,properNoun
Cote d'ivoire,Кот-д'Ивуар,properNoun
apart,оқшау,adverb
smell,аңқы,verb
mistress,ханум,noun
polecat,күзен,noun
coalmine,кенқұдық,noun
print,баспаға шығар,verb
immunological,иммунологиялық,adjective
December,декабрь,noun
chivalry,серілер,noun
pen,қалам,noun
Urqimbaev,Ұрқымбаев,properNoun
authority,уәкілдік,noun
meteorology,метеорология,noun
documentary,деректі,adjective
difference,айырмашылық,noun
transaction,транзакция,noun
league,лига,noun
contrive,баста,verb
model,модель,noun
uncertainty,қорғаншақтық,noun
boiling,қайнаған,adjective
validity,қисындылық,noun
futility,бедеулік,noun
renovation,жаңалау,noun
accountability,байыпсыздық,noun
Aspantaw,Аспантау,properNoun
Sapabek,Сапабек,properNoun
ordinary,әдеттегі,adjective
freudian,фрейдисттік,adjective
Baliya,Бәлия,properNoun
Slanov,Сланов,properNoun
metachromatic,метахроматикалық,adjective
laxatives,iш жүргізетін,noun
white,ақ бояу,noun
Sint Maarten,Әулие Мартин,properNoun
harvest,егін,noun
Tsvetayev,Цветаев,properNoun
regardless,ескерусіз,adverb
ushtastir,ұштастыр,noun
Mi,Ми,properNoun
inland,іш,noun
Atna,Әтнә,properNoun
Kairbekov,Қайырбеков,properNoun
action,қимыл,noun
autobiography,ғұмырбаян,noun
antagonist,бақталас,noun
ampere,ампер,noun
ivory,піл сүйек,noun
conceptualise,түсін,verb
contractile,жиырылғыш,adjective
feasibility,жүзеге асушылық,noun
brag,мақтан,verb
patience,дегбір,noun
tomb,қабір,noun
ives,Айвз,properNoun
inviolability,мызғымастық,noun
fabric,мата,noun
sanies,сарысу,noun
plan,жоспарла,verb
feet,футтық,noun
immunodeficiency,иммунодефицит,noun
tribune,қайраткер,noun
gracious,инабаттылық,noun
adult,ересек,noun
Rebollo,Реболло,properNoun
excellent,тамаша,adjective
animality,жабайы әлем,noun
Altynsarin,Алтынсарин,properNoun
conceal,жасыр,verb
Rauan,Рауан,properNoun
treacherous,опасыз,adjective
zone,аймақ,noun
sub,сүңгуір қайық,noun
teleconferencing,телеконференция,noun
bodybuilder,культурист,noun
spine,омыртқа,noun
tag,тэг,noun
tzar,патша,noun
eligibility,жарамдылық,noun
buriat,бурят,noun
cybernetics,кибернетика,noun
sociobiology,социобиология,noun
ponder,талқыла,verb
kindergarten,балабақша,noun
hallucinogen,галлюциноген,noun
grace,рақымдылық,noun
ardent,ыстық,adjective
alpinist,альпинист,noun
Equatorial Guinea,Экваторлық Гвинея,properNoun
transplantation,трансплантация,noun
enjoy,ұнат,verb
wellbeing,жақсы,adverb
Lekanov,Леканов,properNoun
box,жәшік,noun
Rahila,Рахила,properNoun
hooped,ирек,adjective
suppose,тиіс деп болжау,verb
sortie,ұшу,noun
birefringence,қос сәуле сынушылық,noun
bibliography,библиография,noun
log,бөрене,noun
purist,пурист,noun
Shalkuyryk,Шалқұйрық,properNoun
plane,жазықтық,noun
gastric,асқазандық,adjective
Belorussia,Белорусия,properNoun
grammarian,филолог,noun
Branislav,Бранислав,properNoun
unanimously,бiрауыздан,adverb
dispose,аудар,verb
time,замана,noun
Solothurn,Золотурн,properNoun
causality,себеп,noun
foxglove,фоксглав,noun
approval,рұқсат,noun
Abdishukir,Әбдішүкір,properNoun
Timiryazev,Тимирязев,properNoun
comprehended,байыпты,adjective
bah,бах,interjection
Nurbakh,Нұрбақ,properNoun
agile,қағілез,adjective
cinematography,кино,noun
Baiborili,Байбөрілі,properNoun
goblin,гоблин,noun
proverb,мәтел,noun
Jesse,Джесси,properNoun
intermediary,бітістіруші,noun
Aram,Арам,properNoun
today,бүгін,adverb
symptomatology,симптоматика,noun
Taraz,Тараз,properNoun
conclusion,түйін,noun
Alexander,Александр,properNoun
loop,ілмек,noun
disease,дерт,noun
Mas,Мас,properNoun
fetid,сасық,adjective
Alakol,Алакөл,properNoun
evil,қиянат,noun
palatographic,палатографикалық,adjective
endosperm,эндосперм,noun
wage,ақы,noun
museum,музей,noun
unintentional,байқаусыз,adjective
spanish,испаниялық,adjective
innocuous,зиянсыз,adjective
Turanalembank,Тұранәлембанк,properNoun
acclaim,амандас,verb
Baiynkol,Байынқол,properNoun
inspection,тексеру,noun
compensate,өте,verb
secretary,хатшы,noun
intrinsically,адамзаттық,adverb
constraint,еріксіздік,noun
Kalymbaev,Қалымбаев,properNoun
hyperthermia,гипертермия,noun
great,тамаша,adjective
Beren,Берен,properNoun
Daut,Даут,properNoun
greensward,кәс,noun
labial,еріндік,adjective
subservience,жалпылдаушылық,noun
roll,орам,noun
culture,культура,noun
trial,сынақ,noun
spleen,талақ,noun
lean,еңкей,verb
quiff,кекіл,noun
Salima,Сәлима,properNoun
Aripkan,Әріпқан,properNoun
parity,тепе-теңдік,noun
neptunium,нептуний,noun
Lia,Лия,properNoun
Akseiyt,Ақсейіт,properNoun
tool,сайман,noun
manner,образ,noun
cardboard,картон,noun
commonwealth,достастық,noun
electronic,электрондық,adjective
Abay,Абай,properNoun
mummification,мумификация,noun
Kazakhstani,қазақстандық,noun
espadrille,эспадриль,noun
depend,тәуелден,verb
gallus,галл,noun
Muqambetnazar,Мұқамбетназар,properNoun
Taras,Тарас,properNoun
oversight,қадағалау,noun
processing,өңдеу,noun
midfield,жартылай қорғаушы,noun
Yrysbala,Ырысбала,properNoun
copy,көшірме,noun
mined,миналанған,adjective
horrible,қорқынышты,adjective
photoreceiver,фотоқабылдағыш,noun
garden bed,қарық,noun
price-list,бағалық,noun
tuber,түйнек,noun
feather,бетеге,noun
revitalisation,активтендіру,noun
Faiz,Фаиз,properNoun
inhabitant,мекендеуші,noun
ferry,паром,noun
signal,белгі,noun
Emilio,Эмилио,properNoun
stitched,тігілген,adjective
Santiago,Сантьяго,properNoun
sign,ғибрат,noun
ionospheric,ионосфералық,adjective
excellence,зор,noun
homily,ғақлия,noun
supplantation,стратегия,noun
Lukashenko,Лукашенко,properNoun
ingestion,тамақ қабылдау,noun
subcontract,субмердігерлік,noun
procedure,процедура,noun
antifreeze,антифриз,noun
Finley,Финли,properNoun
wisdom,данышпандық,noun
plankton,планктон,noun
fax,факс,noun
Pakistan,Пәкістан,properNoun
first,алғаш,adverb
Galina,Галина,properNoun
amidst,ара,noun
Gino,Джино,properNoun
Valentin,Валентин,properNoun
canal,канал,noun
,,comma
purity,тазалық,noun
crank,иінді,noun
hon,мәртебелік,noun
universalism,универсализм,noun
Akzhol,Ақжол,properNoun
integrity,тұтастық,noun
Gulnar,Гүлнар,properNoun
swimming pool,бассейн,noun
program,бағдарлама,noun
unresolved,шешілмеген,adjective
probability,мүмкіндік,noun
Bokey,Бөкей,properNoun
trines,үшем,noun
smell,иістілік,noun
Olympics game,Олимпиада ойындары,noun
jump over,секіріп өт,verb
gain,кіріс,noun
crime,қиянат,noun
Ayagoz,Аягөз,properNoun
fee,жарна,noun
Ari,Ари,properNoun
heterosexual,гетеросексуалды,adjective
mentally,ойша,adverb
prosecutor's office,прокуратура,noun
justify,адалда,verb
their,олар,pronoun
their,олар,personalPronoun
their,олар,pronoun
their,олар,personalPronoun
footprint,із,noun
frequently,жиі,adverb
Blagoevgrad,Благоевград,properNoun
wattled,өрілген,adjective
please,ұнат,verb
conduction,өткізушілік,noun
Zhylyoi,Жылыой,properNoun
Iberian,Пиреней,properNoun
germ,микроб,noun
Curtis,Кертис,properNoun
tumor,томпақ,noun
awake,сергек,adjective
Michelle,Мишель,properNoun
Kurakov,Кураков,properNoun
Herodotus,Геродот,properNoun
post,лауазым,noun
Nurahmetov,Нұрахметов,properNoun
Uzbekbai,Өзбекбай,properNoun
spectator,көруші,noun
set,отырғыз,verb
rationing,нормалау,noun
file,қатар,noun
advisable,дана,adjective
Zharmaganbetov,Жармағанбетов,properNoun
intranet,интранет,noun
acupuncture,инемен емдеу,noun
Rafix,Рафих,properNoun
Baybolat,Байболат,properNoun
Allan,Аллан,properNoun
environmentalist,эколог,noun
Olzhay,Олжай,properNoun
whence,қайдан,adverb
whence,қайдан,interrogativePronoun
whence,қайдан,adverb
whence,қайдан,pronoun
whence,қайдан,interrogativePronoun
whence,қайдан,adverb
whence,қайдан,interrogativePronoun
whence,қайдан,adverb
whence,қайдан,pronoun
whence,қайдан,interrogativePronoun
encode,кодта,verb
asphaltic,асфальттік,adjective
January,қаңтар,noun
Nurjamila,Нұржәмила,properNoun
plant,қондырғы,noun
assembly,ассамблея,noun
miscible,араласушы,adjective
civilization,цивилизация,noun
fleamarket,жәрмеңке,noun
McCain,Маккейн,properNoun
Zhorakhan,Жорахан,properNoun
sugar,қант,noun
Asian,азиялық,adjective
Brian,Брайан,properNoun
quantitative,сандық,adjective
Takhirzhan,Тахиржан,properNoun
Beknar,Бекнар,properNoun
forty,қырық,numeral
Balausa,Балауса,properNoun
Nizam,Низам,properNoun
note,қуатта,verb
thistle,ошаған,noun
propensity,икем,noun
somehow,олай,adverb
waiter,беруші,noun
Baysan,Байсан,properNoun
symmetry,симметрия,noun
aided,автоматтандырылған,adjective
adventurous,тәуекел,adjective
XXi,XXi,numeral
Universiade,Универсиада,noun
wedged,сына тәрізді,adjective
springboard,трамплин,noun
Nelson,Нельсон,properNoun
slump,кризис,noun
aesthetically,эстетикалы,adverb
Kamil,Кәміл,properNoun
Zhabaga,Жабағы,properNoun
Baltic,Балтық,adjective
hydride,гидрид,noun
Chavez,Чавез,properNoun
nation,халық,noun
Belgorod,Белгород,properNoun
pioneer,басқар,verb
ecophysiology,экофизиология,noun
steep,тік,adjective
journey,саяхат,noun
salad,салат,noun
Arizona,Аризона,properNoun
British,Британ,noun
bow-knot,бант,noun
linoleum,линолеум,noun
consecutive,дәйекті,adjective
alimentary,алиментарлы,adjective
sinew,сіңір,noun
defunct,айлакер,adjective
Dick,Дик,properNoun
entity,субъект,noun
scuttlebutt,дағбырт,noun
environmental,экологиялық,adjective
persistent,түпкілікті,adjective
Meg,Мег,properNoun
region,аймақ,noun
acquiesce,келіс,verb
perspicacity,қырағылық,noun
Nukenovich,Нөкенұлы,properNoun
astronomer,астроном,noun
glimpse,шұғыла,noun
Borges,Борхес,properNoun
thing,дүние,noun
Yesil,Есіл,properNoun
tactfulness,бипаздық,noun
reformer,реформалаушы,noun
toil,еңбекте,verb
regret,өкін,verb
tranquility,тыным,noun
bugbear,пәле,noun
ruby,лағыл,noun
Steph,Стеф,properNoun
consciousness,ес,noun
Bidaikol,Бидайкөл,properNoun
incredulity,сенімсіздік,noun
Omer,Омер,properNoun
computerisation,компьютеризация,noun
Selivanov,Селиванов,properNoun
tycoon,магнат,noun
gardener,баушы,noun
connect,байланыстыр,verb
assured,нығыз,adjective
Janice,Дженис,properNoun
leopard,қабылан,noun
Uzbekistan,Өзбекстан,properNoun
skill,өнерпаздық,noun
Orymbetov,Орымбетов,properNoun
individualisation,индивидуализация,noun
outright,тұспалсыз,adverb
mucilage,желім,noun
Afanasiev,Афанасьев,properNoun
Kudaibergen,Кұдайберді,properNoun
whisper,тысыр,noun
emigrate,көш,verb
opportunity,мүмкіншілік,noun
bonanza,көркею,noun
Aybar,Айбар,properNoun
upraising,көтерілім,noun
inaction,әрекетсіздік,noun
anger,ыза,noun
Styria,Стирия,properNoun
fun,думан,noun
Rubalcaba,Рубалькаба,properNoun
unicorn,жалғыз мүйіз,noun
honored,еңбегі сіңген,adjective
lint,таңғыш,noun
cosmology,космология,noun
groundless,қисынсыз,adjective
reckless,құмар,adjective
vertical,тік,adjective
powerful man,шонжар,noun
gather,тобыр,noun
mutualism,мутуализм,noun
indecent,әдепсіз,adjective
lieutenant,лейтенант,noun
countryside,ауылдық аудан,noun
availability,жарамдылық,noun
federal,федералдық,adjective
Lomova,Ломов,properNoun
violet,шегіргүл,noun
Sapargali,Сапарғали,properNoun
spiky,шошақ,adjective
Mark,Марк,properNoun
homestead,фермер аула,noun
Zhaqipkan,Жақыпқан,properNoun
Tanya,Таня,properNoun
shank,жіліншік,noun
sepia,сепия,noun
autosome,аутосома,noun
Sadyrbai,Садырбай,properNoun
primeval,жабайы,adjective
interest,мүдде,noun
zero,нөл,noun
Kyzyl Tu,Қызылту,properNoun
Abai,Абай,properNoun
theory,теория,noun
march,наурыз,noun
historiography,тарихнама,noun
bolt,бекітпе,noun
analgesia,анальгезия,noun
suspect,сезіктену,noun
calenture,тропик безгек,noun
date,күн,noun
Umit,Үміт,properNoun
Commensurable,шамалас,adjective
halter,ноқта,noun
lore,білім,noun
list,тізім,noun
Meiram,Мейрам,properNoun
benignity,адалдылық,noun
multidisciplinary,көппрофильді,adjective
rime,ұйқас,noun
inhalation,ингаляция,noun
cosmic,ғарыштық,adjective
mineral,минерал,noun
Vega,Вега,properNoun
canadian,канадтық,adjective
Laura,Лаура,properNoun
plagiarism,плагиат,noun
handshake,қол алысу,noun
oviduct,жұмыртқа жолы,noun
consistory,шіркеулік сот,noun
direction,ағым,noun
expressible,өрнектелетін,adjective
Zaire,Заир,properNoun
maize,жүгері,noun
Roman,Римдік,noun
Audi,Audi,properNoun
twelfth,он екі,numeral
diarrhea,іш өту,noun
embattled,келтірілген,adjective
Bormoinak,Бормойнақ,properNoun
connotation,қосымша мағына,noun
life,дүние,noun
Delia,Делия,properNoun
rejection,ауып,noun
formalized,нысандандырылған,adjective
old gentleman,шал,noun
Jeb,Джеб,properNoun
interuniversity,университетаралық,adjective
accumulation,жинау,noun
magnitude,мөлшер,noun
connoisseur,білгір,noun
Ikram,Икрам,properNoun
Inpex,Inpex,properNoun
diagnose,диагностикала,verb
work,жұмыс,noun
Egizen,Егізен,properNoun
exhaustion,титықтау,noun
dust,дене,noun
cargo,жүк,noun
Broadway,Бродвей,properNoun
Lewis,Льюис,properNoun
Redgrave,Редгрейв,properNoun
musculature,бұлшықет,noun
depiction,сипаттама,noun
Gappar,Ғаппар,properNoun
misalignment,жылжу,noun
latitude,кеңділік,noun
Buzachi,Бұзаушы,properNoun
Dzhanasaev,Жанасаев,properNoun
Abdibaqi,Әбдібақи,properNoun
elect,таңда,verb
variator,вариатор,noun
bulge,дөңестік,noun
lubricating,майлайтын,adjective
courage,батырлық,noun
improvisation,төкпелік,noun
genuine,нағыз,noun
landslide,сырғыма,noun
might,дәрмен,noun
disown,без,verb
friend,достым,noun
such,осындай,determiner
secessionism,сепаратизм,noun
airliner,авиалайнер,noun
simultaneity,бір мезгілдік,noun
Rashid,Рашид,properNoun
what,кім,determiner
what,кім,interrogativePronoun
what,кім,adverb
what,кім,pronoun
what,кім,determiner
what,кім,interrogativePronoun
what,кім,determiner
what,кім,interrogativePronoun
what,кім,adverb
what,кім,pronoun
what,кім,determiner
what,кім,interrogativePronoun
conjugal,жұбайлық,adjective
marine,флоттық,adjective
prophecy,пайғамбарлық,noun
genus,топ,noun
omega,омега,noun
Nurzila,Нұрзила,properNoun
shopping,сатып алу,noun
accountability,есепсіздік,noun
butterfly,көбелек,noun
inhabit,мекенде,verb
Abilkan,Әбілқан,properNoun
fibrinogen,фибриноген,noun
palpable,сезінетін,adjective
robber,тонаушы,noun
Eisenhower,Эйзенхауэр,properNoun
incoherent,үйлесімсіз,adjective
Alejo,Алехо,properNoun
solid,қатты зат,noun
and,мен,coordinatingConjunction
domesticity,отбасылық,noun
gardener,бақшашы,noun
reference,сілтеме бойынша тап,verb
numeral,сан,noun
folly,жындылық,noun
hexastyle,алтыбағаналық,adjective
descriptor,дескриптор,noun
Statvolt,статвольт,noun
expansionary,экспансиондық,adjective
joint,жым,noun
pelt,лақтыр,verb
examination,тексеріс,noun
scepter,асатаяқ,noun
Sergeyev,Сергеев,properNoun
charge,заряд,noun
Orlean,Орлеан,properNoun
liver,бауыр,noun
clang,даңғыр,noun
baby,бөпе,noun
ability,зейін,noun
encyclop,энциклопедия,noun
jurisprudential,заңтанулық,adjective
yellow,сары,adjective
form,белгілі нысанға келтір,verb
haired,шашты,adjective
soup,сорпа,noun
Jamaica,Ямайка,properNoun
indisputability,даусыздық,noun
where,қайда,adverb
where,қайда,interrogativePronoun
where,қайда,adverb
where,қайда,interrogativePronoun
where,қайда,adverb
where,қайда,interrogativePronoun
where,қайда,adverb
where,қайда,interrogativePronoun
Sviridov,Свиридов,properNoun
Shugyla,Шұғыла,properNoun
Bikum,Биқұм,properNoun
Azizqali,Әзізқали,properNoun
wonder,таң қалдыр,verb
Ulyashev,Уляшев,properNoun
Besaryk,Бесарық,properNoun
Arkaiym,Арқайым,properNoun
victory,жеңіс,noun
