source,target,POS
occupational,ocupacional,adjective
person from Lugo,lugués,noun
Beirut,Beirut,properNoun
scare,susto,noun
Latin,latín,noun
next February,o febreiro que vén,adverb
factory,factoría,noun
trap,engaiolar,verb
treasure,atesourar,verb
fellow,amigo,adjective
methodical,metódico,adjective
ocular,ocular,adjective
biosphere,biosfera,noun
bay,loureiro,noun
Charleston,Charleston,properNoun
flirt,flirtear,verb
presidency,presidencia,noun
move out,marchar,verb
practical,práctico,adjective
apparition,aparición,noun
speculation,especulación,noun
radioactivity,radioactividade,noun
badger,teixugo,noun
another,outro,pronoun
life-threatening,de perigo mortal,adjective
reliance,confianza,noun
Navaza,Navaza,properNoun
buying,comprador,adjective
oxygen,osíxeno,noun
surge ahead of,adiantar,verb
schooling,educación,noun
unblock,desbloquear,verb
Deportivo de La Coruña,Deportivo de La Coruña,properNoun
pull,estalicar,verb
suffice,abastar,verb
total,total,adverb
statesman,estadista,noun
worry,preocuparse,verb
Malaysian,malaio,adjective
Grammys,Grammys,properNoun
interposition,interposición,noun
set out,pór en marcha,verb
imperial,imperial,adjective
render Galician,galeguizar,verb
problematic,problemático,adjective
tribal,tribal,adjective
outcry,algarada,noun
emphasise,resaltar,verb
burn,queimar,verb
positive,positivo,adjective
hypothetical,hipotético,adjective
Oreja,Oreja,properNoun
necessary,necesario,adjective
program,programa,noun
lately,ultimamente,adverb
earn,gañar,verb
educational,educativo,adjective
restriction,restrición,noun
ill,doente,adjective
avarice,avaricia,noun
Lancelot du Lac,Lanzarote do Lago,properNoun
videoconference,videoconferencia,noun
casket,ataúde,noun
venerable,venerable,adjective
graduate,licenciarse,verb
die off,desaparecer,verb
Messi,Messi,properNoun
even,uniforme,adjective
natality,natalidade,noun
eighteen hundred,mil oitocentos,numeral
blunt,romo,adjective
cathedral,catedral,noun
Romania,Romania,properNoun
Alex,Alex,properNoun
get married,casar,verb
hilly,con moitos outeiros,adjective
devastate,devastar,verb
winkle,caramuxo,noun
designate,denominar,verb
indisposition,indisposición,noun
palpable,palpábel,adjective
fishing,pesca,noun
be specialised,estar especializado,verb
firm,rexo,adjective
depreciate,depreciar,verb
sentimental,sentimental,adjective
Elviña,Elviña,properNoun
enlightenment,esclarecemento,noun
course,leito,noun
alter,alterar,verb
wake up,despertar,verb
conduct,conduta,noun
flattering,adulador,adjective
contact,contactar,verb
ark,peto,noun
conflicting,oposto,adjective
organize,organizar,verb
denominator,denominador,noun
Trás-os-Montes e Alto Douro,Tras os Montes e Alto Douro,properNoun
start,inicio,noun
spider crab,centola,noun
hailstorm,saraibada,noun
be obstructive,poñer atrancos,verb
tiny,minúsculo,adjective
slaughtering,matanza,noun
nudism,nudismo,noun
aroma,aroma,noun
heave,alzar,verb
Pillado,Pillado,properNoun
flat,plano,adjective
knife,coitelo,noun
medallist,medallista,noun
Bismarck,Bismarck,properNoun
Joe,Joe,properNoun
supply,abastecemento,noun
Cuban,cubano,adjective
dash about,andar de aquí para alá,verb
New Jersey,Nova Jersey,properNoun
attempt,tentar,verb
rarity,rareza,noun
attribute,atribuír,verb
agitate,axitar,verb
snake,serpente,noun
juvenile,menor,noun
state,dictaminar,verb
shut,encerrar,verb
Jong,Jong,properNoun
overwhelm,atafegar,verb
boat,barca,noun
immediateness,inmediatez,noun
director,directivo,noun
northbound,en dirección norte,adjective
Manchester,Manchester,properNoun
platinum,platino,noun
finally,finalmente,adverb
abstention,abstención,noun
suffocate,asfixiar,verb
our,o noso,pronoun
our,o noso,possessivePronoun
our,o noso,determiner
our,o noso,possessivePronoun
our,o noso,determiner
our,o noso,pronoun
our,o noso,possessivePronoun
our,o noso,determiner
our,o noso,possessivePronoun
our,o noso,determiner
rookie,novato,adjective
extirpation,extirpación,noun
person from Pontevedra,pontevedrés,noun
brief,informar,verb
die down,diminuír,verb
medicine,medicamento,noun
fearful,temeroso,adjective
consistent,constante,adjective
speciality,especialidade,noun
appeal,apelación,noun
advance,avanzar,verb
generation,xeración,noun
tubercle,tubérculo,noun
genetically modified food,transxénico,noun
manual,manual,adjective
brass,latón,noun
constituent,constituínte,noun
lesson,lección,noun
candy,caramelo,noun
permanent,permanente,adjective
incapacitate,incapacitar,verb
stab,navallada,noun
marine,marine,noun
integrate,integrar,verb
reservation,reserva,noun
starvation,inanición,noun
squatting,en crequenas,adverb
unadulterated,non adulterado,adjective
O Rosal,O Rosal,properNoun
obstacle,obstáculo,noun
slam,batida da porta,noun
Sigmund,Sigmund,properNoun
thin,delgado,adjective
defy,desafiar,verb
Jill,Jill,properNoun
consign,consignar,verb
bomb,bomba,noun
huntsman,cazador,noun
checkpoint,posto de control,noun
controversy,controversia,noun
willingness,disposición,noun
odontology,odontoloxía,noun
deduce,deducir,verb
choral,coral,adjective
patriarch,patriarca,noun
Ephesus,Éfeso,properNoun
severe,severo,adjective
dreaded,temido,adjective
respectable,respectábel,adjective
Rexina,Rexina,properNoun
close to,perto de,adverb
competitivity,competitividade,noun
left-handed,zurdo,adjective
mythical,mítico,adjective
at every turn,cada vez,adverb
bid,intento,noun
linguist,lingüista,noun
caffeine,cafeína,noun
very much,moito,adverb
insert,inserir,verb
loudmouthed,badueiro,adjective
imputable,imputábel,adjective
prosecution,procesamento,noun
tax,trabuco,noun
convent,convento,noun
abuse,abuso,noun
silly,parvo,adjective
Pacific,Pacífico,properNoun
conviction,convicción,noun
biologist,biólogo,noun
homophobic,homofóbico,adjective
abduct,raptar,verb
liaison,aventura,noun
exchange,intercambiar,verb
African,africano,adjective
purely,puramente,adverb
minor,menor,noun
right,correcto,adjective
publisher,editor,noun
pole,poste,noun
scandalize,escandalizar,verb
G20,G20,noun
motorise,motorizar,verb
masturbation,masturbación,noun
a,un,determiner
chimaera,quimera,noun
yen,ien,noun
factory,fábrica,noun
Boeotia,Boecia,properNoun
slanted,nesgado,adjective
uneconomic,antieconómico,adjective
deal,trato,noun
Holy Seat,Santa Sé,properNoun
DJ,disc jockey,noun
repulsive,repulsivo,adjective
Comoros,Comores,properNoun
spermatozoid,espermatozoide,noun
endure,perdurar,verb
plead,alegar,verb
sandpaper,lixa,noun
procurement,procuradoría,noun
Clement I,Clemente I,properNoun
warning,amoestación,noun
Almeida,Almeida,properNoun
after,tras,preposition
farewell,despedida,noun
flower,florecer,verb
boot,bota,noun
Galician-Portuguese,galego-portugués,adjective
flat,piso,noun
awe-inspiring,impresionante,adjective
Nike,Nike,properNoun
elegant,elegante,adjective
corner,canto,noun
Calatayud,Calatayud,properNoun
heavy-duty,forte,adjective
shudder,estremecer,verb
Southampton,Southampton,properNoun
castle,castelo,noun
slave,escravo,noun
anticipate,anticipar,verb
rabies,rabia,noun
effectively,eficazmente,adverb
onion,cebola,noun
Lawton,Lawton,properNoun
cripple,inválido,noun
sending,envío,noun
bachelor,licenciado,noun
normally,normalmente,adverb
restructuring,restruturación,noun
renew,anovar,verb
curly,crespo,adjective
esteem,estima,noun
result,resultado,noun
treacherous,traizoeiro,adjective
Olympic,olimpíada,noun
confirm,confirmar,verb
lift,impulso,noun
research,investigar,verb
displace,desprazar,verb
disadvantaged,menos favorecido,adjective
range,aliñar,verb
fuzzy,rizado,adjective
shoulder,ombreiro,noun
properly,adecuadamente,adverb
overtake,adiantar,verb
Campoy,Campoy,properNoun
inadmissible,inadmisíbel,adjective
benchmark,punto de referencia,noun
Menorca,Menorca,properNoun
Soviet,soviético,adjective
parade,desfilar,verb
cloudburst,chuvieira,noun
conspire,conspirar,verb
Romania,Romanía,properNoun
show up,aparecer,verb
Wednesday,mércores,noun
little,pequeno,adjective
Bilbao,Bilbo,properNoun
cold,frío,noun
concern,preocupación,noun
Sergi,Sergi,properNoun
precise,certeiro,adjective
geopolitical,xeopolítico,adjective
since,dende,preposition
lactation,lactación,noun
geriatric,xeriátrico,adjective
motive,motivo,noun
fire,lume,noun
Yorkshire Ouse,Yorkshire Ouse,properNoun
homosexuality,homosexualidade,noun
syrup,xarope,noun
baby-sitter,aia,noun
environmentalist,ecoloxista,adjective
cleansing,limpador,adjective
match,partido,noun
lightning,lóstrego,noun
Shiite,xiíta,noun
chin,barbarote,noun
canoeist,piragüista,noun
charlatan,charlatán,noun
triangulation,triangulación,noun
glitch,fallo,noun
pull off,sacar adiante,verb
town councilor,edil,noun
register,rexistro,noun
coffee,café,noun
prefix,prefixo,noun
copy,copiar,verb
internment,internamento,noun
jab,comichón,noun
gland,glándula,noun
honest,sincero,adjective
justifiably,xustificadamente,adverb
Santiago de Compostela,Santiago de Compostela,properNoun
terrifying,aterrador,adjective
giant,xigante,adjective
confiscate,confiscar,verb
function,función,noun
accordingly,por conseguinte,subordinatingConjunction
imitate,imitar,verb
Alsa,Alsa,properNoun
spare,recambio,noun
famous,soado,adjective
peak,cumio,noun
Rob,Rob,properNoun
mother,madre,noun
discontinuous,descontinuo,adjective
occurrence,ocorrencia,noun
chronological,cronolóxico,adjective
mutiny,motín,noun
disabled,discapacitado,noun
descendent,descendente,noun
gay,gai,noun
heat,quentura,noun
eternity,eternidade,noun
retry,tentar novamente,verb
bind,obrigar,verb
erect,erixir,verb
takeover,OPA,noun
especially,en especial,adverb
Kyrgyz,kirguiz,adjective
ark,hucha,noun
water down,atenuar,verb
surface,emerxer,verb
spearhead,encabezar,verb
butterfly,bolboreta,noun
Celanova,Celanova,properNoun
coordinate,coordinar,verb
Farnsworth,Farnsworth,properNoun
myocardium,miocardio,noun
how many,canto,adjective
how many,canto,adverb
how many,canto,relativePronoun
how many,canto,pronoun
how many,canto,determiner
how many,canto,interrogativePronoun
Bournemouth,Bournemouth,properNoun
confirmation,constatación,noun
time,cronometrar,verb
Augusta,Augusta,properNoun
negotiation,xestión,noun
pendant,pendente,adjective
itself,propiamente dito,adverb
microprocessor,microprocesador,noun
insemination,inseminación,noun
interview,entrevistar,verb
excessively,para parar un tren,adverb
Aquitaine,Aquitania,properNoun
sauce,salsa,noun
Fisk,Fisk,properNoun
teaching,docente,adjective
link,vínculo,noun
good afternoon,boa tarde,interjection
Faroe Islands,Illas Feroe,properNoun
hassle,barafunda,noun
pride,orgullo,noun
technique,técnica,noun
tender,oferta,noun
prank,travesura,noun
toothpick,escarvadentes,noun
Calvinist,calvinista,noun
selfishness,egoísmo,noun
Spector,Spector,properNoun
guard,garda,noun
gadget,dispositivo,noun
exalt,enxalzar,verb
merciless,desapiadado,adjective
Indochinese,indochinés,adjective
agitated,axitado,adjective
Sucre,Sucre,properNoun
compete,competer,verb
shortage,escaseza,noun
screen,pantalla,noun
Philadelphia,Philadelphia,properNoun
humility,humildade,noun
anonymity,anonimato,noun
despair,desesperación,noun
social,social,adjective
South Caucasus,Transcaucasia,properNoun
motivate,motivar,verb
invent,inventar,verb
Vasconia,Vasconia,properNoun
Fribourg,Friburgo,properNoun
get,atinxir,verb
hierarchical,xerárquico,adjective
emphasize,salientar,verb
transaction,transacción,noun
department,departamento,noun
fond,afectuoso,adjective
throughout,por todas partes,adverb
homesickness,saudade,noun
prisoner,recluso,noun
the next December,o próximo decembro,adverb
Senegambia,Senegambia,properNoun
lively,vivo,adjective
kingdom,reino,noun
