source,target,POS
propietario,proprietário,noun
anticipo,abono,noun
cercanía,cercania,noun
anclar,ancorar,verb
cuarenta,quarenta,numeral
monitorización,monitorização,noun
Lus,Lus,properNoun
estándar,regular,adjective
cobijo,refúgio,noun
visibilidad,visibilidade,noun
exoneración,exoneração,noun
guardia,guarda,noun
necio,néscio,adjective
racionalidad,racionalidade,noun
millonariamente,milionariamente,adverb
acantilado,alcantilado,noun
rutina,rotina,noun
despegar,decolar,verb
tarjeta,cartão,noun
desconocedor,desconhecedor,adjective
check-out,check-out,noun
occidente,ocidente,noun
tríada,tríade,noun
tranquilamente,calmamente,adverb
hijo,filho,noun
ligero,ligeiro,adjective
reactivación,reativação,noun
a montones,aos montes,adverb
enemigo,inimigo,noun
acoger,sediar,verb
sustentablemente,sustentavelmente,adverb
hito,meta,noun
seno,seio,noun
Rubiralta,Rubiralta,properNoun
fiera,fera,noun
tiniebla,treva,noun
prometido,noivo,noun
indirectamente,indiretamente,adverb
a perro flaco todo son pulgas,desgraça pouca é bobagem,adverb
guerrero,guerreiro,adjective
problemático,problemático,adjective
sonido,som,noun
vanamente,em vão,adverb
represivo,repressivo,adjective
taquilla,bilheteira,noun
género,gênero,noun
dilución,diluição,noun
inmobiliaria,imobiliária,noun
arrogancia,arrogância,noun
cariñoso,carinhoso,adjective
ventilador,ventilador,noun
temprano,temporão,adjective
consistente,consistente,adjective
extruir,extruir,verb
sombrero,chapéu,noun
lanzar,lançar,verb
pareja,dupla,noun
hamaca,rede,noun
pensión,pensão,noun
sustancia,substância,noun
asentir,assentir,verb
elasticidad,elasticidade,noun
dermatológico,dermatológico,adjective
mobiliario,mobiliário,adjective
chao,tchau,adverb
clausuradamente,interditadamente,adverb
elemental,elementar,adjective
al por menor,a varejo,adverb
Infarmed,Infarmed,properNoun
Mello,Mello,properNoun
valientemente,valentemente,adverb
Lituania,Lituânia,properNoun
apilamiento,empilhamento,noun
ovación,ovação,noun
póstumamente,postumamente,adverb
bellamente,belamente,adverb
CVTelecom,CVTelecom,properNoun
sedimentar,sedimentar,verb
depresivamente,depressivamente,adverb
configurar,configurar,verb
microbiano,microbiano,adjective
realizar,efectivar,verb
aclimatar,aclimatar,verb
Oriente Medio,Médio Oriente,properNoun
