source,target,POS
egípcio,exipcio,adjective
como tu,coma ti,adverb
lavrar,labrar,verb
reativação,reactivación,noun
abordavelmente,abordabelmente,adverb
Ocidente,Occidente,properNoun
com tudo que eu tenho direito,como merezo,adverb
adjacente,adxacente,adjective
gestão,xestión,noun
captação,captación,noun
vegetação,vexetación,noun
intervenção,intervención,noun
inteirar,informar,verb
presumivelmente,presuntamente,adverb
secundário,secundario,adjective
cadastrar,catastrar,verb
encurtar,acurtar,verb
desprezivelmente,desprezablemente,adverb
evitável,evitábel,adjective
Outono,outono,noun
percussão,percusión,noun
sondagem,sondaxe,noun
rádio,radio,noun
zelar,celar,verb
cheia,chea,noun
remeter,remitir,verb
notavelmente,notabelmente,adverb
espelho,espello,noun
frequentar,frecuentar,verb
Director-Geral,Director Xeral,properNoun
assiduamente,asiduamente,adverb
subsídio,subsidio,noun
profecia,profecía,noun
só,só,adjective
interminavelmente,interminablemente,adverb
hierarquia,xerarquía,noun
apesar de que,a pesar de que,subordinatingConjunction
inteligente,intelixente,adjective
de boa vontade,de boa gana,adverb
insoluvelmente,insolublemente,adverb
noturnamente,nocturnamente,adverb
incompatível,incompatible,adjective
enfeitiçar,enfeitizar,verb
estátua,estatua,noun
adopção,adopción,noun
almoço,xantar,noun
mão,man,noun
encolher,encoller,verb
agradável,agradábel,adjective
arrematar,rematar,verb
trepadeira,enredadeira,noun
empregado doméstico,empregado do fogar,noun
craque,crac,noun
deslocação,traslado,noun
objetivo,obxectivo,adjective
sério,serio,adjective
tensão,tensión,noun
congénere,conxénere,noun
relógio,reloxo,noun
vós,vosoutros,pronoun
contestavelmente,contestablemente,adverb
otimização,optimización,noun
agourento,agoirento,adverb
ontem à noite,onte á noite,adverb
apalpar,palpar,verb
clique,clic,noun
rentavelmente,rentabelmente,adverb
camionista,camioneiro,noun
senha,sinal,noun
inegavelmente,innegabelmente,adverb
Vice-presidência,Vicepresidencia,properNoun
batalha,batalla,noun
estabelecer,establecer,verb
editora,editorial,noun
salário,salario,noun
Secretaria-Geral,Secretaría Xeral,properNoun
inflamavelmente,inflamabelmente,adverb
teia de aranha,tea de araña,noun
actualização,actualización,noun
jovialmente,xovialmente,adverb
gostar de si próprio,gustar de si propio,verb
fumante,fumeante,adjective
comitê,comité,noun
preferência,preferencia,noun
milhão,millón,numeral
pelo jeito,ao parecer,subordinatingConjunction
semelhantemente,semellantemente,adverb
encarregar,encargar,verb
pesquisar,pescudar,verb
anfíbio,anfibio,adjective
agressor,agresor,noun
rotação,rotación,noun
basquete,baloncesto,noun
cair,caer,verb
lado a lado,cóbado con cóbado,adverb
frente,fronte,noun
sensível,sensíbel,adjective
emissário,emisario,noun
desemprego,paro,noun
biomassa,biomasa,noun
deixar de fóra,deixar fóra,verb
viável,viable,adjective
fluir,fluír,verb
troca,troco,noun
antessala,antesala,noun
abominavelmente,abominabelmente,adverb
flamejantemente,flamexantemente,adverb
judiciosamente,xudiciosamente,adverb
vassalo,vasalo,noun
cirurgicamente,cirurxicamente,adverb
imprescindivelmente,imprescindibelmente,adverb
ir ao cabeleireiro,ir cortar o pelo,verb
seio,seo,noun
certo,correcto,adjective
desejar,desexar,verb
contágio,contaxio,noun
bilheteira,despacho de billetes,noun
desempenhar,desempeñar,verb
rendível,rendíbel,adjective
adotar,adoptar,verb
apêndice,apéndice,noun
mensal,mensual,adjective
vinte e três,vinte e tres,numeral
composição,composición,noun
lesão,lesión,noun
coragem,coraxe,noun
recanto,curruncho,noun
conseqüentemente,consecuentemente,adverb
abadia,abadía,noun
ráquis,raque,noun
erosão,erosión,noun
estudiosamente,estudosamente,adverb
hoje,hoxe,adverb
sujeitar,sujeitado,adjective
exigência,esixencia,noun
valoração,valoración,noun
doravante,de agora en diante,adverb
fuzil,fusil,noun
às cegas,ás cegas,adverb
depressivamente,depresivamente,adverb
atrativo,atractivo,noun
conceber,concibir,verb
surgir,xurdir,verb
penitenciário,penitenciario,adjective
trigêmeo,trixemelgo,noun
velhice,vellez,noun
sujeitadoramente,suxeitadoramente,adverb
licença,licenza,noun
fêtão,fento,noun
variavelmente,variabelmente,adverb
cocinha,cociña,noun
reforço,reforzo,noun
deportação,deportación,noun
porta-voz,voceiro,noun
geralmente,xeralmente,adverb
pelo que respeita,polo que respecta,adverb
privação,privación,noun
isoladamente,illadamente,adverb
inteligentemente,intelixentemente,adverb
espessar,espesar,verb
tabu,tabú,noun
menina,cativa,noun
desaconselhar,desaconsellar,verb
terramoto,terremoto,noun
remessa,remesa,noun
oitenta e um,oitenta e un,numeral
hotelaria,hostalería,noun
resplendor,resplandor,noun
alfândega,alfándega,noun
presidente da Câmara,alcalde,noun
estupro,violación,noun
campeão,campión,noun
na contramão,a contramán,adverb
possuir,posuír,verb
porta-voz,portavoz,noun
biologicamente,bioloxicamente,adverb
infravermelhamente,infravermellamente,adverb
café da manhã,almorzo,noun
compra e venda,compravenda,noun
fração,fracción,noun
circuito,circuíto,noun
sobretudo,abrigo,noun
pronúncia,pronunciación,noun
reunião,xuntanza,noun
cabeça de vento,cabeza de vento,adverb
mediação,mediación,noun
subsequentemente,subsecuentemente,adverb
grosseiro,groseiro,adjective
serviçalmente,servizalmente,adverb
empresas-chave,empresas clave,noun
Maomé,Mahoma,properNoun
conduzir,conducir,verb
alergênico,alérxico,adjective
dezassete,dezasete,numeral
compassivo,compasivo,adjective
de facto,de feito,adverb
candidato,demandante,noun
inalação,inhalación,noun
protetorado,protectorado,noun
inclinação,inclinación,noun
grama,gramo,noun
germânico,xermánico,adjective
tão,tan,adverb
inteligivelmente,intelixibelmente,adverb
nervosismo,nerviosismo,noun
agressivo,agresivo,adjective
social-democrata,socialdemócrata,adjective
Milão,Milán,properNoun
sensação,sensación,noun
desempregado,parado,noun
falhar,fallar,verb
vertigem,vertixe,noun
criação,crianza,noun
visível,visíbel,adjective
remarcavelmente,remarcablemente,adverb
fantoche,monicreque,noun
conferir,revisar,verb
missa,misa,noun
esvaziar,baldeirar,verb
solicitação,solicitude,noun
precisão,precisión,noun
documentário,documental,noun
lota,lonxa,noun
bens de equipamento,bens de equipo,noun
empregado de mesa,camareiro,noun
detecção,detección,noun
ganhar,gañar,verb
movediçamente,movedizamente,adverb
sensível,sensible,adjective
assombroso,asombroso,adjective
imperceptivelmente,imperceptibelmente,adverb
no final de,ó final de,preposition
cliente,cliente,noun
infreqüente,infrecuente,adjective
quarenta e seis,corenta e seis,numeral
ourensão,ourensán,adjective
nérveo,nervioso,adjective
meia-noite,medianoite,noun
augúrio,agoiro,noun
Estados Unidos da Ámerica,Estados Unidos de Ámerica,noun
bombardeio,bombardeo,noun
aparecimento,aparición,noun
algum,algún,pronoun
algum,algún,determiner
polêmica,polémica,noun
a varejo,polo miúdo,adverb
munição,munición,noun
nostalgicamente,nostalxicamente,adverb
variavelmente,variablemente,adverb
registo,rexistro,noun
emergente,emerxente,adjective
piscar,chiscar,verb
corrida,carreira,noun
tampa,tapón,noun
pronunciação,pronunciamento,noun
Conjuntivo,Subxuntivo,noun
comparavelmente,comparabelmente,adverb
exclusão,exclusión,noun
margem,marxe,noun
cinquenta,cincuenta,numeral
gravação,gravación,noun
incrível,incríbel,adjective
imperecível,imperecedoiro,adjective
voluvelmente,volublemente,adverb
contundência,contundencia,noun
peje,pudor,noun
sonhar,soñar,verb
acompanhante,acompañante,noun
saudavelmente,saudabelmente,adverb
inexoravelmente,inexorabelmente,adverb
céu,ceo,noun
ouvido,oído,noun
evidência,evidencia,noun
ocidente,occidente,noun
exoneração,exoneración,noun
mulher,muller,noun
requerer,requirir,verb
parente,parente,noun
disponível,dispoñible,adjective
em ligeira queda,en lixeira baixa,adverb
cujo,cuxo,relativePronoun
escasso,escaso,adjective
injusto,inxusto,adjective
admissível,admisible,adjective
combinar com,quedar con,verb
próximo de,próximo a,preposition
ânsia,ansia,noun
somente,soamente,adverb
até,deica,preposition
alergénico,alérxico,adjective
Saragoça,Zaragoza,properNoun
avanço,avance,noun
biogeográfico,bioxeográfico,adjective
prazer,pracer,noun
EFE,Efe,properNoun
que eu,ca min,adverb
massacre,masacre,noun
fevereiro,febreiro,noun
quilha,quilla,noun
escândalo,escándalo,noun
delícia,delicia,noun
caminhão,camión,noun
gerador,xerador,noun
terrível,terríbel,adjective
câmara municipal,alcaldía,noun
influência,influencia,noun
nevralgicamente,neuralxicamente,adverb
autodidata,autodidacta,noun
traduzir para o,traducir ao,verb
inflação,inflación,noun
inquérito,enquisa,noun
género,xénero,noun
astúcia,astucia,noun
amigavelmente,amigablemente,adverb
renovável,renovábel,adjective
exactidão,exactitude,noun
estuário,estuario,noun
acadêmico,académico,adjective
inexplicavelmente,inexplicabelmente,adverb
folga,descanso,noun
agachar,agochar,verb
sorteio,sorteo,noun
prefeito,prefecto,noun
quinquénio,quinquenio,noun
parcimônia,parsimonia,noun
vascão,vasco,noun
automóvel,automóbil,noun
insuportável,insoportable,adjective
foice,fouce,noun
curavelmente,curabelmente,adverb
manjerico,alfábega,noun
perguntar,preguntar,verb
transfronteiriço,transfronteirizo,adjective
divulgador,divulgativo,adjective
sem igual,sen igual,adverb
papai,papá,noun
melancolia,melancolía,noun
enclausurar,recluír,verb
viável,viábel,adjective
estavelmente,estabelmente,adverb
zelosamente,celosamente,adverb
neurônio,neurona,noun
atração,atracción,noun
marinhamente,mariñamente,adverb
quadrado,cadrado,adjective
negócio,negocio,noun
governadoramente,gobernadoramente,adverb
escolha,escolla,noun
inabalavelmente,inabalabelmente,adverb
modéstia,modestia,noun
atuação,actuación,noun
desmaiar,esvaecer,verb
caminhante,camiñante,adjective
mercadoria,mercancía,noun
infortúnio,infortunio,noun
preço,prezo,noun
rugir,ruxir,verb
truque,truco,noun
reconciliação,reconciliación,noun
tontura,mareo,noun
imóvel,inmóbil,adjective
coletivamente,colectivamente,adverb
ao mesmo tempo em que,ao mesmo tempo en que,subordinatingConjunction
conflituoso,conflitivo,adjective
carinhoso,cariñoso,adjective
canal,canle,noun
aceder,acceder,verb
dificuldade,dificultade,noun
depois,despois,adverb
verdadeiro,certo,adjective
interceptação,interceptación,noun
equipe,equipo,noun
Finlândia,Finlandia,noun
clássico,clásico,adjective
ainda,aínda,adverb
orçamentário,orzamentario,adjective
multiplicemente,multiplemente,adverb
em massa,en masa,adverb
expressão,expresión,noun
declinação,declinación,noun
indesculpavelmente,indesculpablemente,adverb
no ponto,ao momento,adverb
olhadela,ollada,noun
Iraque,Iraq,noun
adjudicar,adxudicar,verb
agrupação,agrupación,noun
quatro,catro,numeral
inigualavelmente,inigualabelmente,adverb
inconsolavelmente,inconsolablemente,adverb
garrafa,botella,noun
desinfetar,desinfectar,verb
ingerir,inxerir,verb
irrenunciável,irrenunciable,adjective
nove,nove,numeral
mediterrâneo,mediterráneo,adjective
menino,cativo,noun
pontualmente,puntualmente,adverb
maturidade,madureza,noun
em vista de,en vista de,preposition
já que,xa que,subordinatingConjunction
ceptro,cetro,noun
incessantemente,incesantemente,adverb
tramitação,tramitación,noun
renovavelmente,renovabelmente,adverb
anistia,marcha,noun
vegetarianamente,vexetarianamente,adverb
rondar,roldar,verb
delegação,delegación,noun
fuzilar,fusilar,verb
descompor,descompoñer,verb
interminavelmente,interminabelmente,adverb
mau,malo,adjective
vinha,viña,noun
inexistência,inexistencia,noun
aposentação,xubilación,noun
guia,guía,noun
petição,petición,noun
fraturar,fracturar,verb
aceitação,aceptación,noun
autodeterminação,autodeterminación,noun
abraço,abrazo,noun
tirar,quitar,verb
balançar,balancear,verb
reprodução,reprodución,noun
produção,produción,noun
naufrágio,naufraxio,noun
ginete,xinete,noun
sábio,sabio,adjective
a fim de que,a fin de que,subordinatingConjunction
acessível,accesíbel,adjective
reduzir,reducir,verb
peão,peatón,noun
transferência,transferencia,noun
Tóquio,Tokio,properNoun
acessivelmente,accesiblemente,adverb
traduzir,traducir,verb
meio-dia,mediodía,noun
alvo,albo,noun
estimulação,estimulación,noun
bola,bóla,noun
rasteiro,rastreiro,adjective
junto de,ao carón de,preposition
beneficamente,beneficiosamente,adverb
imoralmente,inmoralmente,adverb
sentir falta,sentir a falta,verb
inegável,innegábel,adjective
perduravelmente,perdurabelmente,adverb
Catalunha,Cataluña,noun
silêncio,silencio,noun
inovadoramente,innovadoramente,adverb
desaparecimento,desaparición,noun
combinar com as,quedar coas,verb
treinamento,adestramento,noun
nevoeiro,neboeiro,noun
impenetravelmente,impenetrabelmente,adverb
aconselhável,aconsellábel,adjective
barbearia,barbería,noun
limite,límite,noun
Ancara,Ankara,properNoun
drenagem,drenaxe,noun
apressadamente,apresuradamente,adverb
complô,complot,noun
reeleição,reelección,noun
tentativa,intento,noun
ovelha,ovella,noun
uliginoso,ulixinoso,adjective
multimédia,multimedia,adjective
artilheiro,artilleiro,noun
pesquisa,pescuda,noun
onde quer,onde queira,adverb
prejudicialmente,prexudicialmente,adverb
transtornar,trastornar,verb
polonês,polaco,adjective
leitura,lectura,noun
nazista,nazi,noun
Estugarda,Stuttgart,properNoun
recrescer,volver crecer,verb
borracha,goma,noun
faminto,famento,adjective
às pressas,ás présas,adverb
gênero,xénero,noun
milênio,milenio,noun
caneca,cunca,noun
ao lado,a carón,adverb
egipciamente,exipciamente,adverb
conjugal,conxugal,adjective
dissilabamente,bisilabamente,adverb
israelense,israelí,adjective
imersão,inmersión,noun
seqüestrar,secuestrar,verb
já,xa,interjection
no que diz respeito a,en canto a,preposition
optimização,optimización,noun
fazer caso,facer caso,verb
Ucrânia,Ucraína,noun
trabalho,traballo,noun
subregionalmente,subrexionalmente,adverb
luta,loita,noun
muito,moito,adverb
enquanto,mentres,subordinatingConjunction
enquanto isso,mentres tanto,subordinatingConjunction
resgatar,rescatar,verb
agitar,axitar,verb
traço,trazo,noun
assim mesmo,así mesmo,adverb
urbanização,urbanización,noun
incompreensivelmente,incomprensibelmente,adverb
rebanho,rabaño,noun
universitário,universitario,adjective
inveja,envexa,noun
renda,encaixe,noun
magistrado,maxistrado,noun
suplementar,suplementario,adjective
precipício,precipicio,noun
conservação,conservación,noun
debruçar,inclinar,verb
cabeça,cabeza,noun
chancelaria,chancelaría,noun
peão,peón,noun
concentração,concentración,noun
exalar,exhalar,verb
linha,liña,noun
diligentemente,dilixentemente,adverb
com a condição de que,a condición de que,subordinatingConjunction
clicar,premer,verb
reaquecimento,arrequecemento,noun
maleavelmente,maleabelmente,adverb
debochar,perverter,verb
gravavelmente,gravabelmente,adverb
carro,coche,noun
de má vontade,de má gana,adverb
marginalmente,marxinalmente,adverb
cópia,copia,noun
gostar de si mesmos,gustar de si mesmos,verb
inventário,inventario,noun
geradoramente,xeradoramente,adverb
efectivação,realización,noun
trajeto,traxecto,noun
qüestionar,cuestionar,verb
religião,relixión,noun
ambição,ambición,noun
imperfeição,imperfección,noun
enquanto que,mentres que,subordinatingConjunction
palácio,palacio,noun
adesão maciça,adhesión masiva,noun
ganho,ganancia,noun
bloqueio,bloqueo,noun
implorar,suplicar,verb
pluviômetro,pluviómetro,noun
fechado,pechado,adjective
radiografia,radiografía,noun
respeitoso,respectuoso,adjective
comércio,comercio,noun
embaixo de,por debaixo de,preposition
gentilmente,xentilmente,adverb
pilhar,pillar,verb
processar,procesar,verb
gostosamente,gustosamente,adverb
virginalmente,virxinalmente,adverb
ruivamente,roibamente,adverb
retomada,continuación,noun
vigesimamente,vixesimamente,adverb
anti-regulamentar,antirregulamentario,adjective
Argentina,Arxentina,noun
desvio,desvío,noun
presságio,presaxio,noun
obsedar,inportunar,verb
lamentável,lamentábel,adjective
ingênuo,inxenuo,adjective
orçamento,orzamento,noun
comum,común,adjective
de cor,de memoria,adverb
gordurosamente,grasamente,adverb
pontual,puntual,adjective
visivelmente,visibelmente,adverb
discórdia,discordia,noun
contribuinte,contribuínte,noun
multidirecional,multidireccional,adjective
estranheza,estrañeza,noun
às vezes,ás veces,adverb
armaria,armería,noun
prestes a,a piques de,subordinatingConjunction
ibério,ibérico,adjective
enquanto,mentres,adverb
espantosamente,abraiantemente,adverb
iraquiano,iraquí,noun
aceitar,aceptado,adjective
abóbada,bóveda,noun
curdo,kurdo,adjective
bens imóveis,bens inmobles,noun
talude,noiro,noun
pra,para,preposition
criança,neno,noun
junto de,ó carón de,preposition
laser,láser,noun
mistura,mestura,noun
arredor,arredores,noun
constituir,constituír,verb
admiravelmente,admirablemente,adverb
gostar de si própria,gustar de si propia,verb
segurança social,seguridade social,noun
proeminentemente,prominentemente,adverb
adjectivo,adxectivo,noun
juro,xuro,noun
bússola,compás,noun
exportavelmente,exportablemente,adverb
ideológico,ideolóxico,adjective
demonstração,demostración,noun
muito obrigado,moitas grazas,interjection
inquebrantável,inquebrantábel,adjective
calor,calor,noun
justo,xusto,adjective
psicologia,psicoloxía,noun
suposição,suposición,noun
comissão,comisión,noun
Caraíbas,Caribe,noun
chutar,xutar,verb
reto,recto,adjective
passagem,pasaxe,noun
expressivamente,expresivamente,adverb
inconfundível,inconfundible,adjective
botim,botín,noun
evitavelmente,evitablemente,adverb
caso contrário,en caso contrario,subordinatingConjunction
grau,grao,noun
restituição,restitución,noun
vão,van,adjective
singelo,doado,adjective
fechamento,peche,noun
talvez,quizais,adverb
estupefato,estupefacto,adjective
noturno,nocturno,adjective
espaço,espazo,noun
responsavelmente,responsabelmente,adverb
ressentimento,resentimento,noun
protecção,protección,noun
hoje em dia,hoxe en día,adverb
genialmente,xenialmente,adverb
esporo,espora,noun
consciencializar,concienciar,verb
viavelmente,viabelmente,adverb
alienígena,alieníxena,noun
presidente da Xunta,presidente da Xunta,noun
desgraça pouca é bobagem,ó can fraco todo se lle volven pulgas,adverb
juízo,xuízo,noun
agüentar,aguantar,verb
lida,lide,noun
excepto,agás,preposition
a prazo,a prazos,adverb
interacção,interacción,noun
tremoço,chícharo de raposo,noun
rio,río,noun
apanhar,coller,verb
Mais-que-Perfeito,Pluscuamperfecto,noun
sudanês,sudanés,adjective
além,alén,adverb
traje,traxe,noun
pacificação,pacificación,noun
protesto,protesta,noun
compaixão,compadecemento,noun
património,patrimonio,noun
câncer,cancro,noun
frágil,fráxil,adjective
terminação,terminación,noun
troço,treito,noun
negociação,negociación,noun
então,entón,adverb
penhasco,penedo,noun
cinquenta e sete,cincuenta e sete,numeral
indesejável,indesexábel,adjective
alfandegário,alfandegueiro,adjective
menino,meniño,noun
alva,alba,noun
ferroviário,ferroviario,adjective
abominavelmente,abominablemente,adverb
Bósnia,Bosnia,properNoun
autarca,alcalde,noun
metodologicamente,metodoloxicamente,adverb
noventa e dois,noventa e dous,numeral
demissão,dimisión,noun
lenhoso,leñoso,adjective
publicação,publicación,noun
rijamente,rexamente,adverb
Junta da Galiza,Xunta de Galicia,properNoun
apaziguar,calmar,verb
Moçambique,Mozambique,properNoun
zombadoramente,burlonamente,adverb
rigidamente,rixidamente,adverb
aplicação,aplicación,noun
genérico,xenérico,adjective
aprovação,visto e prace,noun
salvação,salvación,noun
espetáculo,espectáculo,noun
binómio,binomio,noun
matéria,materia,noun
azinhal,aciñal,noun
quanto,canto,adjective
quanto,canto,adverb
quanto,canto,relativePronoun
quanto,canto,pronoun
quanto,canto,determiner
quanto,canto,interrogativePronoun
quanto,canto,adverb
quanto,canto,interrogativePronoun
quanto,canto,adjective
quanto,canto,adverb
quanto,canto,relativePronoun
quanto,canto,pronoun
quanto,canto,determiner
quanto,canto,interrogativePronoun
quanto,canto,adverb
quanto,canto,interrogativePronoun
atitude,actitude,noun
inflavelmente,inflabelmente,adverb
bilinguemente,bilingüemente,adverb
simplesmente,simplemente,adverb
paquistanês,paquistaní,adjective
emergir,emerxido,adjective
ao meio ambiente,ao medio ambiente,noun
pouco a pouco,aos poucos,adverb
ge,gue,noun
protelar,pospoñer,verb
refugiado,refuxiado,noun
medronheiro,érbedo,noun
corretor,corrector,noun
lenha,leña,noun
farmacêutico,farmacéutico,adjective
gémeo,xemelgo,noun
sabedoria,sabedoría,noun
fazer,facer,verb
desmanchar,desfacer,verb
cinquenta e um,cincuenta e un,numeral
reagir,reaccionar,verb
profundeza,fondura,noun
tripulação,tripulación,noun
preferível,preferíbel,adjective
térreo,baixo,noun
couro,coiro,noun
solitário,solitario,adjective
estável,estable,adjective
laranja,laranxa,noun
utilizador,usuario,noun
culpado,culpable,noun
desinteressadamente,desinteresadamente,adverb
águas passadas não movem moinho,con augas pasadas non moe o muíño,adverb
turfeira,turbeira,noun
Roménia,Romanía,noun
a guisa de,á guisa de,adverb
empilhar,apiñar,verb
tanto faz,tanto ten,adverb
entendimento,entendemento,noun
progressista,progresista,adjective
eleger,elixido,adjective
artefato,artefacto,noun
testemunhar,testemuñar,verb
patrulhar,patrullar,verb
robô,robot,noun
operário,operario,noun
gotejar,gotear,verb
longitudinalmente,lonxitudinalmente,adverb
matagal,matagueira,noun
tática,táctica,noun
imprevisível,imprevisible,adjective
transgénico,transxénico,adjective
divisão,división,noun
boicotar,boicotear,verb
para valer,de verdade,adverb
descobrir,descubrir,verb
inspiração,inspiración,noun
descuido,descoido,noun
bailarino,danzarín,noun
no que diz respeito a,en relación a,preposition
Sérvia,Serbia,noun
avalizar,avalar,verb
susceptivelmente,susceptiblemente,adverb
parceiro,socio,noun
quefazer,quefacer,noun
cinquenta e cinco,cincuenta e cinco,numeral
surpresa,sorpresa,noun
estação rodoviária,estación de autobuses,noun
inacessível,inaccesíbel,adjective
assolar,asolar,verb
hospitalização,hospitalización,noun
colisão,colisión,noun
descrição,descrición,noun
estrategicamente,estratexicamente,adverb
impresso,impreso,adjective
biênio,bienio,noun
imenso,moitísimo,adverb
respeito,respecto,noun
bicha,fila,noun
tropeçar,tropezar,verb
transparência,transparencia,noun
sudeste,sueste,noun
alegoria,alegoría,noun
a favor,a prol,adverb
nas praças,nas prazas,adverb
ferraria,ferraría,noun
como quem não quer nada,como quen non quere a cousa,adverb
destruidor,destrutor,adjective
vulnerável,vulnerábel,adjective
jornalista,periodista,noun
reluzente,relucente,adjective
engorda,engorde,noun
veia,vea,noun
botão,botón,noun
ao mesmo tempo,ó mesmo tempo,adverb
gimnospérmico,ximnospérmico,adjective
desafio,desafío,noun
anidrido,anhídrido,noun
calefacção,calefacción,noun
compor,compoñer,verb
