waiting-for_preposition_en	esperando-a_preposition_es
split_verb_en	partir_verb_es
donostia-san-sebastián_propernoun_en	donostia-san-sebastián_propernoun_es
little_adverb_en	poco_adverb_es
browne_propernoun_en	browne_propernoun_es
metallic_adjective_en	metálico_adjective_es
friendliness_noun_en	amabilidad_noun_es
key_noun_en	tecla_noun_es
retailer_noun_en	detallista_noun_es
depth_noun_en	profundidad_noun_es
casting_noun_en	vaciado_noun_es
derivative_noun_en	derivado_noun_es
by-train_adverb_en	en-tren_adverb_es
shopping-trolley_noun_en	carrito-de-la-compra_noun_es
just-across_preposition_en	al-otro-lado-de_preposition_es
pine-marten_noun_en	marta_noun_es
windows_propernoun_en	windows_propernoun_es
half-naked_adjective_en	semidesnudo_adjective_es
coordination_noun_en	coordinación_noun_es
journey_noun_en	viaje_noun_es
globular_adjective_en	globular_adjective_es
heavily_adverb_en	pesadamente_adverb_es
wood_noun_en	bosque_noun_es
not_adverb_en	no_adverb_es
feminism_noun_en	feminismo_noun_es
right-through_adverb_en	completamente_adverb_es
freezing-point_noun_en	punto-de-congelación_noun_es
aerodynamic_adjective_en	aerodinámico_adjective_es
marathon_noun_en	maratón_noun_es
trust_verb_en	confiar-en_verb_es
irrationality_noun_en	irracionalidad_noun_es
christmas-eve_noun_en	víspera-de-navidad_noun_es
in-common_adverb_en	en-común_adverb_es
kenyan_adjective_en	keniano_adjective_es
over-my-dead-body_adverb_en	por-encima-de-mi-cadáver_adverb_es
suspense_noun_en	suspenso_noun_es
richter_propernoun_en	richter_propernoun_es
alluvial_adjective_en	aluvial_adjective_es
plaque_noun_en	placa_noun_es
wage_noun_en	sueldo_noun_es
feudalism_noun_en	feudalismo_noun_es
enmity_noun_en	enemistad_noun_es
coherence_noun_en	coherencia_noun_es
slam_verb_en	cerrar-de-golpe_verb_es
millimetre_noun_en	milímetro_noun_es
harper_propernoun_en	harper_propernoun_es
tel-aviv_propernoun_en	tel-aviv_propernoun_es
more_adverb_en	más_adverb_es
murillo_propernoun_en	murillo_propernoun_es
benedict-vii_propernoun_en	benedicto-vii_propernoun_es
building_noun_en	nave_noun_es
corvette_noun_en	corbeta_noun_es
ring-finger_noun_en	dedo-anular_noun_es
pauli_propernoun_en	pauli_propernoun_es
belonging_noun_en	pertenencia_noun_es
hematology_noun_en	hematología_noun_es
pad_verb_en	acolchar_verb_es
evocation_noun_en	evocación_noun_es
lavilla_propernoun_en	lavilla_propernoun_es
fifty_numeral_en	cinco_numeral_es
abominable_adjective_en	abominable_adjective_es
xenocrates_propernoun_en	jenócrates_propernoun_es
kosovan_adjective_en	kosovar_adjective_es
vesical_adjective_en	vesical_adjective_es
further-up_adverb_en	más-arriba_adverb_es
accessory_noun_en	accesorio_noun_es
loge_noun_en	palco_noun_es
firewoman_noun_en	bombero_noun_es
disappointment_noun_en	chasco_noun_es
canberra_propernoun_en	camberra_propernoun_es
introduction_noun_en	introducción_noun_es
bishop_noun_en	alfil_noun_es
dispense_verb_en	prescindir_verb_es
civil-defence_noun_en	protección-civil_noun_es
superconductivity_noun_en	superconductividad_noun_es
sanction_verb_en	sancionar_verb_es
advanced-search_noun_en	búsqueda-avanzada_noun_es
striptease_noun_en	striptease_noun_es
signal_verb_en	señalar_verb_es
punch_verb_en	pegar_verb_es
lazurite_noun_en	lazurita_noun_es
publicity-board_noun_en	cartelera_noun_es
in-the-rough_adverb_en	en-bruto_adverb_es
accompany_verb_en	acompañar_verb_es
reverend_noun_en	reverendo_noun_es
argue_verb_en	discutir_verb_es
mammoth_noun_en	mamut_noun_es
infringement_noun_en	contravención_noun_es
delicious_adjective_en	delicioso_adjective_es
bewitch_verb_en	encantar_verb_es
denigratory_adjective_en	denigratorio_adjective_es
from-now-on_adverb_en	de-ahora-en-adelante_adverb_es
taming_noun_en	doma_noun_es
trace-element_noun_en	oligoelemento_noun_es
flat_adjective_en	plano_adjective_es
isosceles_adjective_en	isósceles_adjective_es
jehle_propernoun_en	jehle_propernoun_es
maser_noun_en	máser_noun_es
cubist_noun_en	cubista_noun_es
petalite_noun_en	petalita_noun_es
on-the-brink-of-starvation_adverb_en	al-borde-de-la-inanición_adverb_es
wisely_adverb_en	avivadamente_adverb_es
appeal_noun_en	atractivo_noun_es
existentialism_noun_en	existencialismo_noun_es
hockey_noun_en	hockey_noun_es
tropopause_noun_en	tropopausa_noun_es
evasion_noun_en	evasiva_noun_es
enabler_noun_en	habilitador_noun_es
government-head_noun_en	jefe-de-gobierno_noun_es
wrap_verb_en	envolver_verb_es
elitist_adjective_en	elitista_adjective_es
release_verb_en	desprender_verb_es
store_verb_en	almacenar_verb_es
finalist_noun_en	finalista_noun_es
dye_verb_en	colorar_verb_es
meticulously_adverb_en	meticulosamente_adverb_es
o'rourke_propernoun_en	o'rourke_propernoun_es
peirce_propernoun_en	peirce_propernoun_es
keen_adjective_en	entusiasta_adjective_es
a-400_propernoun_en	a-400_propernoun_es
erc_noun_en	erc_noun_es
occident_noun_en	occidente_noun_es
anthropophagus_adjective_en	antropófago_adjective_es
tour-of-spain_noun_en	vuelta-a-españa_noun_es
primate_noun_en	primate_noun_es
in-front-of_preposition_en	frente-a_preposition_es
after-all_adverb_en	después-de-todo_adverb_es
paving_noun_en	pavimento_noun_es
seychelles_propernoun_en	seychelles_propernoun_es
infibulation_noun_en	infibulación_noun_es
filler_noun_en	relleno_noun_es
incredulity_noun_en	incredulidad_noun_es
pergola_noun_en	pérgola_noun_es
thirteen-thousand_numeral_en	trece-mil_numeral_es
periclinal_adjective_en	periclinale_adjective_es
reflectance_noun_en	reflectancia_noun_es
amiable_adjective_en	amable_adjective_es
erode_verb_en	erosionar_verb_es
keep-a-safe-distance_verb_en	mantener-la-distancia-de-seguridad_verb_es
remember_verb_en	recordar_verb_es
portico_noun_en	pórtico_noun_es
intraocular_adjective_en	intraocular_adjective_es
trillion_numeral_en	billón_numeral_es
cordless-phone_noun_en	teléfono-inalámbrico_noun_es
sake_noun_en	bien_noun_es
embryology_noun_en	embriología_noun_es
participation_noun_en	participación_noun_es
manchester-city_propernoun_en	manchester-city_propernoun_es
critical-point_noun_en	punto-crítico_noun_es
toenail_noun_en	uña_noun_es
mastermind_verb_en	planear_verb_es
work_noun_en	labor_noun_es
auspice_noun_en	auspicio_noun_es
miles-better_adverb_en	mucho-mejor_adverb_es
gipuzkoan_adjective_en	guipuzcoano_adjective_es
confidently_adverb_en	confidentemente_adverb_es
economic_adjective_en	económico_adjective_es
bark_verb_en	ladrar_verb_es
light_adjective_en	claro_adjective_es
posterior_adjective_en	posterior_adjective_es
overwhelm_verb_en	agobiar_verb_es
arm_noun_en	arma_noun_es
cantabrian-coast_noun_en	cornisa-cantábrica_noun_es
bacteriological_adjective_en	bacteriológico_adjective_es
sudan_propernoun_en	sudán_propernoun_es
bronchopulmonary_adjective_en	broncopulmonar_adjective_es
esnal_propernoun_en	esnal_propernoun_es
brisbane_propernoun_en	brisbane_propernoun_es
oil-tanker_noun_en	petrolero_noun_es
ironmongery_noun_en	ferretería_noun_es
equatorial_adjective_en	ecuatorial_adjective_es
slice_noun_en	rebanada_noun_es
dwarf_noun_en	enano_noun_es
particular-area_noun_en	campo-particular_noun_es
magnetite_noun_en	magnetita_noun_es
needy_adjective_en	necesitado_adjective_es
rigour_noun_en	rigor_noun_es
serpent_noun_en	serpiente_noun_es
sapphire_noun_en	zafiro_noun_es
horrifying_adjective_en	horroroso_adjective_es
stuttering_noun_en	tartamudez_noun_es
meal_noun_en	comida_noun_es
search-engine_noun_en	motor-de-búsqueda_noun_es
amount_noun_en	cantidad_noun_es
mozart_propernoun_en	mozart_propernoun_es
dismantle_verb_en	desmantelar_verb_es
hydromorphic_adjective_en	hidromórfico_adjective_es
horn-wound_noun_en	herida-de-asta_noun_es
out-of_preposition_en	fuera-de_preposition_es
boo_noun_en	abucheo_noun_es
architectural_adjective_en	arquitectónico_adjective_es
myelencephalon_noun_en	mielencéfalo_noun_es
tour-guide_noun_en	guía-de-turismo_noun_es
arduous_adjective_en	arduo_adjective_es
disloyal_adjective_en	desleal_adjective_es
filigree_noun_en	filigrana_noun_es
clear_verb_en	finiquitar_verb_es
embarrassment_noun_en	vergüenza_noun_es
gather_verb_en	congregar_verb_es
ávila_propernoun_en	ávila_propernoun_es
prism_noun_en	prisma_noun_es
milá_propernoun_en	milá_propernoun_es
travelling_adjective_en	ambulante_adjective_es
economisedly_adverb_en	ahorradamente_adverb_es
ovoid_adjective_en	ovoide_adjective_es
innately_adverb_en	connaturalmente_adverb_es
satirical_adjective_en	satírico_adjective_es
nimble_adjective_en	ágil_adjective_es
several_determiner_en	varios_determiner_es
hitler_propernoun_en	hitler_propernoun_es
vegetable_noun_en	hortaliza_noun_es
fourteen_numeral_en	catorce_numeral_es
fist_noun_en	puño_noun_es
admirably_adverb_en	admirablemente_adverb_es
san-francisco_propernoun_en	san-francisco_propernoun_es
see_verb_en	pasar-consulta_verb_es
condolence_noun_en	pésame_noun_es
be-in-force_verb_en	estar-vigente_verb_es
cruise_propernoun_en	cruise_propernoun_es
ointment_noun_en	pomada_noun_es
be-out-on-bail_verb_en	estar-en-libertad-bajo-fianza_verb_es
statue_noun_en	estatua_noun_es
podcast_noun_en	podcast_noun_es
utah_propernoun_en	utah_propernoun_es
butt_noun_en	culata_noun_es
new-jersey_propernoun_en	new-jersey_propernoun_es
scatter_verb_en	desperdigar_verb_es
pass_noun_en	pase_noun_es
eleventh_determiner_en	undécimo_determiner_es
sax_noun_en	saxo_noun_es
medullary_adjective_en	medular_adjective_es
satisfaction_noun_en	satisfacción_noun_es
acetophenone_noun_en	acetofenona_noun_es
autodynamic_adjective_en	autodinámico_adjective_es
horticulture_noun_en	horticultura_noun_es
binaural_adjective_en	binaural_adjective_es
muscovite_adjective_en	moscovita_adjective_es
glossary_noun_en	glosario_noun_es
mouse_noun_en	ratón_noun_es
bottom_noun_en	fondo_noun_es
crowd_noun_en	multitud_noun_es
leisure_noun_en	ocio_noun_es
ecology_noun_en	ecología_noun_es
semi-anechoic_adjective_en	semianecoico_adjective_es
ignorance_noun_en	desconocimiento_noun_es
finally_adverb_en	por-último_adverb_es
vice-secretary_noun_en	vicesecretario_noun_es
yugoslav_noun_en	yugoslavo_noun_es
importance_noun_en	relevancia_noun_es
herat_propernoun_en	herat_propernoun_es
pluralist_noun_en	pluralista_noun_es
cleansing_noun_en	limpieza_noun_es
caribbean_propernoun_en	caribe_propernoun_es
on-sale_adjective_en	en-venta_adjective_es
grant-power_verb_en	conceder-el-protagonismo_verb_es
paratactic_adjective_en	paratáctico_adjective_es
blinding_noun_en	cegamiento_noun_es
sentimentalism_noun_en	sentimentalismo_noun_es
four-leaf-clover_noun_en	trébol-de-cuatro-hojas_noun_es
dust_noun_en	polvo_noun_es
off-the-record_adjective_en	extraoficial_adjective_es
manipulate_verb_en	manipular_verb_es
anthrax_noun_en	ántrax_noun_es
brutal_adjective_en	brutal_adjective_es
hide_noun_en	escondite_noun_es
hemistich_noun_en	hemistiquio_noun_es
isothermal_adjective_en	isotermo_adjective_es
colour_verb_en	pintar_verb_es
wholesaler_noun_en	mayorista_noun_es
suffrage_noun_en	sufragio_noun_es
secure_verb_en	asegurar_verb_es
rectify_verb_en	rectificar_verb_es
genomic_adjective_en	genómico_adjective_es
tighten_verb_en	apretar_verb_es
marshal_noun_en	mariscal_noun_es
politically_adverb_en	políticamente_adverb_es
assyrian_noun_en	asirio_noun_es
reactivity_noun_en	reactividad_noun_es
unix_propernoun_en	unix_propernoun_es
sumptuary_adjective_en	suntuario_adjective_es
vegetarian_adjective_en	vegetariano_adjective_es
miguel-buen_propernoun_en	miguel-buen_propernoun_es
inspire_verb_en	inspirar_verb_es
thank_verb_en	dar-las-gracias-a_verb_es
appetizer_noun_en	aperitivo_noun_es
archimedes_propernoun_en	arquímedes_propernoun_es
leather_noun_en	cuero_noun_es
reply_noun_en	respuesta_noun_es
squandering_noun_en	dilapidación_noun_es
interdiction_noun_en	interdicción_noun_es
registration_noun_en	inscripción_noun_es
conde_propernoun_en	conde_propernoun_es
on-condition-that_subordinatingconjunction_en	a-condición-de-que_subordinatingconjunction_es
crutch_noun_en	muleta_noun_es
coral-reef_noun_en	arrecife-de-coral_noun_es
redeem_verb_en	redimir_verb_es
spoon_noun_en	cuchara_noun_es
strain_noun_en	cepa_noun_es
her-royal-highness_noun_en	su-alteza-real_noun_es
neuter_adjective_en	neutro_adjective_es
impartiality_noun_en	imparcialidad_noun_es
bretos_propernoun_en	bretos_propernoun_es
bid_noun_en	oferta_noun_es
gondola_noun_en	góndola_noun_es
john-vi_propernoun_en	juan-vi_propernoun_es
make-money_verb_en	ganar-dinero_verb_es
plant_verb_en	sembrar_verb_es
trade_noun_en	comercio_noun_es
exit_noun_en	salida_noun_es
euro-deputy_noun_en	eurodiputado_noun_es
no_determiner_en	ninguno_determiner_es
war_noun_en	guerra_noun_es
ticket_noun_en	boleto_noun_es
appetite_noun_en	apetito_noun_es
candela_noun_en	candela_noun_es
cudeyo_propernoun_en	cudeyo_propernoun_es
thalassocracy_noun_en	talasocracia_noun_es
regulation_noun_en	control_noun_es
this-afternoon_adverb_en	esta-tarde_adverb_es
matas_propernoun_en	matas_propernoun_es
misunderstanding_noun_en	malentendido_noun_es
determinant_noun_en	determinante_noun_es
vestibular_adjective_en	vestibular_adjective_es
in-the-region-of_preposition_en	del-orden-de_preposition_es
cycloid_noun_en	cicloide_noun_es
costa-rica_propernoun_en	costa-rica_propernoun_es
call_verb_en	llamar_verb_es
peanut_noun_en	cacahuete_noun_es
hollow_adjective_en	hueco_adjective_es
sample_noun_en	muestra_noun_es
masonry_noun_en	masonería_noun_es
institute-of-modern-languages_propernoun_en	instituto-de-lenguas-vivas_propernoun_es
verbose_adjective_en	verboso_adjective_es
flamethrower_noun_en	lanzallamas_noun_es
excellence_noun_en	excelencia_noun_es
flatly_adverb_en	de-plano_adverb_es
transcendence_noun_en	transcendencia_noun_es
dishonest_adjective_en	deshonesto_adjective_es
theory-of-contextual-economics_noun_en	teoría-económica-coyuntural_noun_es
swear_verb_en	jurar_verb_es
cotado_propernoun_en	cotado_propernoun_es
payday_noun_en	día-de-pago_noun_es
