source,target,POS
пушка,rifle,noun
абонос,ebony,noun
Атач,Atac,properNoun
враќање,repayment,noun
проблем,concern,noun
Ѓидиќ,Đidić,properNoun
Сенауер,Senauer,properNoun
Влашич,Vlasic,properNoun
Албтранспорт,Albtransport,properNoun
Алваро,Alvaro,properNoun
овошје,fruit,noun
испитување,exploration,noun
љубопитност,curiosity,noun
Чикули,Cikuli,properNoun
Буена,Buena,properNoun
Гаспромнефт,Gazpromneft,properNoun
сместување,accommodation,noun
Истанбул,Istanbul,properNoun
случајно,accidentally,adverb
Ксанти,Xanthi,properNoun
Валенсија,Valencia,properNoun
Адлешиќ,Adlešić,properNoun
Шуица,Suica,properNoun
наврши,celebrate,verb
Хидроелектра,Hidroelektra,properNoun
Шенген,Schengen,properNoun
Евтим,Evtim,properNoun
Сотби,Sotheby,properNoun
справи,address,verb
Пјеро,Piero,properNoun
наближува,loom,verb
Гутерес,Guterres,properNoun
Чермак,Cermak,properNoun
Кристиан,Cristian,properNoun
невладин,regional,adjective
сесија,session,noun
Челалифер,Celalifer,properNoun
Робоскан,Roboscan,properNoun
лакејство,lackyship,noun
Путеви,Putevi,properNoun
Капор,Kapor,properNoun
Кустендорф,Kustendorf,properNoun
Самоколвија,Samokovlija,properNoun
Енергиаки,Energiaki,properNoun
внатрешен,internal,adjective
Пркачин,Prkacin,properNoun
Хизболах,Hizballah,properNoun
рационализација,streamlining,noun
Терзиев,Terziev,properNoun
Тонковиќ,Tonković,properNoun
Борут,Borut,properNoun
студија,studio,noun
Салахедин,Salaheddin,properNoun
Милан,Milan,properNoun
Краина,Krajina,properNoun
од,than,preposition
летен,summer,adjective
комитски,revolutionary,adjective
Хрватин,Hrvatin,properNoun
Кошутиќ,Koshutic,properNoun
Симон,Simon,properNoun
(,(,openParenthesis
Арзу,Arzu,properNoun
Блаженка,Blazenka,properNoun
Бурзан,Burzan,properNoun
Коизуми,Koizumi,properNoun
напојува,develop,verb
ЕМпортал,EMportal,properNoun
последица,repercussion,noun
Идиз,Idiz,properNoun
Костел,Costel,properNoun
Гулер,Guler,properNoun
решен,external,adjective
смирување,defusion,noun
Центенарио,Centenario,properNoun
Бујуканид,Buyukanit,properNoun
Стурмица,Strumica,properNoun
разговор,discussion,noun
Жупче,Zupche,properNoun
Зрењанин,Zrenjanin,properNoun
Морган,Morgan,properNoun
чеченски,Chechen,adjective
Нехла,Nechla,properNoun
Анг,Ang,properNoun
составува,choose,verb
Козаку,Kozakou,properNoun
втор,second,adjective
јавен,public,adjective
Винодолски,Vinodolski,properNoun
Мршиќ,Mršić,properNoun
желба,wish,noun
Калиниќ,Kalinić,properNoun
Чунг,Chung,properNoun
горен,upper,adjective
Ердут,Erdut,properNoun
Виварција,Vivartia,properNoun
неолитски,neolithic,adjective
Лутон,Luton,properNoun
Шаип,Shaip,properNoun
Цериќ,Cerić,properNoun
Франкс,Franks,properNoun
Станаревиќ,Stanarevic,properNoun
Бруто,Brutto,properNoun
педесет,fifty,numeral
спогодба,agreement,noun
проценува,assess,verb
политиканство,intrigue,noun
Четин,Cetin,properNoun
Околиќ,Okolic,properNoun
Аврамов,Avramov,properNoun
шеф,head,noun
сигнализација,signage,noun
Лаурентиу,Laurentiu,properNoun
пресуда,sentence,noun
Шефер,Šefer,properNoun
Мараш,Maras,properNoun
нареди,order,verb
Краун,Iran,properNoun
Аујали,Aujali,properNoun
Буте,Bute,properNoun
ракува,operate,verb
Албион,Albion,properNoun
ЕкспоКос,ExpoKos,properNoun
Делјан,Delyan,properNoun
Тасиќ,Tasic,properNoun
Мујезановиќ,Mujezinovic,properNoun
Белалов,Belalov,properNoun
Бано,Bano,properNoun
проблем,problem,noun
Анfели,Angjeli,properNoun
Варшава,Warsaw,properNoun
Горшев,Gorsev,properNoun
Темекс,Temex,properNoun
Каср,Kasr,properNoun
меѓународен,international,adjective
Гога,Ghoga,properNoun
Шерифи,Sherifi,properNoun
Рамовиќ,Ramović,properNoun
доведе,bring,verb
Мутус,Mutus,properNoun
Росен,Rosen,properNoun
компензаторски,compensatory,adjective
Слаfана,Slagjana,properNoun
Домагој,Domagoj,properNoun
Даиану,Daianu,properNoun
Трпеза,Trpeza,properNoun
Родрик,Rodrik,properNoun
Аксел,Aksel,properNoun
Алмедина,Almedina,properNoun
седумстотини,seven hundred,numeral
Талески,Taleski,properNoun
Миливоевиќ,Milivoević,properNoun
Викиликс,WikiLeaks,properNoun
Кучук,Kucuk,properNoun
Берлин,Berlin,properNoun
Сандир,Sandir,properNoun
коса,hair,noun
Коштуница,Koštunica,properNoun
Карадаку,Karadaku,properNoun
Манделсон,Mandelson,properNoun
оган,fire,noun
Олимпијакос,Olympiakos,properNoun
Араби,Arabi,properNoun
опфаќа,cover,verb
Алениа,Alenia,properNoun
Тилман,Tilmann,properNoun
потсетува,remind,verb
потсетува,remind,presentParticipleAdjective
разочарува,frustrate,verb
оптоварува,block,verb
Адолф,Adolf,properNoun
Финфектс,Finfacts,properNoun
Миличиќ,Miličić,properNoun
Олси,Olsi,properNoun
Бумчи,Bumci,properNoun
отпуштува,set free,verb
усвојување,adoption,noun
Коконози,Kokonozi,properNoun
Енио,Ennio,properNoun
Конески,Koneski,properNoun
зборува,speak,verb
конкурентост,competition,noun
Темизоз,Temizoz,properNoun
Толон,Tolon,properNoun
Темиз,Temiz,properNoun
Аданир,Adanir,properNoun
изложеност,exposure,noun
Запеион,Zappeion,properNoun
Теда,Teda,properNoun
Мечељ,Mecelj,properNoun
Мауритани,Mauritani,properNoun
Мергермаркет,Mergermarket,properNoun
Пехчево,Pehovo,properNoun
Еуроказ,Eurokaz,properNoun
минат,past,adjective
Ландрут,Landrut,properNoun
декларација,declaration,noun
Кенеш,Kenes,properNoun
Фазлиу,Fazliu,properNoun
ѓаконство,deaconship,noun
ченал,Channel,properNoun
Зогац,Zogac,properNoun
мисли,think,verb
потиснува,suppress,verb
Тибор,Tibor,properNoun
Восганиан,Vosganian,properNoun
продолжува,extend,verb
директен,immediate,adjective
Басаран,Basaran,properNoun
Весовиќ,Vesović,properNoun
Каваца,Kavatza,properNoun
Нита,Nita,properNoun
Бурунди,Burundi,properNoun
озвучува,bug,verb
Ксења,Ksenja,properNoun
Мемисоглу,Memisoglu,properNoun
тренер,trainer,noun
Аграфиотис,Agrafiotis,properNoun
Мороглу,Moroglu,properNoun
Фиљон,Fillon,properNoun
Бубиќ,Bubic,properNoun
Дука,Duka,properNoun
Просинечки,Prosinecki,properNoun
Михаелидес,Michaelides,properNoun
Купчов,Kupcov,properNoun
Дрино,Drino,properNoun
Руне,Rune,properNoun
Белизе,Belize,properNoun
Докузовски,Dokuzovski,properNoun
предводи,lead,verb
Дршковиќ,Dršković,properNoun
Марсел,Marcel,properNoun
Билеќа,Bileca,properNoun
православен,orthodox,adjective
Ворпси,Vorpsi,properNoun
прекрасен,beautiful,adjective
Морин,Morin,properNoun
Мамо,Mamo,properNoun
Хан,Han,properNoun
Харвард,Harvard,properNoun
Срето,Sreto,properNoun
Цакири,Tsakiri,properNoun
Шифет,Sifet,properNoun
наш,ours,adjective
наш,ours,pronoun
наш,ours,possessivePronoun
Везпрем,Veszprem,properNoun
Цебит,Cebit,properNoun
Агрокор,Agrokor,properNoun
Ромфилателија,Romfilatelia,properNoun
Нишани,Nishani,properNoun
особен,clear,adjective
отпишува,withdraw,verb
Вахаби,Wahhabi,properNoun
Бундескриминаламт,Bundeskriminalamt,properNoun
илустрација,illustration,noun
Уфук,Ufuk,properNoun
Кид,Kidd,properNoun
сликар,painter,noun
Аоа,Anja,properNoun
Сердар,Serdar,properNoun
Андон,Andon,properNoun
раст,growth,noun
Хипо,Hypo,properNoun
Добратин,Dobratin,properNoun
Саржоски,Saržoski,properNoun
антиимигрантски,anti-immigrant,adjective
порано,beforehand,adverb
Кредо,Credo,properNoun
трошок,cost,noun
Вијагра,Viagra,properNoun
Колин,Colin,properNoun
Теодосиевски,Teodosievski,properNoun
Либраџ,Librazhd,properNoun
Пилавиос,Pilavios,properNoun
Гостивар,Gostivar,properNoun
Сердал,Serdal,properNoun
Мерчан,Mercan,properNoun
Агојатис,Agogiatis,properNoun
Тисманеану,Tismaneanu,properNoun
биоземјоделски,bioagricultural,adjective
структура,structure,noun
Момчило,Momcilo,properNoun
посредник,mediator,noun
Хугет,Huguette,properNoun
Волфанг,Wolfgang,properNoun
Дунареа,Dunarea,properNoun
Бајрактари,Bajraktari,properNoun
Виргил,Virgil,properNoun
Кирков,Kirkov,properNoun
Михаилов,Mihailov,properNoun
Деу,Dheu,properNoun
Трг,Trg,properNoun
Прибој,Priboj,properNoun
Сотирис,Sotiris,properNoun
Грубичиќ,Grubacic,properNoun
Радосав,Radosav,properNoun
Ропотова,Ropotova,properNoun
Ферара,Ferrara,properNoun
Виландер,Wilander,properNoun
Бродограѓевна,Brodogradjevna,properNoun
едногласен,universal,adjective
Ембел,Embell,properNoun
Другас,Drougas,properNoun
Павлиди,Pavlidis,properNoun
ротациски,rotational,adjective
Апатурај,Apaturaj,properNoun
Нахјадан,Nahyan,properNoun
доживотен,life-long,adjective
продажен,extended,adjective
Комарова,Komarova,properNoun
Малаја,Malaia,properNoun
Шушак,Susak,properNoun
леарство,founding,noun
Луи,Louis,properNoun
Лаодичеа,Laodicea,properNoun
кубен,cubic,adjective
Ашхабат,Ashgabat,properNoun
Дукиќ,Dukić,properNoun
Паникос,Panicos,properNoun
Боинг,Boeing,properNoun
крај,rim,noun
следен,next,adjective
Науме,Naume,properNoun
соборување,fall,noun
задоволство,satisfaction,noun
англиски,English,adjective
Султанахмет,Sultanahmet,properNoun
Кјото,Kyoto,properNoun
Мориконе,Morricone,properNoun
Плоче,Ploce,properNoun
лице,person,noun
Аполо,Apollo,properNoun
решение,resolution,noun
Стили,Stilley,properNoun
Барера,Barrera,properNoun
Арестис,Arestis,properNoun
местење,tampering,noun
