decano_noun_en	doyen_noun_es
deslizar_verb_en	glisser_verb_es
reformación_noun_en	réformation_noun_es
paraná_propernoun_en	parana_propernoun_es
aleatorio_adjective_en	aléatoire_adjective_es
atracción_noun_en	attraction_noun_es
inmenso_adjective_en	immense_adjective_es
neutralizar_verb_en	neutraliser_verb_es
andonegi_propernoun_en	andonegi_propernoun_es
multicultural_adjective_en	multiculturel_adjective_es
allende_adverb_en	au_delà_adverb_es
codificación_noun_en	codification_noun_es
adhesión_noun_en	ralliement_noun_es
páguese_a_preposition_en	payez_à_preposition_es
akud_arnolds_propernoun_en	akud_arnolds_propernoun_es
kabardino-balkaria_propernoun_en	kabardino-balkarie_propernoun_es
aprovechar_verb_en	profiter_de_verb_es
clínica_euskalduna_propernoun_en	clínica_euskalduna_propernoun_es
marin_propernoun_en	marin_propernoun_es
turfan_propernoun_en	tourfan_propernoun_es
nizhni-novgorod_propernoun_en	nijni-novgorod_propernoun_es
unisexualidad_noun_en	unisexualité_noun_es
murn_propernoun_en	murn_propernoun_es
reproductor_noun_en	reproducteur_noun_es
cobarde_adjective_en	lâche_adjective_es
millón_noun_en	million_noun_es
pistolleto_propernoun_en	pistolleto_propernoun_es
toni_propernoun_en	toni_propernoun_es
macho_noun_en	mâle_noun_es
babieca_propernoun_en	babieca_propernoun_es
alboka_noun_en	alboka_noun_es
dar_por_enterado_y_conforme_verb_en	tenir_pour_dit_et_d'accord_verb_es
examinación_noun_en	examination_noun_es
bombear_verb_en	bomber_verb_es
sentjens_propernoun_en	sentjens_propernoun_es
dependiendo_de_que_subordinatingconjunction_en	selon_que_subordinatingconjunction_es
improvisar_verb_en	improviser_verb_es
espel_propernoun_en	espel_propernoun_es
eladio_propernoun_en	eladio_propernoun_es
antirrobo_adjective_en	antivol_adjective_es
ocultar_verb_en	dérober_verb_es
pellicer_propernoun_en	pellicer_propernoun_es
antenista_noun_en	installateur_d'antennes_noun_es
livianamente_adverb_en	légèrement_adverb_es
marco_noun_en	cadre_noun_es
mosso_propernoun_en	mosso_propernoun_es
stalingrado_propernoun_en	stalingrad_propernoun_es
duramente_adverb_en	durement_adverb_es
abderrahman_propernoun_en	abderrahman_propernoun_es
discográfica_noun_en	maison_de_disques_noun_es
primeramente_adverb_en	tout_d'abord_adverb_es
andris_propernoun_en	andris_propernoun_es
peluca_noun_en	perruque_noun_es
impuesto_sobre_el_valor_añadido_noun_en	taxe_sur_la_valeur_ajoutée_noun_es
jospin_propernoun_en	jospin_propernoun_es
felipe_ii_el_atrevido_propernoun_en	philippe_ii_le_hardi_propernoun_es
calidad_noun_en	qualité_noun_es
validez_noun_en	validité_noun_es
llenado_noun_en	remplissage_noun_es
unai_propernoun_en	unai_propernoun_es
citigroup_propernoun_en	citigroup_propernoun_es
nadie_pronoun_en	personne_pronoun_es
alborozo_noun_en	débordement_de_joie_noun_es
auténtico_adjective_en	véritable_adjective_es
cobertura_noun_en	réseau_noun_es
perímetro_noun_en	périmètre_noun_es
conceder_verb_en	accorder_verb_es
gusto_noun_en	goût_noun_es
dígito_noun_en	chiffre_noun_es
consagrar_verb_en	vouer_verb_es
revolucionario_noun_en	révolutionnaire_noun_es
ahmad_propernoun_en	ahmad_propernoun_es
en_tanto_en_cuanto_subordinatingconjunction_en	tandis_que_subordinatingconjunction_es
ámbar_noun_en	ambre_noun_es
pensión_noun_en	pension_noun_es
marie-georges_propernoun_en	marie-georges_propernoun_es
molécula_noun_en	molécule_noun_es
orgasmo_noun_en	orgasme_noun_es
ético_adjective_en	éthique_adjective_es
munreco_propernoun_en	munreco_propernoun_es
acertar_verb_en	deviner_verb_es
surinam_propernoun_en	surinam_propernoun_es
maite_propernoun_en	maite_propernoun_es
valor_añadido_noun_en	valeur_ajoutée_noun_es
idiomático_adjective_en	idiomatique_adjective_es
rodilla_noun_en	genou_noun_es
por_la_noche_adverb_en	la_nuit_adverb_es
amane_propernoun_en	amane_propernoun_es
legazpi_propernoun_en	legazpi_propernoun_es
abaitúa_propernoun_en	abaitúa_propernoun_es
moneda_noun_en	monnaie_noun_es
remesa_noun_en	livraison_noun_es
ambros_propernoun_en	ambros_propernoun_es
mermelada_noun_en	marmelade_noun_es
generalista_noun_en	généraliste_noun_es
detección_noun_en	dépistage_noun_es
perú_propernoun_en	pérou_propernoun_es
ibex_propernoun_en	ibex_propernoun_es
oficina_de_correos_noun_en	bureau_de_poste_noun_es
apartar_verb_en	écarter_verb_es
goleman_propernoun_en	goleman_propernoun_es
