il·legítimament_adverb	ilegitimamente_adverb
macdermott_propernoun	macdermott_propernoun
reny_propernoun	reny_propernoun
el-qual_relativepronoun	o-qual_relativepronoun
el-qual_pronoun	o-qual_pronoun
borea_propernoun	borea_propernoun
rubefacció_noun	rubefacção_noun
argent_noun	prata_noun
dissimulable_adjective	dissimulável_adjective
endesa_propernoun	endesa_propernoun
dispositiu_adjective	dispositivo_adjective
granyena-de-segarra_propernoun	granyena-de-segarra_propernoun
inconvertible_adjective	inconvertível_adjective
altitud_noun	altitude_noun
atri_noun	átrio_noun
porta_propernoun	porta_propernoun
insofrible_adjective	insofrível_adjective
aurora_noun	alvorada_noun
day_propernoun	day_propernoun
vareta-màgica_noun	vara-de-condão_noun
tecnòleg_noun	tecnólogo_noun
renda_propernoun	renda_propernoun
recíprocament_adverb	reciprocamente_adverb
inconstitucional_adjective	inconstitucional_adjective
recapitalització_noun	recapitalização_noun
cost_noun	custo_noun
jarafuel_propernoun	jarafuel_propernoun
walpole_propernoun	walpole_propernoun
gens_adverb	nada_adverb
barroc_noun	barroco_noun
autodestrucció_noun	autodestruição_noun
estupendament_adverb	estupendamente_adverb
icària_propernoun	icaria_propernoun
tribal_adjective	tribal_adjective
esmorzar_verb	tomar-o-café-da-manhã_verb
defecte_noun	defeito_noun
aixecament_noun	levantamento_noun
explosiu_noun	explosivo_noun
figuratiu_adjective	figurativo_adjective
alè_noun	fôlego_noun
bardeen_propernoun	bardeen_propernoun
d_noun	d_noun
frassinetti_propernoun	frassinetti_propernoun
holm_propernoun	holm_propernoun
injustícia_noun	injustiça_noun
cultural_adjective	cultural_adjective
marenger_propernoun	marenger_propernoun
mucci_propernoun	mucci_propernoun
concentracionari_adjective	concentracionário_adjective
maior_propernoun	maior_propernoun
areolat_adjective	areolado_adjective
fisher_propernoun	fisher_propernoun
garrigó_propernoun	garrigó_propernoun
mandelbrot_propernoun	mandelbrot_propernoun
perversió_noun	perversão_noun
ampli_adjective	amplo_adjective
insonorització_noun	insonorização_noun
mitològic_adjective	mitológico_adjective
capodicasa_propernoun	capodicasa_propernoun
karamanou_propernoun	karamanou_propernoun
recta_noun	recta_noun
vernetti_propernoun	vernetti_propernoun
