source,target,POS
fawra,احمرار الوجه,noun
Sauvignon,سوفينيون,properNoun
ERT,فريق الاستجابة لحالات الطوارئ,properNoun
konnessjoni,صلة,noun
espressjoni,تعبير,noun
ambaxxatur,سفير,noun
ntlaqat,ضرب,verb
Carlsberg,كارلسبرغ,properNoun
Bismarck,بسمارك,properNoun
Ljubljana,ليوبليانا,properNoun
George,جورج,properNoun
Chanel,شانيل,properNoun
qam,قام,verb
Agustín,أغوستين,properNoun
attivist,ناشط,noun
Molotov,مولوتوف,properNoun
Paganini,باغانيني,properNoun
għal,ل,preposition
Pellegrini,بلغريني,properNoun
Traviata,ترافياتا,properNoun
Isabel,إيزابيل,properNoun
infettat,مصاب,adjective
novizz,مبتدئ,noun
ikklassifika,صنف,verb
razzett,مزرعة,noun
Monika,مونيكا,properNoun
fenomenu,ظاهرة,noun
Sirja,سوريا,properNoun
Dima,ديما,properNoun
similarità,تشابه,noun
partita,مباراة,noun
Bundesliga,بوندسليغا,properNoun
tletin,ثلاثون,numeral
Alwigi,الويجي,properNoun
tramuntana,شمال,noun
gżira,جزيرة,noun
relativistiku,نسبوي,adjective
organizza,أقام,verb
immedjatament,فورا,adverb
Mont Everest,مونت ايفرست,properNoun
Carrington,كارينغتون,properNoun
sostitwit,مستبدل,adjective
Lhudi,يهودية,noun
entità,كيان,noun
Aguero,أغويرو,properNoun
konservat,محفوظ,adjective
Alpay,ألبي,properNoun
Sorbonne,سوربون,properNoun
Praktiker,براكتيكر,properNoun
maġġoranza,أغلبية,noun
Ivo,إفو,properNoun
Gary,غاري,properNoun
petrol,بنزين,noun
mielaħ,مليح,adjective
internazzjonalment,دوليا,adverb
barra,خارجا,adverb
kampnar,برج,noun
Super,سوبر,properNoun
Huddersfield Town,هدرسفيلد تاون,properNoun
dehra,ظهور,noun
Amador,مدور,properNoun
damm,نظم,verb
Medvedev,ميدفيديف,properNoun
Stein,شتين,properNoun
Donizetti,دونيزيتي,properNoun
Novak,نوفاك,properNoun
Semih,سميح,properNoun
Papastathopoulos,ببستاثوبولوس,properNoun
Mediterranean,البحر الأبيض المتوسط,properNoun
Gregor,غريغور,properNoun
Santos,سانتوس,properNoun
dakinhar,ذاك اليوم,adverb
ideal,مثال,noun
Erwin,إروين,properNoun
Gino,جينو,properNoun
MasterCard,ماستر كارد,properNoun
Stefan,ستيفن,properNoun
Bari,باري,properNoun
komiku,هزلي,adjective
Mika,ميكا,properNoun
Pullicino,بوليتشينو,properNoun
misraħ,ساحة,noun
Piotr,بيوتر,properNoun
Georgi,جورجي,properNoun
Darko,داركو,properNoun
Hale,هيل,properNoun
galilejan,جليلي,adjective
Saviola,سافيولا,properNoun
bell,بل,verb
Jenifer,جنيفر,properNoun
Abdullah,عبدالله,properNoun
rfina,حسن,verb
Guvecci,غوفيتشي,properNoun
kanna,أنبوب,noun
problematiku,إشكالي,adjective
marzu,مارس,noun
perpura,فزاعة,noun
Christos,كريستوس,properNoun
responsabbli,مسؤول,adjective
Landon,لندن,properNoun
Gekas,غيكس,properNoun
Andres,أندرس,properNoun
żar,زار,verb
Austin,أوستن,properNoun
ħobża,خبزة,noun
Lina,لينا,properNoun
issejjaħ,سمى,verb
Bubaqra,بوبقرا,properNoun
patrijottiku,وطني,adjective
ħdejn,قرب,preposition
Benoit,بنوا,properNoun
Sepp,سيب,properNoun
ezami,امتحان,noun
Kiev,كييف,properNoun
Harold,هارولد,properNoun
trasferiment,انتقال,noun
Armand,أرماند,properNoun
Bonaparte,بونابرت,properNoun
Pierre,بيير,properNoun
nqata,قطع,verb
xiex,ما,adverb
xiex,ما,interrogativePronoun
xiex,ما,adverb
xiex,ما,relativePronoun
xiex,ما,interrogativePronoun
xiex,ما,adverb
xiex,ما,interrogativePronoun
xiex,ما,adverb
xiex,ما,relativePronoun
xiex,ما,interrogativePronoun
Mullan,مولن,properNoun
li,ل,subordinatingConjunction
u,و,coordinatingConjunction
Kimberley,كيمبرلي,properNoun
ġrajja,حدث,noun
Manoel Island,جزيرة مانويل,properNoun
Serdar,سردار,properNoun
pposedut,ممتلك,adjective
Octavio,أكتفيو,properNoun
Awad,أود,properNoun
Lais,ليس,properNoun
Cézanne,سيزان,properNoun
nuqqas,نقص,noun
appostoliku,رسولي,adjective
qasam,كسر,verb
ikel,طعام,noun
trażmissjoni,انتقال,noun
Kristofer,كريستوفر,properNoun
aħħar,أخير,determiner
Wes,وس,properNoun
Oomen,أومن,properNoun
Houston,هيوستن,properNoun
nħall,فكك,verb
Dritan,دريتان,properNoun
McBride,مكبريد,properNoun
Maxi,ماكسي,properNoun
żejt,زيت,noun
Ġwann,جون,properNoun
Rachid,رشيد,properNoun
Atkinson,أتكينسون,properNoun
għad,ما زال,verb
Parsons,برسونس,properNoun
paċi,سلام,noun
Nursultan,نورسولتان,properNoun
il-Marfa,المرفة,properNoun
ppruvat,مبين,adjective
ħofra,حفرة,noun
rumanz,رواية,noun
Ponte,بونته,properNoun
pożizzjoni,موقف,noun
Hargreaves,هرغريفس,properNoun
L-Imrieħel,الإمريحل,properNoun
Sammut,ساموت,properNoun
ċċelebrat,محتفل به,adjective
Slobodan,سلوبودان,properNoun
komunist,شيوعي,adjective
partikolari,معين,adjective
assedjat,محاصر,adjective
niċċa,نقطة,noun
mingħajr ma,دون أن,subordinatingConjunction
ċempel,تلفن,verb
Anderlecht,اندرلخت,properNoun
Connor,كنور,properNoun
United,متحد,properNoun
Bonev,بونيف,properNoun
akkademiku,دراسي,adjective
Bashar,بشار,properNoun
Gunnar,غونر,properNoun
Gerald,جيرالد,properNoun
Brown,برون,properNoun
temm,أنهى,verb
Clara,كلارا,properNoun
Latvia,لاتفيا,properNoun
attiv,نشيط,adjective
korob,أن,verb
dubbjuż,مشكوك فيه,adjective
Kelly,كيلي,properNoun
kors,مسار,noun
Birgit,بيرغت,properNoun
Maurizio,موريزيو,properNoun
Linda,ليندا,properNoun
Vassalli,فسالي,properNoun
esplora,استكشف,verb
ieħor,آخر,determiner
ħafer,عذر,verb
Tristan,تريستان,properNoun
Timothy,تيموثي,properNoun
ndaqq,عزف,verb
Andrés,أندريس,properNoun
Marcel,مارسيل,properNoun
Mary,مريم,properNoun
trasparenza,شفافية,noun
Il-Madliena,المدلينا,properNoun
San Marino,سان مارينو,properNoun
Opel,أوبل,properNoun
Dora,دورا,properNoun
Liz,ليز,properNoun
Kepler,كيبلر,properNoun
Mahdi,مهدي,properNoun
Santander,سانتاندر,properNoun
Salvina,سلفينا,properNoun
enċiklopediku,موسوعي,adjective
klima,مناخ,noun
għalaq,أغلق,verb
Heydar,هيدار,properNoun
produttiv,منتج,adjective
Fife,فايف,properNoun
RTK,الراديو الكاثوليكي,properNoun
Reed,ريد,properNoun
lil,ل,preposition
abbundanza,وفرة,noun
Westminster,ويستمنستر,properNoun
Uta,أوتا,properNoun
Tamara,تامارا,properNoun
Clement,كليمنت,properNoun
Jordi,جوردي,properNoun
oppożizzjoni,معارضة,noun
Atlantis,اتلانتيس,properNoun
parir,نصيحة,noun
emmen,آمن,verb
objettiv,موضوعي,adjective
gost,مرح,noun
'l isfel,أسفل,adverb
musbieħ,مصباح,noun
Wendy,ويندي,properNoun
superfamilja,فئة عظمى,noun
Carles,كارلس,properNoun
Atlanta,أتلانتا,properNoun
sess,جنس,noun
ritratt,صورة,noun
dak,ذلك,pronoun
dak,ذلك,determiner
dak,ذلك,demonstrativePronoun
dak,ذلك,determiner
dak,ذلك,demonstrativePronoun
dak,ذلك,pronoun
dak,ذلك,determiner
dak,ذلك,demonstrativePronoun
dak,ذلك,determiner
dak,ذلك,demonstrativePronoun
Philippe,فيليبه,properNoun
Eileen,إيلين,properNoun
Sebastian,سبستيان,properNoun
Buttiglione,بوتيليوني,properNoun
venezjan,فينيسي,adjective
ġid,ثروة,noun
editorjal,افتتاحية,noun
Ezequiel,إزيقيل,properNoun
Lucian,لوسيان,properNoun
influwenza,أثر,verb
Tuncay,تونكي,properNoun
dawl,نور,noun
Andrea,أندريا,properNoun
awtur,مؤلف,noun
Petroleum,بترول,properNoun
Reagan,ريغان,properNoun
New Guinea,غينيا الجديدة,properNoun
ċint,سياج,noun
ħajt,جدار,noun
Bernoulli,بيرنولي,properNoun
gibda,جاذبية,noun
falliment,فشل,noun
Costa,كوستا,properNoun
Zuma,زوما,properNoun
frar,فبراير,noun
nassab,صياد طيور,noun
Herbert,هربرت,properNoun
żmien,وقت,noun
ċentru,وسط,noun
qasir,قصير,adjective
Lucy,لوسي,properNoun
GonziPN,حزب غونزي الوطني,properNoun
Egemen,أغيمن,properNoun
Porter,برتر,properNoun
Caritas,كاريتاس,properNoun
Robbins,روبينز,properNoun
Gawdenzju,غودينز,properNoun
Sem,سم,properNoun
soċjali,اجتماعي,adjective
tmintax,ثمانية عشر,numeral
allegat,متعلق,adjective
Casey,كسي,properNoun
York,يورك,properNoun
Cross,كروس,properNoun
konsegwenza,نتيجة,noun
Iż-Żurrieq,الزوريق,properNoun
Oleksandr,ألكسندر,properNoun
ikklassifikat,مصنف,adjective
Dror,درور,properNoun
topiku,موضعي,adjective
Alexis,ألاكسيس,properNoun
Julie,جولي,properNoun
distinzjoni,تمييز,noun
nġieb,أحضر,verb
New Zealand,نيوزيلندا,properNoun
denb,ذنب,noun
evoluzzjoni,تطور,noun
Ubaldo,أوبلدو,properNoun
Nancy,نانسي,properNoun
Nis,نيس,properNoun
repubblikan,جمهوري,adjective
Barack,بارك,properNoun
indika,أشار,verb
finlandiż,فنلندي,adjective
Marcelino,مرسلينو,properNoun
Ciro,تشيرو,properNoun
Odo,أضو,properNoun
ċar,واضح,adjective
San Jose,سان خوسيه,properNoun
aspett,جانب,noun
reġa,رجع,verb
serb,صربي,adjective
Florent,فلورنت,properNoun
taħt,تحت,preposition
Amalia,أماليا,properNoun
kuraġġuż,شجاع,adjective
Emil,إيميل,properNoun
Robinson,روبينسون,properNoun
L-Imqabba,الإمقبة,properNoun
nbeżaq,بصق,verb
skont,من قبل,preposition
kapaċità,قدرة,noun
Skype,سكايب,properNoun
Carter,كرتر,properNoun
musrana,معى,noun
tqil,ثقيل,adjective
Sophie,صوفي,properNoun
ħoxni,ضخم,adjective
rass,ضغط,verb
Malmstrom,مالمستروم,properNoun
Efrajm,إفرايم,properNoun
Ted,تيد,properNoun
serrieq,منشار,noun
Balzan,بلزن,properNoun
Paris,باريس,properNoun
Magda,ماجدة,properNoun
gowlkiper,حارس مرمى,noun
faċli,سهل,adjective
miġnun,مجنون,adjective
nobbli,نبيل,adjective
qiem,بجل,verb
Rooney,روني,properNoun
van der Sar,فان دير سار,properNoun
Waldo,والدو,properNoun
Selene,سيلين,properNoun
Boli,بولي,properNoun
anzi,بالأحرى,adverb
Reto,ريتو,properNoun
Mahoney,مهوني,properNoun
kritiku,حرج,adjective
saħan,سخن,verb
Arjen,أرجن,properNoun
Denia,دنيا,properNoun
Piccadilly,بيكاديللي,properNoun
glorjuż,مجيد,adjective
xedaq,فك,noun
ċinga,حزام,noun
xi ħadd,شخص ما,pronoun
esklussivament,فقط,adverb
Amber,أمبر,properNoun
Courtney,كورتني,properNoun
balla,بالة,noun
prestazzjoni,أداء,noun
Saydon,سيدون,properNoun
Bonaventure,بنفنتوري,properNoun
Iż-Żebbuġ,الزبوج,properNoun
Irene,إيرين,properNoun
esebitur,عارضة,noun
nħoloq,خلق,verb
Jefferson,جيفرسون,properNoun
poter,سلطة,noun
PL,حزب العمل,properNoun
Petrescu,بتريسكو,properNoun
Lu,لو,properNoun
Citroen,سيتروين,properNoun
Sylvie,سيلفي,properNoun
Fari,فاري,properNoun
Vance,فانس,properNoun
kwadru,مربع,noun
motivazzjoni,دافع,noun
tim,فريق,noun
Ronnie,روني,properNoun
Shakespeare,شكسبير,properNoun
sistema,نظام,noun
iffurmat,مكون,adjective
Chang,شانغ,properNoun
Todor,تودور,properNoun
Ta' Xbiex,تأشبيش,properNoun
Rudy,رودي,properNoun
vittma,ضحية,noun
gerżuma,حنجرة,noun
terroriżmu,إرهاب,noun
Libertas,ليبرتاس,properNoun
Wisla,ويسلا,properNoun
elevat,مرتفع,adjective
Tonio,تونيو,properNoun
Joseph,يوسف,properNoun
immigranta,مهاجرة,noun
Metro,مترو,properNoun
Mac,مك,properNoun
kuxjenza,وعي,noun
fisqija,حفاظة,noun
sileżjan,سيليزي,adjective
Huseynov,هوسينوف,properNoun
Eisenberg,إيسنبيرغ,properNoun
Hollins,هلينس,properNoun
ċiniku,ساخر,adjective
erojku,بطولي,adjective
ilment,شكوى,noun
destinazzjoni,وجهة,noun
Donat,دونت,properNoun
mediku,طبي,adjective
Herald Tribune,هيرالد تريبيون,properNoun
tmi,ثمانية,numeral
Reinhard,رينهارد,properNoun
Seb,سيب,properNoun
sarġ,سرج,noun
Ramadan,رمضان,properNoun
daqshekk,هكذا,subordinatingConjunction
Wallace,والاس,properNoun
Jessica,جسيكا,properNoun
Alfredo,ألفرد,properNoun
sigriet,سري,adjective
messaġġ,رسالة,noun
Rune,رونه,properNoun
Carnegie Hall,كارنيجي هال,properNoun
Lis,ليس,properNoun
kunfidenzali,سري,adjective
ħasel,غسل,verb
Magellan,ماجلان,properNoun
disa,تاسع,numeral
għażż,ود,verb
James,جيمس,properNoun
qala,كسب,verb
Abigail,أبيغيل,properNoun
Alvin,ألفين,properNoun
Wilfred,ويلفرد,properNoun
ffirmat,موقع,adjective
Jespersen,جسبرسن,properNoun
aggressjoni,اعتداء,noun
daqq,عزف,noun
direttur,مدير,noun
kompożizzjoni,تكوين,noun
verb,فعل,noun
Veronica,فيرونيكا,properNoun
Tor,تور,properNoun
Bremen,بريمن,properNoun
Emmy,إيمي,properNoun
Brad,برد,properNoun
simbolu,رمز,noun
sors,مصدر,noun
Google,جوجل,properNoun
suċċessiv,متتابع,adjective
Marvin,مرفين,properNoun
sensittiv,حساس,adjective
Aaron,آرون,properNoun
Michael,مايكل,properNoun
ġeneralment,بشكل عام,adverb
persekuzzjoni,اضطهاد,noun
mimmat,ميمي,adjective
Kissinger,كيسينجغ,properNoun
frott,فاكهة,noun
Ħal Għargħur,حال عرفور,properNoun
Suddeuche Zeitung,سيدوتشه تسايتونغ,properNoun
forza,قوة,noun
Laursen,لورسن,properNoun
bixkilla,قفص,noun
Rigoletto,ريغوليتو,properNoun
reġistrazzjoni,تسجيل,noun
vantaġġ,فائدة,noun
kantun,إقليم,noun
Savona,سفونا,properNoun
iddaħħal,دخل,verb
bil-mogħod,ببطء,adverb
Alfonso,ألفونسو,properNoun
Kemal,كمال,properNoun
Reid,ريد,properNoun
Kroazja,كرواتيا,properNoun
Ariel,أريل,properNoun
Demirel,ديميريل,properNoun
semitiku,سامي,adjective
seraq,سرق,verb
Israel,إسرائيل,properNoun
suffiss,لاحقة,noun
Washington,واشنطن,properNoun
iddeċida,قرر,verb
Zine,زينه,properNoun
norveġiż,نرويجي,adjective
Matisse,ماتيس,properNoun
Claus,كلاوس,properNoun
Amman,عمان,properNoun
kaċċatur,صياد,noun
Allianz,اليانز,properNoun
Artemis,أرتيميس,properNoun
Lussemburgu,لوكسمبورغ,properNoun
test,اختبار,noun
Shevchenko,شيفتشينكو,properNoun
rivedut,منقح,adjective
Jonas,جونس,properNoun
Żakkarija,زكريا,properNoun
stenna,انتظر,verb
deżert,صحراء,noun
Ria,ريا,properNoun
fużjoni,انصهار,noun
komunikazzjoni,مواصلات,noun
opportunità,فرصة,noun
qabel,قبل,preposition
Mileta,ميليتا,properNoun
San Sebastjan,سان سيباستيان,properNoun
ordni,نظام,noun
ħatar,عين,verb
Knudsen,كنودسن,properNoun
sorra,حزمة,noun
qartalla,سلة,noun
Luisa,لويسا,properNoun
Lorenzo,لورنزو,properNoun
kexkex,صدم,verb
Lanfranco,لنفرانكو,properNoun
rnexxa,نجح,verb
Ricardo,ريكاردو,properNoun
Blair,بلير,properNoun
ħajt,حائط,noun
referenza,مرجع,noun
Jonny,جوني,properNoun
għani,غني,adjective
Jeanette,جنيت,properNoun
Sigma,سيغما,properNoun
Irving,إرفينغ,properNoun
Isadora,إسادورا,properNoun
Frayn,فرين,properNoun
trojjan,طروادي,adjective
turistiku,سياحي,adjective
Maradona,مارادونا,properNoun
stilistiku,أسلوبي,adjective
Antony,أنطوني,properNoun
Henriette,هنريت,properNoun
Ingrid,إنغريد,properNoun
Dragomir,دراغومير,properNoun
Bulgari,بلغاري,properNoun
Hilsdon,هيلسدن,properNoun
karbonju,كربون,noun
Young,يونغ,properNoun
Dinamo,دينامو,properNoun
Arabi,عربي,properNoun
rċieva,استلم,verb
Mamerto,مامرتو,properNoun
mela,ملأ,verb
ċifra,رقم,noun
Allan,ألن,properNoun
werqa,ورقة,noun
sarvetta,مفرش,noun
Dillon,ديلتون,properNoun
delikat,رقيق,adjective
Arneson,أرنسون,properNoun
nfetaq,فتق,verb
Khalifa,خليفة,properNoun
Vicky,فيكي,properNoun
fossa,بالوعة,noun
Dimitris,ديميتريس,properNoun
Rita,ريتا,properNoun
Josie,جوسي,properNoun
speċjalment,خاصة,adverb
kwalità,نوعية,noun
kappa,رأس,noun
deputat,نائب,noun
belt,مدينة,noun
oriġinarjament,أصلا,adverb
romantiċiżmu,رومانتيكية,noun
alfabet,أبجد,noun
VI,VI,numeral
ruħ,روح,noun
ikkompeta,نافس,verb
da Vinci,دا فينشي,properNoun
sid,صاحب,noun
żbaljat,خاطئ,adjective
bir,بئر,noun
Twitter,تويتر,properNoun
Viktor,فيكتور,properNoun
kampanja,حملة,noun
Evelyn,إيفلين,properNoun
antik,قديم,adjective
Porter,بورتر,properNoun
Ben,بين,properNoun
Monte Cassino,مونتي كاسينو,properNoun
Justice,جستيس,properNoun
Daewoo,دايو,properNoun
Vince,فينس,properNoun
Eurovision,أوروفيزيون,properNoun
Fabio,فابيو,properNoun
ikkonsista,تألف,verb
jew,أو,pronoun
Koperniku,كوبرنيكوس,properNoun
rtikeb,ركب,verb
appartament,شقة,noun
Louis,لويس,properNoun
Almaty,ألماتي,properNoun
ċert,متأكد,adjective
Oriel,أريل,properNoun
XXIII,XXIII,numeral
White House,البيت الابيض,properNoun
mexa,مشى,verb
riħ,ريح,noun
Maja,مايا,properNoun
qoxra,قشرة,noun
ntara,رأى,verb
inizjattiva,مبادرة,noun
Kung-Fu,الكونغ فو,properNoun
Sandra,ساندرا,properNoun
dilettant,هاو,adjective
Davor,دافور,properNoun
Emin,إمين,properNoun
għodda,آلة,noun
sewwieq,سائق,noun
kollox,كل شيء,pronoun
rapport,تقرير,noun
għadira,بركة,noun
Salvador,سلفادور,properNoun
Harry,هاري,properNoun
kixef,جن,verb
data,تأريخ,noun
stqarrija,بيان,noun
Mozilla,موزيلا,properNoun
Byrne,بيرن,properNoun
daniż,دانماركي,adjective
Clemens,كليمنس,properNoun
prominenza,شهرة,noun
Lokomotiv,لوكوموتيف,properNoun
kiber,كبر,verb
prova,برهان,noun
West Bromwich Albion,وست بروميتش ألبيون,properNoun
wera,أرى,verb
Agustín,أجوستين,properNoun
Kathleen,كثلين,properNoun
ġeoloġiku,جيولوجي,adjective
Għawdxi,ساكن غوزو,noun
Vinci,فينشي,properNoun
wieled,ولد,verb
fitt,مزعج,adjective
mnejn,من أين,adverb
mnejn,من أين,interrogativePronoun
mnejn,من أين,adverb
mnejn,من أين,interrogativePronoun
mnejn,من أين,adverb
mnejn,من أين,interrogativePronoun
mnejn,من أين,adverb
mnejn,من أين,interrogativePronoun
organiku,عضوي,adjective
Abril,أبريل,properNoun
anarkiku,فوضوي,adjective
ċilindriku,أسطواني,adjective
qaras,قرص,verb
Epstein,إبشتين,properNoun
professjonali,محترف,adjective
ħuta,سمكة,noun
deher,ظهر,verb
Andy,أندي,properNoun
qawl,مثل,noun
quddiesa,قداس,noun
Sichuan,سيتشوان,properNoun
Manolache,مانولاش,properNoun
Margarita,مرغريتا,properNoun
Kenneth,كينيث,properNoun
spiċċa,أنهى,verb
joniku,أيوني,adjective
Sistu,سيكستوس,properNoun
Irlanda,أيرلندا,properNoun
ewkaristiku,إفخارستي,adjective
applikazzjoni,تطبيق,noun
trigonometriku,مثلثاتي,adjective
Plovdiv,بلوفديف,properNoun
Riga,ريغا,properNoun
sitt,سادس,numeral
ċappas,لطخ,verb
Wade,ويد,properNoun
turiżmu,سياحة,noun
gaġġa,قفص,noun
Kastilija,قشتالة,properNoun
il fuq,فوقا,adverb
Gounod,غوند,properNoun
Battista,باتيستا,properNoun
Floyd,فلويد,properNoun
France,فرنسا,properNoun
negozju,حانوت,noun
ugwaljanza,مساواة,noun
L-Imsida,الإمسيدا,properNoun
ħafna,كثير,pronoun
ħafna,كثير,determiner
ħafna,كثير,pronoun
ħafna,كثير,determiner
ħafna,كثير,pronoun
ħafna,كثير,determiner
ħafna,كثير,pronoun
ħafna,كثير,determiner
astronomiku,فلكي,adjective
Luton Town,لوتون تاون,properNoun
Richards,ريشاردس,properNoun
btala,عطلة,noun
am,قبل الظهر,adverb
ixxaqqaq,صدع,verb
Rocastle,روكستل,properNoun
ratifikat,مبرم,adjective
tork,تركي,adjective
van Dyck,فان ديك,properNoun
folt,كثيف,adjective
Strauss,ستراوس,properNoun
Melzer,ملزير,properNoun
missier,أب,noun
Cristina,كريستينا,properNoun
diversi,كثير,pronoun
diversi,كثير,determiner
Martina,مرتينا,properNoun
Juana,حوانا,properNoun
Hellas,هيلس,properNoun
Hyundai,هيونداي,properNoun
invażiv,اقتحامي,adjective
sieq,ساق,noun
opponent,خصم,noun
Qaeda,قاعدة,properNoun
Fyodor,فيودور,properNoun
McShane,مكشن,properNoun
