source,target,POS
positioner,posicionador,noun
by a whisker,pels pèls,adverb
nice,bo,adjective
orthogonalisation,ortogonalització,noun
help,socórrer,verb
Isabela,Isabela,properNoun
Pujol,Pujol,properNoun
saxophonist,saxofonista,noun
Cecelia,Cecelia,properNoun
zone,qualificar,verb
all,tot,determiner
Silverman,Silverman,properNoun
inequality,desigualtat,noun
declination,declinació,noun
timber,fusta,noun
Gabarron,Gabarron,properNoun
Magali,Magali,properNoun
hearing,vista,noun
Belony,Belony,properNoun
Faber,Faber,properNoun
Asperger,Asperger,properNoun
Ballmer,Ballmer,properNoun
minimise,minimitzar,verb
Annika,Annika,properNoun
Viau,Viau,properNoun
Perrine,Perrine,properNoun
Lluis,Lluis,properNoun
Meyer,Meyer,properNoun
chlorine,clor,noun
Windows 2000,Windows 2000,properNoun
Peruvian,peruà,noun
retinaculum,retinacle,noun
Aluja,Aluja,properNoun
democrat,demòcrata,noun
shaving,d'afaitar,adjective
paradoxically,paradoxalment,adverb
endorsement,aprovació,noun
Elettra,Elettra,properNoun
Berry,Berry,properNoun
tightness,tibantor,noun
star,astre,noun
crown,corona,noun
Stonehenge,Stonehenge,properNoun
who,que,relativePronoun
who,que,pronoun
embryologist,embriòleg,noun
cyberspace,ciberespai,noun
Ireland,Ireland,properNoun
holohedron,holoedre,noun
operate,operar,verb
baking powder,llevat en pols,noun
Atherton,Atherton,properNoun
Kuwaiti,kuwaitià,adjective
Guindon,Guindon,properNoun
lune,lúnula,noun
Celide,Celide,properNoun
ppm,ppm,noun
disgust,repugnar,verb
acquiesce,accedir,verb
marginalisation,marginació,noun
Zidane,Zidane,properNoun
exhibit,prova,noun
Paddy,Paddy,properNoun
birth,naixença,noun
Andrada,Andrada,properNoun
familiarity,familiaritat,noun
Degrandpré,Degrandpré,properNoun
delimiter,delimitador,noun
Ariane,Ariane,properNoun
Brahma,Brahma,properNoun
barrel,barril,noun
Martella,Martella,properNoun
Erazo,Erazo,properNoun
Milhomme,Milhomme,properNoun
anyone,ningú,pronoun
Esclados,Esclados,properNoun
Manière,Manière,properNoun
Mondésir,Mondésir,properNoun
Bonell,Bonell,properNoun
Fluet,Fluet,properNoun
calf,vedell,noun
have,ostentar,verb
abandonment,abandonament,noun
Second World War,Primera Guerra Mundial,properNoun
ergotherapy,ergoteràpia,noun
mesocarp,mesocarpi,noun
imperceptibly,imperceptiblement,adverb
Windows 95,Windows 95,properNoun
Marcelon,Marcelon,properNoun
diagonal,diagonal,adjective
fix,apanyar,verb
heraldist,heraldista,noun
overlapped,fullat,adjective
deaden,amortir,verb
immunofluorescence,immunofluorescència,noun
contrast,contrast,noun
Geneva,Ginebra,properNoun
Curt,Curt,properNoun
Sicilia,Sicilia,properNoun
impractical,inútil,adjective
pentode,pèntode,noun
cryptic,críptic,adjective
Migneault,Migneault,properNoun
chromite,cromita,noun
pensioner,pensionista,noun
wintry,hivernal,adjective
exaction,exacció,noun
inexpensive,econòmic,adjective
utterly,absolutament,adverb
Fountain,Fountain,properNoun
patriot,patriota,noun
inspired by,inspirat en,adjective
centrifuge,centrifugar,verb
torsion,torsió,noun
hundredth,centè,adjective
eroticism,erotisme,noun
educating,educador,adjective
Beniamino,Beniamino,properNoun
round,arredonir,verb
celestial,celeste,adjective
Badía,Badía,properNoun
Danzig,Danzig,properNoun
pretty much,bastant,adverb
object,objectar,verb
fiasco,fiasco,noun
Amice,Amice,properNoun
parochial,parroquial,adjective
tuning,sintonia,noun
on sale,en venda,adverb
neutral,neutral,adjective
a while,una estona,adverb
sociolinguist,sociolingüista,noun
television,televisiu,adjective
Rocheleau,Rocheleau,properNoun
jihad,jihad,noun
middle-of-the-road,moderat,adjective
ulcer,úlcera,noun
leech,sangonera,noun
interregional,interregional,adjective
go along,anar,verb
philosophic,filosòfic,adjective
Ibarretxe,Ibarretxe,properNoun
Berenguel,Berenguel,properNoun
close by,molt a prop,adverb
surplus,sobrant,noun
cablegram,cablegrama,noun
injurious,injuriós,adjective
Fernandez,Fernandez,properNoun
triacylglyceride,triacilglicèrid,noun
force majeure,força major,noun
pseudoscience,pseudociència,noun
cabaret,cabaret,noun
March,març,noun
radioimmunoassay,radioimmunoassaig,noun
functionalist,funcionalista,noun
eosinophilia,eosinofília,noun
Barcelonès,Barcelonès,properNoun
Generosa,Generosa,properNoun
Lescault,Lescault,properNoun
lip balm,bàlsam labial,noun
Craig,Craig,properNoun
interchangeably,de manera intercambiable,adverb
Mills,Mills,properNoun
tactic,tàctica,noun
Blanch,Blanch,properNoun
oxidation,oxidació,noun
cardboard,cartolina,noun
eager,ansiós,adjective
sulfanilamide,sulfanilamida,noun
selection,selecció,noun
gingival,gingival,adjective
quadruped,quadrúpede,adjective
originator,originador,noun
Vadillo,Vadillo,properNoun
fuzzy set,conjunt difús,noun
nonexistent,inexistent,adjective
twelve,dotze,numeral
Gros,Gros,properNoun
serious,seriós,adjective
tract,tracte,noun
even more,encara més,adverb
accentuation,accentuació,noun
in absentia,in absentia,adverb
repudiation,repudiació,noun
aromatic,aromàtic,adjective
translucent,translúcid,adjective
Viviana,Viviana,properNoun
endeavour,esforç,noun
drawing,dibuix,noun
Jean-Bernard,Jean-Bernard,properNoun
Ayza,Ayza,properNoun
oscillation,oscil·lació,noun
astrologer,astròleg,noun
radiosonde,radiosonda,noun
maladjusted,inadaptat,adjective
clever,llest,adjective
Evoy,Evoy,properNoun
laurel,llorer,noun
bandwidth,ample de banda,noun
canvas,lona,noun
Mucci,Mucci,properNoun
jam,embós,noun
for control purposes,per raons de control,adverb
Déodat,Déodat,properNoun
zoning,zonificació,noun
Barber,Barber,properNoun
coup d'état,cop d'estat,noun
Guay,Guay,properNoun
blackjack,blackjack,noun
McDonnell,McDonnell,properNoun
vitrectomy,vitrectomia,noun
Deacon,Deacon,properNoun
polyposis,poliposi,noun
Aguilar,Aguilar,properNoun
ultimate,definitiu,adjective
black,negre,noun
unconstitutionally,inconstitucionalment,adverb
mix,barreja,noun
Nauru,Nauru,properNoun
living,de vida,adjective
sadist,sàdic,noun
Hamon,Hamon,properNoun
Rosales,Rosales,properNoun
trichomoniasis,tricomoniasi,noun
Manoukian,Manoukian,properNoun
good-looking,guapo,adjective
Iberia Ashland,Iberia Ashland,properNoun
device,aparell,noun
fleet,flota,noun
Karenina,Karenina,properNoun
throw,tirar,verb
Norno,Norno,properNoun
hepatology,hepatologia,noun
Cases,Cases,properNoun
Almagro,Almagro,properNoun
rumour,rumorejar,verb
megalith,megàlit,noun
Martucci,Martucci,properNoun
Dalia,Dalia,properNoun
archiphoneme,arxifonema,noun
immunoprecipitation,immunoprecipitació,noun
astrology,astrologia,noun
speaker,ponent,noun
table a motion,presentar una moció,verb
fistula,fístula,noun
Hilda,Hilda,properNoun
Talia,Talia,properNoun
Palos,Palos,properNoun
pounce,estergir,verb
essentially,essencialment,adverb
Muria,Muria,properNoun
cellulose,cel·lulosa,noun
tracheotomy,traqueotomia,noun
image,estampa,noun
ventilation,ventilació,noun
endoplasmic,endoplàsmic,adjective
repetitive,repetitiu,adjective
Renault,Renault,properNoun
expire,caducar,verb
irrigate,regar,verb
invoice,facturar,verb
remove,retirar,verb
pray,pregar,verb
Soria,Soria,properNoun
decrescendo,decrescendo,adverb
ugly,lleig,adjective
solemnity,solemnitat,noun
virtual,virtual,adjective
corpus-based machine translation,traducció automàtica basada en corpus,noun
Pavel,Pavel,properNoun
potassium,potassi,noun
trochiter,tròquiter,noun
pint,pinta,noun
shortening,abreujament,noun
Belen,Belen,properNoun
aureole,aurèola,noun
Beaudreault,Beaudreault,properNoun
remember,recordar,verb
presence,presència,noun
breast,mamella,noun
Guijarro,Guijarro,properNoun
disable,desactivar,verb
down below,avall,adverb
assessment,apreciació,noun
disconnector,seccionador,noun
van,camioneta,noun
joint,juntura,noun
anti-doping laboratory,laboratori antidopatge,noun
Hawkins,Hawkins,properNoun
phony,farsant,adjective
plunge,submergir,verb
over time,amb el temps,adverb
Fortune 500,Fortune 500,properNoun
Weightman,Weightman,properNoun
Dieujuste,Dieujuste,properNoun
Xiaoping,Xiaoping,properNoun
detection,detecció,noun
Waterford,Waterford,properNoun
disrespect,falta de respecte,noun
Rial,Rial,properNoun
bloodsucker,sangonera,noun
purple,porpra,noun
metatarsus,metatars,noun
uppermost,a sobre,adverb
distress,aflicció,noun
Paquita,Paquita,properNoun
lady,senyor,noun
cytodiaeresis,citodièresi,noun
Iorio,Iorio,properNoun
Clifton,Clifton,properNoun
Telly,Telly,properNoun
accomplish,complir,verb
Newton,Newton,properNoun
stride,camallada,noun
Montgomery,Montgomery,properNoun
redeem,bescanviar,verb
Juan de Dios,Juan de Dios,properNoun
Myrand,Myrand,properNoun
constituent,constituent,noun
Meroño,Meroño,properNoun
act,acte,noun
Pete,Pete,properNoun
camp,campament,noun
from nowhere,d'enlloc,adverb
paralinguistic,paralingüístic,adjective
blender,mescladora,noun
Niahim,Niahim,properNoun
at the front,al davant,adverb
pad,plataforma,noun
chronometer,cronòmetre,noun
opotherapy,opoteràpia,noun
lean,donar suport,verb
modifiable,modificable,adjective
Mercury,Mercuri,properNoun
feasible,factible,adjective
aquarium,aquari,noun
elect,triar,verb
serge,sarja,noun
compact,compactar,verb
cochlea,còclea,noun
unreliable,poc fiable,adjective
wall in,emmurallar,verb
Garnier,Garnier,properNoun
from Alicante,alacantí,adjective
seamlessly,sense interrupcions,adverb
outdoor,exterior,adjective
proportionality,proporcionalitat,noun
Deza,Deza,properNoun
immunocyte,immunòcit,noun
smooth,suavitzar,verb
Bosnia,Bòsnia,properNoun
intense,intens,adjective
cater,proveir,verb
Falmouth,Falmouth,properNoun
biologically,biològicament,adverb
scholar,becari,noun
Boisclair,Boisclair,properNoun
Daponte,Daponte,properNoun
Ribé,Ribé,properNoun
terrorist,terrorista,adjective
culpability,culpabilitat,noun
fibric,fíbric,adjective
Hélie,Hélie,properNoun
equalise,equalitzar,verb
Dellicolli,Dellicolli,properNoun
volatile,volàtil,adjective
Freedman,Freedman,properNoun
entertainment,entreteniment,noun
compressibility,compressibilitat,noun
superluminal,superlumínic,adjective
ride,passejada,noun
Carthage,Cartago,properNoun
Acucio,Acucio,properNoun
Elario,Elario,properNoun
alphabet,alfabet,noun
stoma,estoma,noun
Renee,Renee,properNoun
Enfield,Enfield,properNoun
decile,decil,noun
hardship,tràngol,noun
there,allí,adverb
aperture,obertura,noun
Yeung,Yeung,properNoun
then,llavors,adverb
gangster,gàngster,noun
ischium,isqui,noun
cure,cura,noun
draught,glop,noun
decrypt,desencriptar,verb
constrained,cohibit,adjective
Goyer,Goyer,properNoun
dative,datiu,adjective
on an individual basis,individualment,adverb
Rodecinda,Rodecinda,properNoun
Noel Stefani,Noel Stefani,properNoun
galaxy,galàxia,noun
iridoparalysis,iridoparàlisi,noun
Vasari,Vasari,properNoun
Landelino,Landelino,properNoun
diet,règim,noun
enclosed,tancat,adjective
fibrinolysis,fibrinòlisi,noun
mussel,musclo,noun
multiplicity,multiplicitat,noun
Gifford,Gifford,properNoun
Keeling,Keeling,properNoun
know,saber,verb
frontal,frontal,adjective
break,fer fallida,verb
Ebert,Ebert,properNoun
edition,edició,noun
fascism,feixisme,noun
hemoagglutination,hemoaglutinació,noun
sedation,sedació,noun
muon,muó,noun
asymptote,asímptota,noun
Fons,Fons,properNoun
founder,fundador,noun
homogenise,homogeneïtzar,verb
ratification,ratificació,noun
adjust,ajustar,verb
servoamplifier,servoamplificador,noun
Leonor,Leonor,properNoun
Trujillo,Trujillo,properNoun
triangulation,triangulació,noun
trade name,nom comercial,noun
secant,secant,noun
someone,algú,pronoun
semiaquatic,semiaquàtic,adjective
Al Gore,Al Gore,properNoun
Camryn,Camryn,properNoun
reservation,reserva,noun
behind,darrera,adverb
Park,Park,properNoun
Flamsteed,Flamsteed,properNoun
bed,llit,noun
without exception,sense excepcions,adverb
careenage,carenatge,noun
below,avall,adverb
ČSSD,ČSSD,noun
subcommittee,subcomissió,noun
Victoriana,Victoriana,properNoun
superelevation,peralt,noun
Guarnizo,Guarnizo,properNoun
sit down,seure,verb
compass,compàs,noun
Chris,Chris,properNoun
Cornwallis,Cornwallis,properNoun
in sum,en resum,adverb
Calafell,Calafell,properNoun
greeting,salutació,noun
blindworm,lliseta,noun
Apertium,Apertium,properNoun
Guangdong,Guangdong,properNoun
Gurrera,Gurrera,properNoun
Calixta,Calixta,properNoun
ashlar,carreu,noun
Aniano,Aniano,properNoun
Nerea,Nerea,properNoun
inspection,inspecció,noun
Jahiem,Jahiem,properNoun
Espallargas,Espallargas,properNoun
compilation,compilació,noun
canonization,canonització,noun
even so,així i tot,subordinatingConjunction
epic,èpica,noun
Domènech,Domènech,properNoun
Charlemagne,Charlemagne,properNoun
Vilagrán,Vilagrán,properNoun
sedition,sedició,noun
milking,munyiment,noun
Gillet,Gillet,properNoun
Maximilian,Maximilian,properNoun
cross-eyed,guerxo,adjective
day,dia,noun
candidate,candidat,noun
Vlentina,Vlentina,properNoun
hydrothermal,hidrotermal,adjective
discriminate,discriminar,verb
sumptuary,sumptuari,adjective
hemoblast,hemoblast,noun
Rosarito,Rosarito,properNoun
ethylcellulose,etilcel·lulosa,noun
Simona,Simona,properNoun
Tandy,Tandy,properNoun
pyrenoid,pirenoide,noun
dusk,capvespre,noun
synthesis,síntesi,noun
Julvé,Julvé,properNoun
Mendonca,Mendonca,properNoun
toning,viratge,noun
New Delhi,Nova Delhi,properNoun
outline,contorn,noun
Masana,Masana,properNoun
up until then,fins llavors,adverb
Ageo,Ageo,properNoun
Lévesque,Lévesque,properNoun
self-criticism,autocrítica,noun
Pinós,Pinós,properNoun
fragment,fragmentar,verb
Apple,Apple,properNoun
rush,pressa,noun
coffin,fèretre,noun
desulphurise,dessulfurar,verb
farming,agricultura,noun
Bernat Mas,Bernat Mas,properNoun
far too long,massa llarg,adverb
tuner,sintonitzador,noun
canalisation,canalització,noun
in dire straits,en una situació desesperada,adverb
in detail,fil per randa,adverb
rise,augment,noun
Aubrie,Aubrie,properNoun
oxidation-reduction,oxidació-reducció,noun
Malet,Malet,properNoun
Louisjeune,Louisjeune,properNoun
prominently,prominentment,adverb
Ramón Grau,Ramón Grau,properNoun
tolerable,tolerable,adjective
Picotin,Picotin,properNoun
Margarit,Margarit,properNoun
Dorothy,Dorothy,properNoun
ironic,irònic,adjective
Dembski,Dembski,properNoun
servomotor,servomotor,noun
Masoretic,masorètic,adjective
erroneously,erròniament,adverb
lactiferous,lactífer,adjective
go down,abaixar,verb
patrol,patruller,adjective
Valdez,Valdez,properNoun
Vilamala,Vilamala,properNoun
negation,negació,noun
contiguity,contigüitat,noun
Jovino,Jovino,properNoun
Joy,Joy,properNoun
temporality,temporalitat,noun
Bethesda Softworks,Bethesda Softworks,properNoun
niobium,niobi,noun
considerably,considerablement,adverb
impede,impedir,verb
statically,estàticament,adverb
splendour,esplendor,noun
morphometric,morfomètric,adjective
presage,presagiar,verb
ode,oda,noun
for my part,per part meva,adverb
Bogota,Bogotà,properNoun
Lutfy,Lutfy,properNoun
Praetorian,pretorià,adjective
vocalisation,vocalització,noun
Millie,Millie,properNoun
inspect,inspeccionar,verb
speaker,altaveu,noun
Malory,Malory,properNoun
nuisance,nosa,noun
good-for-nothing,inútil,noun
digitise,digitalitzar,verb
Nicaraguan,nicaragüenc,noun
to the detriment of,en detriment de,preposition
Gaëtan,Gaëtan,properNoun
Paul,Paul,properNoun
Chiasson,Chiasson,properNoun
courteously,amb cortesia,adverb
tunnel boring machine,tuneladora,noun
along general lines,a grans trets,adverb
stupidity,estupidesa,noun
Savion,Savion,properNoun
Arnan,Arnan,properNoun
ambient,ambiental,adjective
melomaniac,melòman,adjective
Grandbois,Grandbois,properNoun
criminally,criminalment,adverb
independently,independentment,adverb
clothes,vestimenta,noun
men's team,selecció masculina,noun
corporally,corporalment,adverb
conscription,allistament,noun
Rina,Rina,properNoun
unnaturally,innaturalment,adverb
most of the summer,gairebé tot l'estiu,adverb
immunoselection,immunoselecció,noun
Jinping,Jinping,properNoun
Olivé,Olivé,properNoun
defenceless,indefens,adjective
Pelayo,Pelayo,properNoun
Senegalese,senegalès,adjective
bind,lligar,verb
Carlos Casares,Carlos Casares,properNoun
individualised,individualitzat,adjective
young,jove,adjective
conoidal,conoidal,adjective
officer,oficial,noun
hemidemisemiquaver,semifusa,noun
penal,penal,adjective
monochord,monocord,noun
Willy,Willy,properNoun
Laredo,Laredo,properNoun
Trace,Trace,properNoun
roving,ambulant,adjective
biennium,bienni,noun
Paraguayan,paraguaià,noun
thermodynamics,termodinàmica,noun
make up,inventar,verb
Duchesneau,Duchesneau,properNoun
apperception,apercepció,noun
Fernão,Fernão,properNoun
Perfecta,Perfecta,properNoun
proconsul,procònsol,noun
Encarnación,Encarnación,properNoun
smoker,fumador,noun
Forrest,Forrest,properNoun
repayment,reembossament,noun
humor,humor,noun
efficiency,eficàcia,noun
from coast to coast,de costa a costa,adverb
respect,respecte,noun
performance,rendiment,noun
Peix,Peix,properNoun
Marko,Marko,properNoun
electrovalve,electrovàlvula,noun
Ruz,Ruz,properNoun
Malko,Malko,properNoun
a few,uns quants,pronoun
Rabbitskin,Rabbitskin,properNoun
jade,jade,noun
estrangement,distanciament,noun
Wido,Wido,properNoun
storm,atacar,verb
brilliance,brillantor,noun
Sidonia,Sidonia,properNoun
self-portrait,autoretrat,noun
Closa,Closa,properNoun
House of Representatives,cambra de Representats,noun
hobby,passatemps,noun
departamental,departamental,adjective
Gort,Gort,properNoun
in a jiffy,en un tres i no res,adverb
Dumaresq,Dumaresq,properNoun
mycosis,micosi,noun
notch,entallar,verb
coagulability,coagulabilitat,noun
hexafluoride,hexafluorur,noun
mark,puntuar,verb
Masachs,Masachs,properNoun
at their request,a petició seva,adverb
Brest-Litovsk,Brest-Litovsk,properNoun
Circassian,circassià,adjective
regenerative,regeneratiu,adjective
Arcas,Arcas,properNoun
Verna,Verna,properNoun
doughnut,dònut,noun
Chancellorsville,Chancellorsville,properNoun
wrench,clau,noun
scarlet,escarlata,noun
archaeologist,arqueòleg,noun
volt,volt,noun
identically,idènticament,adverb
Emilie,Emilie,properNoun
Marcone,Marcone,properNoun
transparently,netament,adverb
topically,tòpicament,adverb
fictionism,ficcionalisme,noun
any,cap,pronoun
swap,intercanviar,verb
Aristarco,Aristarco,properNoun
delay,retardar,verb
lifeless,inert,adjective
vulcanologist,vulcanòleg,noun
Fajardo,Fajardo,properNoun
wear,desgast,noun
attest,testificar,verb
Your Royal Highness,Vostra Altesa Reial,noun
Nelly,Nelly,properNoun
fiscally,fiscalment,adverb
ski,esquí,noun
Aquitaine,Aquitània,properNoun
wall,tàpia,noun
ichthyology,ictiologia,noun
presumable,presumible,adjective
totalitarianism,totalitarisme,noun
Christianization,cristianització,noun
inadmissibility,improcedència,noun
audacity,gosadia,noun
ridicule,ridiculitzar,verb
rugometer,rugosímetre,noun
singular,singular,adjective
Bonnie,Bonnie,properNoun
Peruga,Peruga,properNoun
denudation,denudació,noun
Moine,Moine,properNoun
Marion,Marion,properNoun
dissonant,dissonant,adjective
Efrain,Efrain,properNoun
