source,target,POS
preoțime,clergat,noun
Rosales,Rosales,properNoun
vulnerabilitate,vulnerabilitat,noun
certăreț,cerca-raons,noun
color field painting,color field painting,noun
sticlă,botella,noun
lua la revedere,acomiadar,verb
crupă,gropa,noun
logoped,logopeda,noun
hipnotism,hipnotisme,noun
în mare măsură,en gran mesura,adverb
avea grijă,cuidar,verb
penetrabil,penetrable,adjective
provizoriu,provisori,adjective
simbolist,simbolista,noun
chirilic,ciríl·lic,adjective
autorizație,autorització,noun
jucărie,joguet,noun
de cele mai multe ori,la majoria de les vegades,adverb
minte,ment,noun
îndrăgostire,enamorament,noun
încorona,coronar,verb
grecesc,grec,adjective
ipotetic,hipotètic,adjective
șervețel,torcaboques,noun
regăsi,retrobar,verb
prichindel,nan,noun
felie,tallada,noun
trilingv,trilingüe,adjective
operație,operació,noun
săvârși,cometre,verb
sincopat,sincopat,adjective
hidraulică,hidràulica,noun
muzical,musical,adjective
muzică de cameră,música de cambra,noun
vilegiatură,estiueig,noun
rețetar,receptari,noun
veghea,vetllar,verb
normă,norma,noun
magnolie,magnòlia,noun
impresionism,impressionisme,noun
ramură,branca,noun
diviziune,divisió,noun
patronat,patronat,noun
pungășie,lladronici,noun
aderent,adherent,adjective
Aguilera,Aguilera,properNoun
suport,suport,noun
coagul,coàgul,noun
jaf,robatori,noun
propriu-zis,pròpiament dit,adjective
penetrație,penetració,noun
revizionist,revisionista,adjective
registru,registre,noun
columnă,columna,noun
hidrografic,hidrogràfic,adjective
tandem,tàndem,noun
Sendra,Sendra,properNoun
deviere,desviament,noun
IX,IX,numeral
tânăr,jove,adjective
funcționare,funcionament,noun
supliment,suplement,noun
teuton,teutó,adjective
meridian,meridià,noun
turnător,delator,noun
neregularitate,irregularitat,noun
cimenta,reforçar,verb
Bernard,Bernard,properNoun
mulțumită,gràcies a,preposition
cultivare,cultiu,noun
arareori,rarament,adverb
din nefericire,per desgràcia,adverb
casoletă,cassoleta,noun
matriculare,matriculació,noun
C,C,numeral
ofensa,ofendre,verb
nu,no,adverb
moale,moll,adjective
lustrui,llustrar,verb
liliac,ratpenat,noun
preveni,prevenir,verb
hering,areng,noun
împăduri,arbrar,verb
romanizare,romanització,noun
se pare că,pel que sembla,subordinatingConjunction
capă,capa,noun
mort,mort,adjective
înăsprire,enduriment,noun
doar dacă nu,llevat que,subordinatingConjunction
Beoția,Beòcia,properNoun
extracție,extracció,noun
tărăgăna,demorar,verb
descendență,descendència,noun
obscenitate,obscenitat,noun
dărâmat,enfonsat,adjective
drept care,per la qual cosa,relativePronoun
Viorela,Viorela,properNoun
Mihai,Mihai,properNoun
josnicie,baixesa,noun
încâlcit,embullat,adjective
oxida,oxidar,verb
litiu,liti,noun
gumă,xiclet,noun
Ahaia,Acaia,properNoun
festiv,festiu,adjective
componență,composició,noun
asperitate,aspror,noun
contracandidat,contrincant,noun
mandibulă,mandíbula,noun
în altă parte,a un altre lloc,adverb
mai ales,sobretot,adverb
direcționa,orientar,verb
reputat,prestigiós,adjective
oglindă,espill,noun
goană,fugida,noun
optzeci și cinci,vuitanta-cinc,numeral
avertizare,advertència,noun
ajutor de stat,ajuda estatal,noun
turație,volta,noun
patruzeci și cinci,quaranta-cinc,numeral
operă,òpera,noun
rezultat,resultat,noun
ideologie,ideologia,noun
lungime,llargada,noun
numerar,numerari,adjective
profesa,exercir,verb
spânzurat,penjat,noun
proporțional,proporcional,adjective
ceșcuță,tassó,noun
australian,australià,adjective
în caz contrar,en cas contrari,subordinatingConjunction
dactilografiat,mecanografiat,adjective
Americi,Amèriques,properNoun
zicătoare,dita,noun
Esinencu,Esinencu,properNoun
meridional,meridional,adjective
licențiat,llicenciat,adjective
lateral,lateral,adjective
conglomerat,conglomerat,noun
găzdui,albergar,verb
ochelari,ulleres,noun
bovin,boví,adjective
Felicia,Felicia,properNoun
jugulară,jugular,noun
fildeș,ivori,noun
localiza,localitzar,verb
demilitarizare,desmilitarització,noun
cunoaștere,saber,noun
rege,rei,noun
incoruptibil,incorruptible,adjective
demasca,desemmascarar,verb
comemorativ,commemoratiu,adjective
asociație,associació,noun
magnetofon,magnetòfon,noun
tropical,tropical,adjective
argentinian,argentí,noun
friza,frisar,verb
limită,límit,noun
uda,mullar,verb
Andreea,Andreea,properNoun
Spania,Espanya,properNoun
fișare,fitxatge,noun
fortăreață,alcàsser,noun
Arizona,Arizona,properNoun
argumentație,argumentació,noun
Rebreanu,Rebreanu,properNoun
carență,mancança,noun
distribuire,distribució,noun
angaja,emprar,verb
addenda,addenda,noun
acustic,acústic,adjective
meditație,meditació,noun
hachiță,cosoneria,noun
mort,mort,noun
fascist,feixista,adjective
indult,indult,noun
vecinătate,rodalia,noun
pace,pau,noun
dinozaur,dinosaure,noun
Ciubotaru,Ciubotaru,properNoun
pe primul plan,en primer pla,adverb
închide,tancar,verb
ghirlandă,garlanda,noun
tachism,tachisme,noun
maimuță,mona,noun
secular,secular,adjective
emoțional,emocional,adjective
sorbitură,xarrup,noun
frumos,bonic,adjective
masturbație,masturbació,noun
ratificare,ratificació,noun
Ilinca,Ilinca,properNoun
Jaime,Jaime,properNoun
clarificare,aclariment,noun
acum un an,fa un any,adverb
floral,floral,adjective
nesemnificativ,insignificant,adjective
pricepe,comprendre,verb
răsfăț,delit,noun
mefiență,circumspecció,noun
intervieva,entrevistar,verb
pianist,pianista,noun
vinde,vendre,verb
Șerban,Șerban,properNoun
homeopatie,homeopatia,noun
amplificație,amplificació,noun
Rosa,Rosa,properNoun
interpelare,interpel·lació,noun
frontal,frontal,adjective
oțet,vinagre,noun
vădi,mostrar,verb
rutină,rutina,noun
împlini,complir,verb
la jumătatea,a mitjans de,preposition
modernist,modernista,noun
alfanumeric,alfanumèric,adjective
excela,excel·lir,verb
abstracționism,abstraccionisme,noun
găsi,trobar,verb
reverbera,reverberar,verb
pupă,popa,noun
profita,aprofitar,verb
zgomotos,sorollós,adjective
smarald,maragda,noun
confecție,confecció,noun
bolț,pern,noun
scorpion,escorpí,noun
Ștefănescu,Ștefănescu,properNoun
stop,stop,noun
ajustat,ajustat,adjective
concretiza,materialitzar,verb
molecular,molecular,adjective
surd,sord,noun
încrucișat,encreuat,adjective
hipoacuzie,hipoacúsia,noun
ramburs,reemborsament,noun
infirm,minusvàlid,noun
hidrologic,hidrològic,adjective
atotputernicie,omnipotència,noun
Cleopa,Cleopa,properNoun
Javier,Javier,properNoun
picior,peu,noun
zor,pressa,noun
fad,sonso,adjective
spaniol,espanyol,adjective
fruntaș,punter,adjective
manifestație,manifestació,noun
protocolar,protocol·lari,adjective
concepe,concebre,verb
ejaculare,ejaculació,noun
îndărătnicie,tossuderia,noun
bebe,bebè,noun
tencuială,arrebossat,noun
Salvador,Salvador,properNoun
croșetă,ganxet,noun
fermentat,fermentat,adjective
umbla brambura,vagar,verb
Ichim,Ichim,properNoun
cohortă,cohort,noun
avertizare,advertiment,noun
repulsie,repulsió,noun
recreație,pausa,noun
înfășura,cargolar,verb
hermină,ermini,noun
dirija,dirigir,verb
direcționa,dirigir,verb
decolorat,descolorit,adjective
expectativă,expectativa,noun
brutal,brutal,adjective
acuzație,acusació,noun
apreciativ,apreciatiu,adjective
ticălos,brivall,adjective
ultrasunet,ultrasò,noun
furuncul,botó,noun
imprecis,imprecís,adjective
sarcină,tasca,noun
blastoderm,blastoderma,noun
asincron,asíncron,adjective
Blasco,Blasco,properNoun
Wang,Wang,properNoun
neschimbat,inalterat,adjective
neurologie,neurologia,noun
ghici,endevinar,verb
beton,formigó,noun
duminică dimineață,diumenge al matí,adverb
bleumarin,blau marí,adjective
ști,saber,verb
incrustație,incrustació,noun
paranoia,paranoia,noun
calcifiere,calcificació,noun
debil,dèbil,adjective
butelie,bombona,noun
esoteric,esotèric,adjective
orienta,orientar,verb
calic,pelacanyes,noun
avea nevoie de,necessitar,verb
coerent,coherent,adjective
Norvegia,Noruega,properNoun
pacifism,pacifisme,noun
trage la răspundere,cridar a capítol,verb
Cojocar,Cojocar,properNoun
conviețui,conviure,verb
insuficient,insuficient,adjective
Marcheta,Marcheta,properNoun
denota,denotar,verb
tipologie,tipologia,noun
conciliator,conciliatori,adjective
fura,robar,verb
rezervă,reserva,noun
geriatrie,geriatria,noun
bir,tribut,noun
lua legătura,contactar,verb
comunitate,comunitat,noun
înfiora,estremir,verb
continent,continent,noun
chibrit,llumí,noun
lexic,lèxic,noun
piatră vânătă,caparrós blau,noun
exotic,exòtic,adjective
baros,maça,noun
merge,anar,verb
scuza,excusar,verb
cuantum,quantia,noun
Torrent,Torrent,properNoun
ține minte,recordar,verb
Mureșan,Mureșan,properNoun
cavaf,sabater,noun
răchită,vímet,noun
antepenultim,antepenúltim,adjective
Bejan,Bejan,properNoun
spre exemplu,com ara,adverb
soare,sol,noun
Sola,Sola,properNoun
înveli,tapar,verb
jet,doll,noun
justițiar,justicier,noun
bondar,abellot,noun
indignat,indignat,adjective
veridic,verídic,adjective
evreu,jueu,noun
asaltator,assaltant,noun
fruct,fruit,noun
clar,clar,adjective
guvernator,governador,noun
adverbializare,adverbialització,noun
pândi,sotjar,verb
scenetă,sainet,noun
Aldea,Aldea,properNoun
altera,alterar,verb
afacere instituțională,assumpte institucional,noun
boccea,fardell,noun
evalua,avaluar,verb
remunerație,remuneració,noun
smoală,quitrà,noun
Bălan,Bălan,properNoun
oficios,oficiós,adjective
cimitir,cementiri,noun
curb,corb,adjective
trage o beție,agafar un pet,verb
întuneric,foscor,noun
excrement,femta,noun
delibera,deliberar,verb
epigastru,epigastri,noun
optzeci și nouă,vuitanta-nou,numeral
pronume,pronom,noun
gitan,gitano,noun
tipărire,impressió,noun
coagulare,coagulació,noun
a priori,a priori,adverb
licurici,lluerna,noun
participare,participació,noun
monstruozitate,monstruositat,noun
Veneția,Venècia,properNoun
dos,revers,noun
veceu,vàter,noun
extraterestru,extraterrestre,adjective
Grecu,Grecu,properNoun
premeditare,premeditació,noun
înșelător,enganyós,adjective
Olteanu,Olteanu,properNoun
portocală,taronja,noun
scump,car,adjective
Pillat,Pillat,properNoun
neo-baroc,neobarroc,noun
calcificare,calcificació,noun
șanț,rasa,noun
crispat,crispat,adjective
pișcătură,pèssic,noun
apreciat,apreciat,adjective
rezolvare,resolució,noun
translator,intèrpret,noun
operațiune,operació,noun
buncăr,búnquer,noun
idol,ídol,noun
Savina,Savina,properNoun
mură,esbarzer,noun
