source,target,POS
избирање,избиране,noun
Дервишевиќ,Дервишевич,properNoun
Пазарџик,Пазарджик,properNoun
Кадриќ,Кадрич,properNoun
преминување,преминаване,noun
автомобилски,автомобилен,adjective
Османчевиќ,Османчевич,properNoun
Ѓоковиќ,Джокович,properNoun
важен,важен,adjective
Камски,Камски,properNoun
земе,вземе,verb
формирање,формиране,noun
загрозување,застрашаване,noun
официјално,официално,adverb
лек,лек,noun
доцна,късно,adverb
релативен,относителен,adjective
атмосфера,атмосфера,noun
увереност,увереност,noun
директорат,дирекция,noun
мирува,мирува,verb
везирство,везирство,noun
Штурановиќ,Щуранович,properNoun
наставник,наставник,noun
спротивстави,противопостави,verb
казнување,наказване,noun
Колаковски,Колаковски,properNoun
бис,бис,noun
принуди,принуди,verb
свечен,свещен,adjective
речник,речник,noun
идентитет,идентичност,noun
Витешкиќ,Витешкич,properNoun
немирно,немирно,adverb
едностран,едностранен,adjective
глобален,глобален,adjective
број,число,noun
Шаиновиќ,Шаинович,properNoun
шанса,шанс,noun
ромски,ромски,adjective
поправи,поправи,verb
животно,животно,noun
Чекиќ,Чекич,properNoun
Муртиќ,Муртич,properNoun
статија,статия,noun
тип,тип,noun
создава,създава,verb
промена,промяна,noun
квадратно,квадратно,adverb
ресторан,ресторант,noun
сведочење,свидетелстване,noun
помогне,помогне,verb
област,област,noun
Томашевиќ,Томашевич,properNoun
појаснува,пояснява,verb
абдицирање,абдикация,noun
Александрополис,Александрополис,properNoun
обвинителен,обвинителен,adjective
самоубива,самоубива,verb
Рамуш,Рамуш,properNoun
инвалидски,инвалиден,adjective
спонзорирано,спонсорирано,adverb
Јусиќ,Юсич,properNoun
рок,рок,noun
пишува,пише,verb
Хајровиќ,Хайрович,properNoun
Мушевски,Мушевски,properNoun
антитурски,антитурски,adjective
почне,почне,verb
издадено,издадено,adverb
стопански,стопански,adjective
нагласи,нагласи,verb
разгледа,разгледа,verb
Тезиќ,Тезич,properNoun
емоционално,емоционално,adverb
либерален,либерален,adjective
постигнување,постигане,noun
уништување,унищожаване,noun
зголемено,увеличено,adverb
брбори,бърбори,verb
расправија,разногласие,noun
ново,ново,adverb
кремирање,кремиране,noun
со,с,preposition
феноменален,феноменален,adjective
Трмчиќ,Трмчич,properNoun
целост,цялост,noun
валута,валута,noun
Смаиловиќ,Смаилович,properNoun
залаже,залъже,verb
Балкан,Балкани,noun
Тепшиќ,Тепшич,properNoun
перспектива,перспектива,noun
испадне,изпадне,verb
протестантство,протестантство,noun
софтвер,софтуер,noun
едноженство,едноженство,noun
многу,много,adverb
волја,воля,noun
трие,трие,verb
Пауновски,Пауновски,properNoun
Бечибашиќ,Бечибашич,properNoun
пункт,пункт,noun
Жељковиќ,Желкович,properNoun
Маковиќ,Макович,properNoun
очигледно,очевидно,adverb
немуслимански,немюсюлмански,adjective
окривува,окрива,verb
музика,музика,noun
намален,намален,adjective
задоволување,задоволяване,noun
церемонија,церемония,noun
чини,струва,verb
писменост,писменост,noun
Црвеновски,Цървеновски,properNoun
Живоковиќ,Живокович,properNoun
загриженост,загриженост,noun
снобовство,снобизъм,noun
прегласува,прегласува,verb
немир,бунт,noun
фокус,фокус,noun
Соломон,Соломон,properNoun
Богичевиќ,Богичевич,properNoun
престоен,предстоящ,adjective
престане,престане,verb
Месиќ,Месич,properNoun
Томичиќ,Томичич,properNoun
Мајиновиќ,Майинович,properNoun
претежно,предимно,adverb
психосоматски,психосоматичен,adjective
изложи,изложи,verb
укине,премахне,verb
учествува,участва,verb
потрае,потрае,verb
превосходство,превъзходство,noun
Бучовски,Бучовски,properNoun
Цвијовиќ,Цвийович,properNoun
заседава,заседава,verb
дисидентство,дисидентство,noun
распадне,разпадне,verb
комунистички,комунистически,adjective
Димитрис,Димитрис,properNoun
тешкотија,трудност,noun
Реџепагиќ,Реджепагич,properNoun
Хаџихасановиќ,Хаджихасанович,properNoun
танцува,танцува,verb
Симеон,Симеон,properNoun
акционерски,акционерен,adjective
ратајство,ратайство,noun
Шабанџовиќ,Шабанджович,properNoun
учење,учение,noun
претпоставува,предпоставя,verb
ослободување,освобождаване,noun
узнае,узнае,verb
Сапиќ,Сапич,properNoun
здржи,сдържи,verb
службено,служебно,adverb
издаде,издаде,verb
заштити,защити,verb
пораздвижи,пораздвижи,verb
амбиција,амбиция,noun
страшен,страшен,adjective
ракоделство,ръкоделие,noun
испланира,изпланира,verb
прогнозирање,прогнозиране,noun
Шутановиќ,Шутанович,properNoun
војна,война,noun
инфилтрација,инфилтрация,noun
суспендирање,отлагане,noun
Миливојевиќ,Миливойевич,properNoun
неопходност,необходимост,noun
затворска казна,лишаване от свобода,noun
Јовичиќ,Йовичич,properNoun
алпски,алпийски,adjective
говедарство,говедарство,noun
давање,даване,noun
наредба,заповед,noun
квадратен,квадратен,adjective
ултранационалистички,ултранационалистически,adjective
сопруга,съпруга,noun
опседне,обседне,verb
сонце,слънце,noun
средина,среда,noun
преокупација,преокупация,noun
Чераниќ,Черанич,properNoun
Нуиќ,Нуич,properNoun
одземање,отчуждаване,noun
студен,студен,adjective
сожителство,съжителство,noun
вегетаријанство,вегетарианство,noun
шокираност,шокираност,noun
распредели,разпредели,verb
гласа,гласува,verb
сортирање,сортиране,noun
производен,производен,adjective
компромитирање,компрометиране,noun
регрутирање,наемане,noun
далматински,далматински,adjective
работно,работно,adverb
стапка,равнище,noun
невозможно,невъзможно,adverb
Чериќ,Черич,properNoun
Максимовиќ,Максимович,properNoun
копродукција,копродукция,noun
починува,почива,verb
уапсен,арестуван,adjective
физибилити студија,предпроектно проучване,noun
одбранбен,отбранителен,adjective
рече,рече,verb
кантонизација,кантонизация,noun
отстрани,отстрани,verb
издавање,издаване,noun
злато,злато,noun
чичо,чичо,noun
погрешно,погрешно,adverb
разгледува,разглежда,verb
Лазански,Лазански,properNoun
Авганистан,Афганистан,properNoun
криминализирање,криминализиране,noun
изобилство,изобилство,noun
Карл,Карл,properNoun
Палавиќ,Палавич,properNoun
Медојевиќ,Медойевич,properNoun
исполнување,изпълнение,noun
Трбојевиќ,Търбойевич,properNoun
Ислами,Ислами,properNoun
фестивал,фестивал,noun
оригинално,оригинално,adverb
активизам,активизъм,noun
Становиќ,Станович,properNoun
застане,застане,verb
болница,болница,noun
активност,активност,noun
масовен,масов,adjective
елемент,елемент,noun
Рамиќ,Рамич,properNoun
Мишковиќ,Мишкович,properNoun
Вукојевиќ,Вукойевич,properNoun
забрани,забрани,verb
именува,номинира,verb
Сољачиќ,Солячич,properNoun
населба,селище,noun
грузиски,грузински,adjective
осоговски,осоговски,adjective
мандарински,мандарински,adjective
убедува,убеждава,verb
тринаесетти,тринадесети,numeral
остане,остане,verb
Тијардовиќ,Тиярдович,properNoun
готованство,готованство,noun
Чолаковски,Чолаковски,properNoun
Голубовиќ,Голубович,properNoun
седми,седми,numeral
Петрич,Петрич,properNoun
донесен,взет,adjective
екстрадирање,екстрадиране,noun
стиска,стиска,verb
оправи,оправи,verb
аксиома,аксиома,noun
Дилберовиќ,Дилберович,properNoun
препродава,препродава,verb
крунисува,коронясва,verb
политичар,политик,noun
моделирање,моделиране,noun
соочи,изправи срещу,verb
редовен,редовен,adjective
лондонски,лондонски,adjective
потпишано,подписано,adverb
аболиционизам,аболиционизъм,noun
соседски,съседски,adjective
словенски,славянски,adjective
адреналин,адреналин,noun
доверителски,доверителски,adjective
божество,божество,noun
Мујкановиќ,Муйканович,properNoun
пијанство,пиянство,noun
Лопатиќ,Лопатич,properNoun
лобира,лобира,verb
самообвинува,самообвинява,verb
Радуновиќ,Радунович,properNoun
протерување,прогонване,noun
крупно,крупно,adverb
незадоволство,незадоволство,noun
