source,target,POS
ez bete,breach,verb
garaiezin,invincible,adjective
horrez gainera,besides that,adverb
elikatu,nurture,verb
mingostu,sour,verb
sortze,conception,noun
zintzilik egon,dangle,verb
idatzi,pen,verb
errepublikano,republican,adjective
homosexual,homosexual,adjective
argi,luminous,adjective
aldarrikapen,claim,noun
eremu,area,noun
zutitu,bristle,verb
txikitu,destroy,verb
jainkotiar,divine,adjective
furfuria,fury,noun
estali,overlay,verb
zehatz,specific,adjective
izena kendu,discredit,verb
emankor,productive,adjective
gidatu,manoeuvre,verb
kasta,caste,noun
jarraitu,go on,verb
goibel,dreary,adjective
heze,humid,adjective
mailatu,bruise,verb
atzo goizean,yesterday morning,adverb
ordainketa,payment,noun
mahai,table,noun
agindu,order,noun
inor,anyone,pronoun
ugaldu,propagate,verb
hoztu,cool,verb
airean_eraman,waft,verb
onartezin,intolerable,adjective
Javier,Javier,properNoun
guzti,all,pronoun
guzti,all,determiner
guzti,all,pronoun
guzti,all,determiner
subiranotasun,sovereignty,noun
txikien,minimum,adjective
labur,pithy,adjective
astiro,slow,adverb
deabru,devil,noun
gaur egun,nowadays,adverb
astindu,flog,verb
elektroi,electron,noun
pelikula,movie,noun
astindu,wag,verb
goitik,from above,adverb
primerako,first-rate,adjective
Washington,Washington,properNoun
hainbeste,so much,pronoun
hainbeste,so much,determiner
hainbeste,so much,pronoun
hainbeste,so much,determiner
bidali,refer,verb
erraustu,incinerate,verb
istant,instant,noun
arin,speedy,adjective
balear,balearic,adjective
ezeztatu,abolish,verb
hemendik aurrera,hereinafter,adverb
Orio,Orio,properNoun
meza,Mass,noun
alkoholiko,alcoholic,noun
erritual,ritual,noun
apartamentu,apartment,noun
tradizional,traditional,adjective
bozkariatu,gladden,verb
positibo,positive,adjective
ezerez,nothing,noun
ezabatu,efface,verb
ironia,irony,noun
fin,polished,adjective
adostasun,agreement,noun
jaitsi,descend,verb
entzun,listen,verb
gay,gay,noun
ekonomiko,economic,adjective
hertsi,tight,adjective
hunkitu,shock,verb
ziztu bizian igaro,whiz,verb
zinta,tape,noun
elkartu,meet,verb
susmagarri,dubious,adjective
ulerkor,sensitive,adjective
errun,spawn,verb
kartsu,zealous,adjective
erlijio,religion,noun
gustatu,like,verb
lekualdaketa,removal,noun
fin,refined,adjective
beldurgarri,formidable,adjective
diskurtso,speech,noun
islatu,reflect,verb
oinordeko,heir,noun
trinko,intensive,adjective
txantxetan_esan,quip,verb
sobera,excessive,adjective
ordaindu,pay,verb
ezabatu,erase,verb
ezinik,be unable to,modal
aurka egin,clash,verb
hatz lodi,thumb,noun
elikagarri,food,noun
hondamen,destruction,noun
distiratu,glitter,verb
sartu,step into,verb
galiar,gallic,adjective
marmol,marble,noun
kiribil,spiral,adjective
bankari,banker,noun
eroso,snug,adjective
gutxiago,fewer,pronoun
gutxiago,fewer,determiner
gutxiago,fewer,pronoun
gutxiago,fewer,determiner
bukaera,ending,noun
ahizpa,sister,noun
etniko,ethnic,adjective
ihes,leakage,noun
ondorantz,towards the side,adverb
baketu,pacify,verb
debekatu,forbid,verb
ikaragarri,dreadful,adjective
on egin,benefit,verb
tentetu,heave,verb
aire,air,noun
demokrata,democrat,adjective
orokortze,generalisation,noun
aldetik,regarding,preposition
askatu,disengage,verb
deitu,summon,verb
atzerritar,foreigner,noun
eginbide,duty,noun
agertu,show up,verb
mutu,mute,adjective
Gasteiz,Vitoria,properNoun
iritsi,get,verb
bizirik_iraute,survival,noun
itsusi,monstrous,adjective
ausaz,perhaps,adverb
juridikoinstituzional,juridico-institutional,adjective
hasi,top,verb
doktrina,doctrine,noun
behar,necessary,adjective
errealitate,reality,noun
lehendabiziko,first,determiner
zizeilu,seat,noun
izan,result,verb
errenkada,row,noun
behatzaile,observant,adjective
gogora_ekarri,arouse,verb
betebehar,duty,noun
suizidio,suicide,noun
franko,franc,noun
zeharkako aipamen,allusion,noun
gogotsu,active,adjective
termiko,thermal,adjective
sinestezin,unbelievable,adjective
alkazar,fortress,noun
polit,beautiful,adjective
barbaro,barbaric,adjective
laurogeita bat,eighty-one,numeral
azalpen,explanation,noun
liluratu,charm,verb
hogeita hamabigarren,thirty second,determiner
erdietsi,attain,verb
errodatu,roll,verb
