source,target,POS
reflui,ebb,verb
surprizi,surprise,verb
en la turka lingvo,in Turkish,adverb
Albanio,Albania,properNoun
memkontraŭdiro,ambivalence,noun
kirgizo,Kyrgyz,noun
obligacio,bond,noun
grandioza,grandiose,adjective
masoĥismo,masochism,noun
tergloba,global,adjective
intrigema,scheming,adjective
elvenko,rout,noun
traiga,piercing,adjective
ŝtupo,terracing,noun
surmerkatigo,merchandising,noun
florbrasiko,cauliflower,noun
proksimeco,closeness,noun
ilaro,gear,noun
daŭri dum,span,verb
testi,test,verb
sekureco,security,noun
vestiĝi,clothe,verb
juĝi,judge,verb
prezentaĵo,presentation,noun
ekstremaĵo,extremity,noun
umbiliko,navel,noun
elpumpi,pump,verb
degenera,degenerative,adjective
plilongigita,extended,adjective
segi,saw,verb
emerĝanta,emergent,adjective
fetori,stink,verb
forlasaĵo,omission,noun
turnado,shoot,noun
perfektemulo,perfectionist,noun
sufiĉe,sufficiently,adverb
kirurgio,surgery,noun
dono,administration,noun
nesubpremebla,irrepressible,adjective
konstruado,construction,noun
peli,harry,verb
korŝire,heartbreaking,adverb
ŝmaco,kiss,noun
profesoro,professor,noun
surondiĝi,air,verb
variado,variation,noun
enŝuldiĝo,indebtedness,noun
kreskado,increase,noun
fervorega,passionate,adjective
suspendo,suspension,noun
Nederlando,the Netherlands,properNoun
anglo,Englishwoman,noun
akvimuna,waterproof,adjective
nepalano,Nepali,noun
elmontro,demo,noun
sulfuro,brimstone,noun
arbitraĝo,arbitrage,noun
ripetiĝo,recurrence,noun
ĉiea,pervasive,adjective
rapkanto,rap,noun
turniĝadi,wriggle,verb
materiala,material,adjective
angla,English,adjective
marteli,hammer,verb
stratrando,kerb,noun
malutilo,harm,noun
bluso,blues,noun
amara,sour,adjective
vario,variation,noun
sinkaŝemo,reserve,noun
amikeco,affection,noun
pafaĵo,projectile,noun
regule,regularly,adverb
grandamplekse,on a large scale,adverb
latero,side,noun
kaverno,cave,noun
idiomo,tongue,noun
sekvanto,adherent,noun
longa,long,adjective
historiisto,historian,noun
kurzo,quotation,noun
laboremeco,industry,noun
asisti,help,verb
tuŝeti,brush,verb
rimarkinda,noteworthy,adjective
kolektisto,collector,noun
kunvenigi,bring together,verb
dispeli,dispel,verb
fidema,trusting,adjective
implikaĵo,tangle,noun
komparo,comparison,noun
perforte,violently,adverb
investi,invest,verb
gliti,slide,verb
transformado,processing,noun
dueco,duality,noun
sorĉisto,wizard,noun
kolportisto,peddler,noun
ekleziisto,cleric,noun
malklara,muddy,adjective
amasigi,amass,verb
do,so,subordinatingConjunction
bonhavula,affluent,adjective
vetado,betting,noun
triobla,triple,adjective
peniga,costly,adjective
kolofono,colophon,noun
laŭvola,optional,adjective
afrikanse,in Afrikaans,adverb
posedado,possession,noun
glitkuri,skate,verb
glitkuri,skate,presentParticipleAdjective
biobruligaĵo,biofuel,noun
plejparte,predominantly,adverb
laŭlonge de,all along,preposition
cenzuro,censorship,noun
kontrolado,checking,noun
flua,easy,adjective
senkaŝa,flagrant,adjective
kvindek naŭ,fifty-nine,numeral
publikulino,prostitute,noun
unike,uniquely,adverb
joto,iota,noun
pledo,appeal,noun
demokratiigi,democratise,verb
malabundiĝinta,thin,adjective
spiralo,spiral,noun
filio,branch,noun
literumo,spelling,noun
maldekstrakorna,grave,adjective
rivelo,revelation,noun
rulglitilo,trolley,noun
karaktro,character,noun
lojalulo,stalwart,noun
sinteno,attitude,noun
penetra,penetrating,adjective
makulo,mark,noun
butikumi,shop,verb
rajtigi,entitle,verb
ĉeĥe,in Czech,adverb
maski,mask,verb
superŝuti,flood,verb
ponardo,dagger,noun
travipado,thrashing,noun
skorio,clinker,noun
ebriigi,intoxicate,verb
transistoro,transistor,noun
neneŭtrala,partisan,adjective
en la litova lingvo,in Lithuanian,adverb
malbaro,clearance,noun
apreci,appreciate,verb
vere,really,adverb
lernojaro,grade,noun
friponeto,rascal,noun
trup-unuo,unit,noun
koniĝinta,known,adjective
helpado,help,noun
malseketigi,dampen,verb
tiamaniere,so,adverb
eltrovaĵo,discovery,noun
ekbatali,attack,verb
eterna,perpetual,adjective
debiliga,debilitating,adjective
posedi,own,verb
konkurencanto,competition,noun
luado,tenancy,noun
korporacia,corporate,adjective
krimulo,convict,noun
forejo,backwater,noun
eksternormaĵo,abnormality,noun
tono,sounding,noun
verda,green,adjective
ekcesa,excessive,adjective
aliloke,elsewhere,adverb
laŭlonga,longitudinal,adjective
monto,mount,noun
tono,tone,noun
bastonadi,beat,verb
bastonadi,beat,presentParticipleAdjective
fero,iron,noun
seniluziigi,disappoint,verb
integreco,integrity,noun
kunigi,combine,verb
veziketo,sac,noun
pornografio,pornography,noun
spuri,trace,verb
stapladi,store,verb
kulmino,culmination,noun
fakturi,bill,verb
aranĝi,arrange,verb
sunbruligo,sunburn,noun
kalveco,baldness,noun
civilizi,civilise,verb
rafiniteco,sophistication,noun
postenigi,assign,verb
piedo,foot,noun
danĝera,harmful,adjective
pertubo,interference,noun
kiu ajn,any,determiner
vojaĝanto,traveller,noun
deshidratigi,dehydrate,verb
kosto,cost,noun
negardata,unprotected,adjective
financadi,fund,verb
vico,bout,noun
kunkirliĝi,curl,verb
diboĉaĵo,vice,noun
islande,in Icelandic,adverb
interrompo,suspension,noun
observigi,enforce,verb
kovilo,incubator,noun
bubaro,gang,noun
aljuĝota,pending,adjective
juĝejo,court,noun
homame,humane,adverb
alĝustigi,right,verb
termoplasta,thermoplastic,adjective
