source,target,POS
празорлівіца,прозорливица,noun
плюралізм,плюрализм,noun
ёдзісты,йодистый,adjective
разагрэў,разогрев,noun
Джон,Джон,properNoun
лычык,рыльце,noun
дрыль,дрель,noun
тэрмальны,термальный,adjective
кітаец,китаец,noun
мікрафотакопія,микрофотокопия,noun
грунтавы,грунтовой,adjective
блакіраванне,блокирование,noun
абрастанне,обрастание,noun
раманскі,романский,adjective
захаванне,сохранение,noun
суверэнітэт,суверенитет,noun
праблематычнасць,проблематичность,noun
прыплод,приплод,noun
жэрдзе,жердняк,noun
шасціствольны,шестиствольный,adjective
масіўны,массивный,adjective
неправамоцнасць,неправомочность,noun
марыянетачны,марионеточный,adjective
базар,базар,noun
гіравік,гиревик,noun
раніцай,утром,adverb
аорта,аорта,noun
самазванства,самозванство,noun
тэлекіраванне,телеуправление,noun
макаўка,надглавье,noun
дзесяціна,десятина,noun
крэчат,кречет,noun
юбка,юбка,noun
анамальны,аномальный,adjective
злаякасны,злокачественный,adjective
эгіда,эгида,noun
загон¹,загонка,noun
выжла,легавая,noun
сталеварэнне,сталеварение,noun
трошачкі,немножечко,adverb
утульнасць,укромность,noun
вогнезямельскі,огнеземельский,adjective
шкіпінарны,скипидарный,adjective
гяур,гяур,noun
незгінальнасць,несгибаемость,noun
захавацца,сохраниться,verb
падбор²,подбор,noun
пчальнік,пчельник,noun
чурэк,чурек,noun
гарнавы,горновщик,noun
веер,веер,noun
спортгарадок,спортгородок,noun
слюдзісты,слюдистый,adjective
сочнасць,сочность,noun
тухлы,тухлый,adjective
упор¹,упор,noun
умеранасць,умеренность,noun
шумны,шумный,adjective
заўкомавец,завкомовец,noun
надрэберны,надрёберный,adjective
шкурка,шкурка,noun
мыза,мыза,noun
дачка,дочь,noun
вагранка,вагранка,noun
манахорд,монохорд,noun
прышчэп,прищеп,noun
развязванне,развязывание,noun
тэрыторыя,территория,noun
галота,голытьба,noun
міжпалубны,междупалубный,adjective
дэлювій,делювий,noun
дэкаратарскі,декораторский,adjective
ранавы,раневой,adjective
перамігванне,перемигивание,noun
напраўду,вправду,adverb
сіпата,сипота,noun
процітуманны,противотуманный,adjective
бездакорнасць,безупречность,noun
ненаглядны,ненаглядный,adjective
альпінісцкі,альпинистский,adjective
моўны,языковой,adjective
караняплод,корнеплод,noun
хам,хам,noun
фактычна,фактически,adverb
беспрычыннасць,беспричинность,noun
эратычны,эротический,adjective
менуэт,менуэт,noun
званочак,звоночек,noun
капялюшык,шляпка,noun
акругленне,округление,noun
звалаканне,сволакивание,noun
лагагрыф,логогриф,noun
дартуар,дортуар,noun
абыходак,обиход,noun
назальны,назальный,adjective
рэжым,режим,noun
некуды,некуда,adverb
нягучны,негромкий,adjective
выраджэнне,вырождение,noun
надфіль,надфиль,noun
арыец,ариец,noun
узроўнямер,уровнемер,noun
невысокі,невысокий,adjective
баталія,баталия,noun
трагік,трагик,noun
сасмаглы,жаждущий,adjective
смажаніна,жаркое,noun
дружалюбнасць,дружественность,noun
маларухомы,малоподвижный,adjective
бегавы,беговой,adjective
шрот,шрот,noun
выдыханне,выдыхание,noun
хуліганскі,хулиганский,adjective
фактурыст,фактурист,noun
планамерна,планомерно,adverb
прыдатны,подходящий,adjective
давернік,доверитель,noun
патагонец,патагонец,noun
друшляк,дуршлаг,noun
неліквідны,неликвидный,adjective
кіслотнасць,кислотность,noun
каталонка,каталонка,noun
прыбіранне,уборка,noun
корпусны,корпусный,adjective
гумус,гумус,noun
ушыўка,вшивка,noun
садок,садик,noun
раздзімальны,раздувальный,adjective
памадны,помадный,adjective
халадзільнік,холодильник,noun
ураджэнка,уроженка,noun
ялавіна,межполосье,noun
прычэпліванне,прицеп,noun
гняздар¹,гнездарь,noun
прыстойнасць,приличие,noun
паўгадавы,полугодовой,adjective
сучка,сучка,noun
кіпарысавы,кипарисовый,adjective
паласкун,полоскун,noun
набедраны,набедренный,adjective
фібрынозны,фибринозный,adjective
міласць,милость,noun
безабаронны,беззащитный,adjective
рубака,рубака,noun
спірантны,спирантный,adjective
квяцістасць,цветистость,noun
выскварка,вытопки,noun
фотакарэспандэнт,фотокорреспондент,noun
бадзяжніцтва,бродяжничество,noun
утрапёнасць,неистовство,noun
быль,быль,noun
вастраліст,остролист,noun
пасія,пассия,noun
цвікля,ластовица,noun
рэнтавы,рентный,adjective
каталожны,каталожный,adjective
надхмарны,надоблачный,adjective
баранка,баранка,noun
неэтычны,неэтичный,adjective
лібералка,либералка,noun
трактарабудаўнічы,тракторостроительный,adjective
спасціжэнне,постижение,noun
стометроўка,стометровка,noun
эліксір,эликсир,noun
безбілетнік,безбилетник,noun
накіраванасць,направленность,noun
сырнік,творожник,noun
непраўдападобнасць,неправдоподобие,noun
траста,треста,noun
феерычны,фееричный,adjective
спакусніца,искусительница,noun
падфарнік,подфарник,noun
глушэнне,глушение,noun
вяночак,венчик,noun
філатэлізм,филателизм,noun
лапата,лопата,noun
грачаня,грачонок,noun
несумненны,несомненный,adjective
шчытковы,щитковый,adjective
фасфід,фосфид,noun
пяцідзёнка,пятидневка,noun
лякальны,лекальный,adjective
эластычнасць,эластичность,noun
тыпаж,типаж,noun
прачышчэнне,прочищение,noun
неба,небо,noun
адводка,отводка,noun
балтовы,болтовой,adjective
лакіроўка,лакировка,noun
шаўрон,шеврон,noun
паўцёмны,полутёмный,adjective
германафоб,германофоб,noun
правідэнцыялізм,провиденциализм,noun
пяцісотгоддзе,пятисотлетие,noun
політэізм,политеизм,noun
барабаншчык,барабанщик,noun
кальмар,кальмар,noun
шасціскладовы,шестисложный,adjective
порск,порск,noun
неадушаўлёны,неодушевлённый,adjective
натацыя,нравоучение,noun
перахват,перехват,noun
гірудзін,гирудин,noun
вынаходства,изобретение,noun
выверка,выверка,noun
авантурыстычны,авантюристический,adjective
загагуліна,загогулина,noun
чутка,слух,noun
гідрацэфалія,гидроцефалия,noun
свінушнік,свинарник,noun
прыступны,уязвимый,adjective
лясок,лесок,noun
тэрмакамера,термокамера,noun
мадэратар,модератор,noun
намаразь,изморозь,noun
тэктоніка,тектоника,noun
паветрадуўка,воздуходувка,noun
сінтаміцынавы,синтомициновый,adjective
выехаць,выехать,verb
брусчаты,брусчатый,adjective
рэлігійнасць,религиозность,noun
пілатажны,пилотажный,adjective
мануфактурны,мануфактурный,adjective
лінейка,долгуша,noun
домакіраўнік,управдом,noun
рэфрэн,рефрен,noun
няўдалы,неудачный,adjective
гармідар,столпотворение,noun
ампула,ампула,noun
марачны,марочный,adjective
люцік,лютик,noun
аўтарытэтны,авторитетный,adjective
вылучэнка,выдвиженка,noun
пераморгванне,перемигивание,noun
аднавокі,одноглазый,adjective
выгадны,выгодный,adjective
раскосасць,раскосость,noun
герц,герц,noun
кармацэх,кормоцех,noun
венгр,венгр,noun
збалансаванасць,сбалансированность,noun
рынапластыка,ринопластика,noun
абаранак,бублик,noun
вагул,вогул,noun
шырокакасцявы,ширококостный,adjective
радыёаматар,радиолюбитель,noun
мацыён,моцион,noun
кансерватарскі,консерваторский,adjective
