decano_noun	doyen_noun
reformación_noun	réformation_noun
paraná_propernoun	parana_propernoun
aleatorio_adjective	aléatoire_adjective
atracción_noun	attraction_noun
neutralizar_verb	neutraliser_verb
andonegi_propernoun	andonegi_propernoun
multicultural_adjective	multiculturel_adjective
allende_adverb	au-delà_adverb
codificación_noun	codification_noun
adhesión_noun	ralliement_noun
páguese-a_preposition	payez-à_preposition
akud-arnolds_propernoun	akud-arnolds_propernoun
kabardino-balkaria_propernoun	kabardino-balkarie_propernoun
aprovechar_verb	profiter-de_verb
clínica-euskalduna_propernoun	clínica-euskalduna_propernoun
marin_propernoun	marin_propernoun
turfan_propernoun	tourfan_propernoun
nizhni-novgorod_propernoun	nijni-novgorod_propernoun
unisexualidad_noun	unisexualité_noun
murn_propernoun	murn_propernoun
millón_noun	million_noun
pistolleto_propernoun	pistolleto_propernoun
toni_propernoun	toni_propernoun
macho_noun	mâle_noun
babieca_propernoun	babieca_propernoun
bombear_verb	bomber_verb
sentjens_propernoun	sentjens_propernoun
improvisar_verb	improviser_verb
espel_propernoun	espel_propernoun
eladio_propernoun	eladio_propernoun
ocultar_verb	dérober_verb
pellicer_propernoun	pellicer_propernoun
livianamente_adverb	légèrement_adverb
marco_noun	cadre_noun
mosso_propernoun	mosso_propernoun
abderrahman_propernoun	abderrahman_propernoun
discográfica_noun	maison-de-disques_noun
andris_propernoun	andris_propernoun
peluca_noun	perruque_noun
impuesto-sobre-el-valor-añadido_noun	taxe-sur-la-valeur-ajoutée_noun
felipe-ii-el-atrevido_propernoun	philippe-ii-le-hardi_propernoun
calidad_noun	qualité_noun
llenado_noun	remplissage_noun
auténtico_adjective	véritable_adjective
cobertura_noun	réseau_noun
perímetro_noun	périmètre_noun
conceder_verb	accorder_verb
gusto_noun	goût_noun
dígito_noun	chiffre_noun
consagrar_verb	vouer_verb
revolucionario_noun	révolutionnaire_noun
ámbar_noun	ambre_noun
marie-georges_propernoun	marie-georges_propernoun
orgasmo_noun	orgasme_noun
ético_adjective	éthique_adjective
munreco_propernoun	munreco_propernoun
acertar_verb	deviner_verb
surinam_propernoun	surinam_propernoun
maite_propernoun	maite_propernoun
valor-añadido_noun	valeur-ajoutée_noun
idiomático_adjective	idiomatique_adjective
