source,target,POS
gaul,yell,noun
kærkominn,welcome,adjective
afskaplega,very,adverb
leysing,thaw,noun
torfbær,farm building with turf walls,noun
sjómennska,seamanship,noun
ættgengur,hereditary,adjective
samvera,being together,noun
breyting,change,noun
dögg,dew,noun
rifbein,rib,noun
flúor,fluorine,noun
snær,snow,noun
lögsækja,sue,verb
loftsteinn,meteorite,noun
undankoma,rescue,noun
skíðishvalur,baleen whale,noun
reka,hammer,verb
fallhlífarstökk,parachuting,noun
slef,saliva,noun
búkur,belly,noun
réttarríki,rule of law,noun
endurreisnartími,reconstruction time,noun
varkár,careful,adjective
fley,boat,noun
Sandur,Sandur,properNoun
fjör,fun,noun
hor,bogie,noun
blæða,bleed,verb
klukkan átta,eight o'clock,adverb
staðarákvörðun,position,noun
ofsaveður,storm,noun
nútímalegur,modern,adjective
gleiður,unrounded,adjective
hugbúnaður,software,noun
vagga,rock,verb
framsetning,presentation,noun
óþverri,rubbish,noun
íþróttahús,gymnasium,noun
grösugur,grassy,adjective
myrkfælinn,afraid of the dark,adjective
snar,quick,adjective
samþykkur,agreed,adjective
segulsvið,magnetic field,noun
lágkúrulegur,banal,adjective
aðalvopn,main weapon,noun
úrslitaleikur,final,noun
goðafræði,mythology,noun
ginna,dupe,verb
öryggisgæsla,security,noun
klak,cackling,noun
bágborinn,poor,adjective
rafkerfi,electrical/electric system,noun
rosti,arrogance,noun
umbuna,reward,verb
fjarki,four,noun
gjörðu svo vel,bon appetit,verb
afleiðsla,derivation,noun
föngulegur,dashing,adjective
drulla,shit,verb
agi,discipline,noun
grand,damage,noun
leiðbeina,guide,verb
leiðsögn,guidance,noun
fjallafinka,brambling,noun
lasinn,poorly,adjective
hástökk,high jump,noun
misgengi,fault,noun
frjálslyndur,liberal,adjective
dýrka,worship,verb
síkka,make longer,verb
ókominn,not here yet,adjective
vanheill,sickly,adjective
rúmur,spacious,adjective
brotaþoli,victim,noun
Jón,Jón,properNoun
klossi,clog,noun
höfðinglegur,splendid,adjective
varmi,heat,noun
mannlegur,human,adjective
velmegun,prosperity,noun
hestakerra,horsecart,noun
bólusótt,smallpox,noun
skíðloga,blaze,verb
voðalega,awfully,adverb
kuldi,cold weather,noun
skor,department,noun
beitilyng,ling,noun
rækta,grow,verb
fram og aftur,back and forth,adverb
má,delete,verb
púta,hen,noun
vefnaður,fabric,noun
bílbelti,seat belt,noun
svona,like so,adjective
harðlega,strongly,adverb
fólk,person,noun
virða,respect,verb
skerpa,sharpness,noun
blindfullur,blind drunk,adjective
álfadrottning,elven queen,noun
lítilfjörlegur,insignificant,adjective
þvottur,laundry,noun
langt síðan,a while ago,adjective
og,and,coordinatingConjunction
gáfnafar,intellect,noun
slepjulegur,slimy,adjective
mæli,voice,noun
að,to,adverb
framljós,headlight,noun
Armenía,Armenia,properNoun
málverk,painting,noun
norska,Norwegian,noun
voðaverk,atrocity,noun
smurning,lubrication,noun
auðfarinn,easy to travel,adjective
fornlegur,old and worn-out,adjective
rauðbirkinn,ruddy,adjective
jarðskjálftafræðingur,earthquake scientist,noun
áætlunarferð,scheduled trip,noun
siðferðilegur,moral,adjective
pækill,pickle,noun
ásáttur,content,adjective
klemma,pinch,verb
eyðilagður,very upset,adjective
okur,usury,noun
ágúst,August,numeral
vinda,wring,verb
stybba,fug,noun
nafngift,naming,noun
meðganga,admit,verb
afrek,achievement,noun
gómsætur,delicious,adjective
þver,transverse,adjective
kjaftshögg,blow in the face,noun
þjóðhagslegur,economically advantageous,adjective
glamur,racket,noun
kallfæri,earshot,noun
skíðabrekka,ski slope,noun
skera úr,decide,verb
niður í móti,downhill,adverb
vanstilling,lack of self-control,noun
söfnun,collection,noun
uppspretta,source,noun
aðsjáll,careful about money,adjective
aðalpersóna,protagonist,noun
flýta,hurry,verb
bulla,piston,noun
sófi,couch,noun
nútímasaga,modern history,noun
tækisfall,instrumental case,noun
svæla,choke with smoke,verb
galinn,frenzied,adjective
kúrbítur,squash,noun
hún,prpers,pronoun
sársvangur,famished,adjective
stimpill,stamp,noun
gómur,gum,noun
flaga,flake,noun
lambalæri,leg of lamb,noun
markleysa,nonsense,noun
eilífð,eternity,noun
á seinni árum,in recent years,adverb
ríma,Icelandic ballad,noun
rauðkorn,red blood cell,noun
lenda,land,verb
svikahrappur,swindler,noun
stjórnkerfi,control system,noun
hvikull,changeable,adjective
baldursbrá,scentless mayweed,noun
þjóðhöfðingi,head of state,noun
magasín,magazine,noun
fágun,refinement,noun
skopparakringla,top,noun
tilfinnanlegur,severe,adjective
sprengjuflugvél,bomber,noun
sólarljós,sunlight,noun
drusla,jalopy,noun
beint,straight,adverb
laufgast,bud,verb
dagmamma,baby-minder,noun
iðn,occupation,noun
beiðni,request,noun
böllur,cock,noun
kurteis,polite,adjective
kartöflustappa,mashed potato,noun
íhuga,weigh,verb
bankamaður,banker,noun
ritdómur,review,noun
hagkvæmur,economic,adjective
yfirborð,surface,noun
ídýfa,sauce,noun
trúaður,religious,adjective
ávalur,convex,adjective
kubbur,chip,noun
sviðsetja,stage,verb
fyrirfram,in advance,adverb
stjúpmóðir,step-mother,noun
óvirða,disrespect,verb
x,x,noun
klof,crotch,noun
málning,paint,noun
hof,temple,noun
verðskulda,deserve,verb
sperra,rafter,noun
Landsbanki,Landsbanki,properNoun
rósrauður,rosy,adjective
íbúi,resident,noun
gola,breeze,noun
stjörnumerki,astrological sign,noun
pera,light bulb,noun
jarðmyndun,geological formation,noun
klaufalegur,awkward,adjective
gigt,rheumatism,noun
mótun,formation,noun
óskipulegur,disorderly,adjective
ættkvísl,tribe,noun
í stað,in place,adverb
straujárn,iron,noun
ökukennari,driving instructor,noun
tilsögn,guidance,noun
mölfiðrildi,moth,noun
vitund,consciousness,noun
einbeiting,concentration,noun
sog,sucking,noun
vaða,wade,verb
ginna,allure,verb
skíthæll,beast,noun
hakkavél,meat grinder,noun
sóli,sole,noun
ólýsanlegur,indescribable,adjective
Afríka,Africa,properNoun
sleikjó,popsicle,noun
sköllóttur,bald,adjective
xenon,xenon,noun
skýlaus,unambiguous,adjective
vakandi,awake,adjective
hljóður,silent,adjective
þorri,majority,noun
undireins,immediately,adverb
þreyja,yearn for,verb
lesning,perusal,noun
þæfa,felt,verb
ólga,swell,noun
gluggakarmur,window frame,noun
undirfyrirsögn,subtitle,noun
leitun,searching,noun
beita,use,verb
beita,use,presentParticipleAdjective
vellyktandi,perfume,noun
úthald,fishing voyage,noun
skipti,exchange,noun
dallur,'tub',noun
sleggja,sledgehammer,noun
farandverkamaður,itinerant worker,noun
handhafi,bearer,noun
lekandi,gonorrhea,noun
syngja,sing,verb
kenning,theory,noun
sjúkravitjun,doctor's visit,noun
vesæll,miserable,adjective
norðurpóll,North pole,noun
órólegur,uneasy,adjective
þunnildi,belly flap,noun
snyrtilegur,neat,adjective
gallsúr,acid,adjective
sina,withered grass,noun
áður en,before,preposition
fjalla um,discuss,verb
geggjun,madness,noun
fundinn,found,adjective
velta,roll,noun
stigatafla,scoreboard,noun
Belgi,Belgian,noun
reiknirit,algorithm,noun
þannig,thus,adverb
jólaköttur,a black cat which takes away people who are not given new clothes at Christmas,noun
fyrirhuga,plan,verb
prentun,printing,noun
snillingur,genius,noun
hvíla,bed,noun
andefni,antimatter,noun
söl,dulse,noun
léttúðugur,frivolous,adjective
samloka,shellfish,noun
sjálfur,itself,pronoun
sjálfur,itself,reflexivePersonalPronoun
stæll,style,noun
dyggur,true,adjective
fjárhaldsmaður,trustee,noun
rannsóknarverkefni,research assignment,noun
lesandi,reader,noun
rist,grid,noun
andspyrna,resistance,noun
álpappír,tin foil,noun
sjónarvottur,eyewitness,noun
frystiskápur,freezer compartment,noun
verðtrygging,indexation,noun
naglbítur,pincers,noun
sextugur,sixty years old,adjective
listgrein,art form,noun
vinur,friend,noun
glitauga,cat,noun
sjávarspendýr,marine mammal,noun
hattur,hat,noun
kryfja,dissect,verb
