decano_noun_es	doyen_noun_fr
deslizar_verb_es	glisser_verb_fr
aleatorio_adjective_es	aléatoire_adjective_fr
inmenso_adjective_es	immense_adjective_fr
neutralizar_verb_es	neutraliser_verb_fr
multicultural_adjective_es	multiculturel_adjective_fr
codificación_noun_es	codification_noun_fr
adhesión_noun_es	ralliement_noun_fr
páguese-a_preposition_es	payez-à_preposition_fr
kabardino-balkaria_propernoun_es	kabardino-balkarie_propernoun_fr
aprovechar_verb_es	profiter-de_verb_fr
clínica-euskalduna_propernoun_es	clínica-euskalduna_propernoun_fr
marin_propernoun_es	marin_propernoun_fr
turfan_propernoun_es	tourfan_propernoun_fr
nizhni-novgorod_propernoun_es	nijni-novgorod_propernoun_fr
unisexualidad_noun_es	unisexualité_noun_fr
murn_propernoun_es	murn_propernoun_fr
cobarde_adjective_es	lâche_adjective_fr
millón_noun_es	million_noun_fr
pistolleto_propernoun_es	pistolleto_propernoun_fr
toni_propernoun_es	toni_propernoun_fr
macho_noun_es	mâle_noun_fr
alboka_noun_es	alboka_noun_fr
examinación_noun_es	examination_noun_fr
bombear_verb_es	bomber_verb_fr
dependiendo-de-que_subordinatingconjunction_es	selon-que_subordinatingconjunction_fr
improvisar_verb_es	improviser_verb_fr
espel_propernoun_es	espel_propernoun_fr
antirrobo_adjective_es	antivol_adjective_fr
antenista_noun_es	installateur-d'antennes_noun_fr
livianamente_adverb_es	légèrement_adverb_fr
marco_noun_es	cadre_noun_fr
mosso_propernoun_es	mosso_propernoun_fr
stalingrado_propernoun_es	stalingrad_propernoun_fr
duramente_adverb_es	durement_adverb_fr
abderrahman_propernoun_es	abderrahman_propernoun_fr
primeramente_adverb_es	tout-d'abord_adverb_fr
calidad_noun_es	qualité_noun_fr
llenado_noun_es	remplissage_noun_fr
alborozo_noun_es	débordement-de-joie_noun_fr
auténtico_adjective_es	véritable_adjective_fr
perímetro_noun_es	périmètre_noun_fr
conceder_verb_es	accorder_verb_fr
dígito_noun_es	chiffre_noun_fr
revolucionario_noun_es	révolutionnaire_noun_fr
en-tanto-en-cuanto_subordinatingconjunction_es	tandis-que_subordinatingconjunction_fr
ámbar_noun_es	ambre_noun_fr
pensión_noun_es	pension_noun_fr
marie-georges_propernoun_es	marie-georges_propernoun_fr
molécula_noun_es	molécule_noun_fr
ético_adjective_es	éthique_adjective_fr
munreco_propernoun_es	munreco_propernoun_fr
acertar_verb_es	deviner_verb_fr
maite_propernoun_es	maite_propernoun_fr
idiomático_adjective_es	idiomatique_adjective_fr
rodilla_noun_es	genou_noun_fr
remesa_noun_es	livraison_noun_fr
ambros_propernoun_es	ambros_propernoun_fr
mermelada_noun_es	marmelade_noun_fr
detección_noun_es	dépistage_noun_fr
perú_propernoun_es	pérou_propernoun_fr
ibex_propernoun_es	ibex_propernoun_fr
oficina-de-correos_noun_es	bureau-de-poste_noun_fr
apartar_verb_es	écarter_verb_fr
goleman_propernoun_es	goleman_propernoun_fr
aguinaga_propernoun_es	aguinaga_propernoun_fr
roncoli_propernoun_es	roncoli_propernoun_fr
banco-de-españa_propernoun_es	banc-d'espagne_propernoun_fr
favorecer_verb_es	favoriser_verb_fr
alejandro-farnesio_propernoun_es	alexandre-farnèse_propernoun_fr
nido_noun_es	nid_noun_fr
areitio_propernoun_es	areitio_propernoun_fr
liberalidad_noun_es	libéralité_noun_fr
bután_propernoun_es	bhoutan_propernoun_fr
marilyn_propernoun_es	marilyn_propernoun_fr
editorial_adjective_es	éditorial_adjective_fr
blaudzun_propernoun_es	blaudzun_propernoun_fr
novedoso_adjective_es	nouveau_adjective_fr
sureste_noun_es	sud-est_noun_fr
plantel_noun_es	groupe_noun_fr
mar-de-china-oriental_propernoun_es	mer-de-chine-orientale_propernoun_fr
iliria_propernoun_es	illyrie_propernoun_fr
puig_propernoun_es	puig_propernoun_fr
pesca_noun_es	pêche_noun_fr
euro_noun_es	euro_noun_fr
sectarismo_noun_es	sectarisme_noun_fr
bbc_noun_es	bbc_noun_fr
desde-hace-tiempo_adverb_es	de-longue-main_adverb_fr
aqualung_propernoun_es	aqualung_propernoun_fr
crucial_adjective_es	crucial_adjective_fr
ludovic_propernoun_es	ludovic_propernoun_fr
pesaje_noun_es	pesage_noun_fr
perder_verb_es	rater_verb_fr
everest_propernoun_es	everest_propernoun_fr
veintena_noun_es	vingtaine_noun_fr
aldamiz_propernoun_es	aldamiz_propernoun_fr
compañera_noun_es	compagne_noun_fr
kutxaempresas_propernoun_es	kutxaempresas_propernoun_fr
asunto_noun_es	sujet_noun_fr
siesta_noun_es	sieste_noun_fr
veintinueve_numeral_es	vingt-neuf_numeral_fr
cuba_propernoun_es	cuba_propernoun_fr
turrón_noun_es	touron_noun_fr
gran-manchester_propernoun_es	greater-manchester_propernoun_fr
encerrar_verb_es	enfermer_verb_fr
ganbara_propernoun_es	ganbara_propernoun_fr
protagonista_noun_es	protagoniste_noun_fr
cuota-láctea_noun_es	quota-laitier_noun_fr
despejado_adjective_es	dégagé_adjective_fr
voluntario_noun_es	volontaire_noun_fr
txingudi_propernoun_es	txingudi_propernoun_fr
grandes-antillas_propernoun_es	grandes-antilles_propernoun_fr
atascar_verb_es	embourber_verb_fr
fluir_verb_es	couler_verb_fr
bloque_noun_es	bloc_noun_fr
adrenalina_noun_es	adrénaline_noun_fr
comunista_adjective_es	communiste_adjective_fr
adriana_propernoun_es	adriana_propernoun_fr
custodia_noun_es	garde_noun_fr
belcebú_propernoun_es	belzébuth_propernoun_fr
kingston_propernoun_es	kingston_propernoun_fr
amorós_propernoun_es	amorós_propernoun_fr
himno_noun_es	hymne_noun_fr
novecientos_numeral_es	neuf-cents_numeral_fr
cordillera-cantábrica_propernoun_es	monts-cantabriques_propernoun_fr
incompetencia_noun_es	incompétence_noun_fr
jenófanes_propernoun_es	xénophane_propernoun_fr
edf_propernoun_es	edf_propernoun_fr
al-principio_adverb_es	au-début_adverb_fr
pompeyo_propernoun_es	pompée_propernoun_fr
asiduo_adjective_es	assidu_adjective_fr
constructivo_adjective_es	constructif_adjective_fr
adarraga_propernoun_es	adarraga_propernoun_fr
hípico_adjective_es	hippique_adjective_fr
aniversario_noun_es	anniversaire_noun_fr
paseo_noun_es	promenade_noun_fr
zamora_propernoun_es	zamora_propernoun_fr
costoso_adjective_es	coûteux_adjective_fr
despliegue_noun_es	déploiement_noun_fr
segmentación_noun_es	segmentation_noun_fr
temprano_adverb_es	tôt_adverb_fr
apóstol_noun_es	apôtre_noun_fr
contribución_noun_es	contribution_noun_fr
transitoriamente_adverb_es	transitoirement_adverb_fr
polo_noun_es	pôle_noun_fr
país-de-gales_propernoun_es	pays-de-galles_propernoun_fr
antiviolencia_noun_es	antiviolence_noun_fr
recortar_verb_es	rogner_verb_fr
unión-latina_propernoun_es	union-latine_propernoun_fr
forest_propernoun_es	forest_propernoun_fr
esconder_verb_es	cacher_verb_fr
abiba-diskojaia_propernoun_es	abiba-diskojaia_propernoun_fr
strawberry-fields_propernoun_es	strawberry-fields_propernoun_fr
reparo_noun_es	objection_noun_fr
laudo_noun_es	arbitrage_noun_fr
tinta_noun_es	encre_noun_fr
opinar_verb_es	penser_verb_fr
jean-yves_propernoun_es	jean-yves_propernoun_fr
fisiológico_adjective_es	physiologique_adjective_fr
ine_propernoun_es	ine_propernoun_fr
guayana-francesa_propernoun_es	guyane_propernoun_fr
etruria_propernoun_es	étrurie_propernoun_fr
solicitud-de-ingreso_noun_es	demande-d'admission_noun_fr
consagrar_verb_es	consacrer_verb_fr
marichal_propernoun_es	marichal_propernoun_fr
becar_verb_es	bourser_verb_fr
baath_propernoun_es	baath_propernoun_fr
ciorciari_propernoun_es	ciorciari_propernoun_fr
ortuella_propernoun_es	ortuella_propernoun_fr
ostentación_noun_es	ostentation_noun_fr
gernika-lumo_propernoun_es	gernika-lumo_propernoun_fr
creer_verb_es	croire_verb_fr
en_preposition_es	chez_preposition_fr
buenas-migas_noun_es	bon-ménage_noun_fr
montgomery_propernoun_es	montgomery_propernoun_fr
arrugar_verb_es	rider_verb_fr
vermeulen_propernoun_es	vermeulen_propernoun_fr
ahora-que_subordinatingconjunction_es	maintenant-que_subordinatingconjunction_fr
escudero_propernoun_es	escudero_propernoun_fr
tumulto_noun_es	tumulte_noun_fr
desequilibrio_noun_es	déséquilibre_noun_fr
nantes_propernoun_es	nantes_propernoun_fr
medio-de-autoservicio_noun_es	moyen-de-libre-service_noun_fr
luego_adverb_es	après_adverb_fr
cómodo_adjective_es	confortable_adjective_fr
contrapeso_noun_es	contrepoids_noun_fr
akrami_propernoun_es	akrami_propernoun_fr
tercera-edad_noun_es	troisième-âge_noun_fr
velar_verb_es	voiler_verb_fr
acá_adverb_es	ici_adverb_fr
indurain_propernoun_es	indurain_propernoun_fr
askatasuna_propernoun_es	askatasuna_propernoun_fr
mayoría-de-edad_noun_es	majorité_noun_fr
sacro-imperio-romano-germánico_propernoun_es	saint-empire_propernoun_fr
aserrar_verb_es	scier_verb_fr
capital_noun_es	capitale_noun_fr
andrey_propernoun_es	andrey_propernoun_fr
selva_noun_es	forêt_noun_fr
imperialismo_noun_es	impérialisme_noun_fr
juppé_propernoun_es	juppé_propernoun_fr
magie_propernoun_es	magie_propernoun_fr
reaccionario_noun_es	réactionnaire_noun_fr
andreas_propernoun_es	andreas_propernoun_fr
ariani_propernoun_es	ariani_propernoun_fr
ah_interjection_es	ah_interjection_fr
mizel_propernoun_es	mizel_propernoun_fr
dermoepidérmico_adjective_es	dermo-épidermique_adjective_fr
ellen-johnson-sirleaf_propernoun_es	ellen-johnson-sirleaf_propernoun_fr
hípica_noun_es	hippisme_noun_fr
cañizares_propernoun_es	cañizares_propernoun_fr
acariciar_verb_es	caresser_verb_fr
retia_propernoun_es	rhétie_propernoun_fr
enano_noun_es	nain_noun_fr
best-seller_noun_es	best-seller_noun_fr
lonja_noun_es	halle_noun_fr
agazapar_verb_es	tapir_verb_fr
pago-aplazado_noun_es	paiement-différé_noun_fr
anulación_noun_es	annulation_noun_fr
martha_propernoun_es	martha_propernoun_fr
tiborta_noun_es	poignée_noun_fr
córcega_propernoun_es	corse_propernoun_fr
previsibilidad_noun_es	prévisibilité_noun_fr
actor_noun_es	acteur_noun_fr
cuota-de-abono_noun_es	frais-d'abonnement_noun_fr
perplejidad_noun_es	perplexité_noun_fr
fuga_noun_es	fuite_noun_fr
cervera_propernoun_es	cervera_propernoun_fr
eitb_propernoun_es	eitb_propernoun_fr
bermudas_propernoun_es	bermudes_propernoun_fr
isolux_propernoun_es	isolux_propernoun_fr
aer_noun_es	aer_noun_fr
falangista_adjective_es	phalangiste_adjective_fr
guezala_propernoun_es	guezala_propernoun_fr
actitud_noun_es	attitude_noun_fr
orleanesado_propernoun_es	orléanais_propernoun_fr
safran_propernoun_es	safran_propernoun_fr
daniel-ortega_propernoun_es	daniel-ortega_propernoun_fr
comisión-por-cancelación_noun_es	commission-d'annulation_noun_fr
potter_propernoun_es	potter_propernoun_fr
flash_noun_es	flash_noun_fr
pértiga_noun_es	perche_noun_fr
bishkek_propernoun_es	bichkek_propernoun_fr
civera_propernoun_es	civera_propernoun_fr
no-es-que_subordinatingconjunction_es	non-que_subordinatingconjunction_fr
trío_noun_es	trio_noun_fr
parlamentarización_noun_es	parlementarisation_noun_fr
acumulable_adjective_es	accumulable_adjective_fr
aede_noun_es	aede_noun_fr
piotr-ilich_propernoun_es	petr-ilitch_propernoun_fr
panamá_propernoun_es	panamá_propernoun_fr
rebaño_noun_es	troupeau_noun_fr
naturalización_noun_es	naturalisation_noun_fr
permach_propernoun_es	permach_propernoun_fr
primero_adjective_es	premier_adjective_fr
