source,target,POS
ilegitimamente,il·legítimament,adverb
Charrier,Charrier,properNoun
MacDermott,MacDermott,properNoun
Reny,Reny,properNoun
o qual,el qual,relativePronoun
o qual,el qual,pronoun
ctônico,ctònic,adjective
Borea,Borea,properNoun
rubefacção,rubefacció,noun
prata,argent,noun
dissimulável,dissimulable,adjective
Endesa,Endesa,properNoun
dispositivo,dispositiu,adjective
Granyena de Segarra,Granyena de Segarra,properNoun
Zaragocí,Zaragocí,properNoun
Bornemisza,Bornemisza,properNoun
inconvertível,inconvertible,adjective
altitude,altitud,noun
fundamentar,fonamentar,verb
átrio,atri,noun
correlativo,correlatiu,adjective
retweet,retweet,noun
Porta,Porta,properNoun
insofrível,insofrible,adjective
alvorada,aurora,noun
Day,Day,properNoun
vara de condão,vareta màgica,noun
tecnólogo,tecnòleg,noun
snobismo,esnobisme,noun
Viveiros,Viveiros,properNoun
Renda,Renda,properNoun
reciprocamente,recíprocament,adverb
Seller,Seller,properNoun
inconstitucional,inconstitucional,adjective
recapitalização,recapitalització,noun
Reda,Reda,properNoun
custo,cost,noun
sintáctico,sintàctic,adjective
Lin,Lin,properNoun
Backer,Backer,properNoun
Jarafuel,Jarafuel,properNoun
Walpole,Walpole,properNoun
nada,gens,adverb
Melgarejo,Melgarejo,properNoun
barroco,barroc,noun
autodestruição,autodestrucció,noun
estupendamente,estupendament,adverb
Rui,Rui,properNoun
Icaria,Icària,properNoun
tribal,tribal,adjective
tomar o café da manhã,esmorzar,verb
veterano,veterà,adjective
divisionário,divisionari,adjective
defeito,defecte,noun
levantamento,aixecament,noun
explosivo,explosiu,noun
Ismail,Ismail,properNoun
figurativo,figuratiu,adjective
ostentação,ostentació,noun
fôlego,alè,noun
Bardeen,Bardeen,properNoun
d,d,noun
Frassinetti,Frassinetti,properNoun
Holanda,Holanda,properNoun
espiralmente,espiralment,adverb
Holm,Holm,properNoun
injustiça,injustícia,noun
Áureo,Áureo,properNoun
cultural,cultural,adjective
