esclofollar_verb	éplucher_verb
grañá_propernoun	grañá_propernoun
alegret_propernoun	alegret_propernoun
pleurita_noun	pleurite_noun
filon_propernoun	filon_propernoun
gangsterisme_noun	gangstérisme_noun
troya_propernoun	troya_propernoun
bellugadissa_noun	grouillement_noun
viure_verb	vivre_verb
brochu_propernoun	brochu_propernoun
extremament_adverb	extrêmement_adverb
impartir_verb	donner_verb
catxalot_noun	cachalot_noun
isòsceles_adjective	isocèle_adjective
giovannina_propernoun	giovannina_propernoun
eddy_propernoun	eddy_propernoun
webster_propernoun	webster_propernoun
afàsia_noun	aphasie_noun
lozeau_propernoun	lozeau_propernoun
tocar_verb	atteint_verb
utopisme_noun	utopisme_noun
matte_propernoun	matte_propernoun
acb_noun	acb_noun
semifinalista_noun	demi-finaliste_noun
gratacel_noun	gratte-ciel_noun
calil_propernoun	calil_propernoun
mir_propernoun	mir_propernoun
desídia_noun	négligence_noun
perspectiva_noun	perspective_noun
madeira_propernoun	madeira_propernoun
muscular_adjective	musculaire_adjective
braçalet_noun	bracelet_noun
noferi_propernoun	noferi_propernoun
disgràfic_adjective	dysgraphique_adjective
lapolice_propernoun	lapolice_propernoun
expert_noun	expert_noun
baldo_propernoun	baldo_propernoun
aviciar_verb	vicier_verb
sard_noun	sarde_noun
essència_noun	essence_noun
influenciar_verb	influencer_verb
vestimenta_noun	habillement_noun
remodelació_noun	remodelage_noun
raia_propernoun	raia_propernoun
indagació_noun	enquête_noun
fadda_propernoun	fadda_propernoun
amb-tots-els-ets-i-uts_adverb	avec-tous-les-détails_adverb
teisme_noun	théisme_noun
siles_propernoun	siles_propernoun
normalitzar_verb	normaliser_verb
silur_noun	silure_noun
gallardón_propernoun	gallardón_propernoun
acromegàlia_noun	acromégalie_noun
palau-saverdera_propernoun	palau-saverdera_propernoun
tymoshenko_propernoun	tymoshenko_propernoun
simfonista_noun	symphoniste_noun
fasciculació_noun	fasciculation_noun
dialectologia_noun	dialectologie_noun
carro_noun	caddie_noun
franconi_propernoun	franconi_propernoun
marat_propernoun	marat_propernoun
israël_propernoun	israël_propernoun
estíptic_adjective	styptique_adjective
pic_noun	pioche_noun
pilositat_noun	pilosité_noun
ascens_noun	ascension_noun
madrid_propernoun	madrid_propernoun
pezzella_propernoun	pezzella_propernoun
pantalons-curts_noun	short_noun
simplista_adjective	simpliste_adjective
saperas_propernoun	saperas_propernoun
exonerar_verb	exonérer_verb
despòtic_adjective	despotique_adjective
ganges_propernoun	gange_propernoun
brut_adjective	souillé_adjective
retinopatia_noun	rétinopathie_noun
autojustificació_noun	autojustification_noun
setcases_propernoun	setcases_propernoun
curació_noun	curation_noun
reclutament_noun	recrutement_noun
magnitud_noun	magnitude_noun
permís_noun	permis_noun
hippy_noun	hippie_noun
drecera_noun	raccourci_noun
charo_propernoun	charo_propernoun
bernadas_propernoun	bernadas_propernoun
ductilitat_noun	ductilité_noun
repel·lir_verb	dégoûter_verb
còmode_adjective	à-votre-aise_adjective
bucovina_propernoun	bucovine_propernoun
finestra_noun	fenêtre_noun
massoteres_propernoun	massoteres_propernoun
cami_propernoun	cami_propernoun
vessant_noun	versant_noun
perditància_noun	perditance_noun
recobriment_noun	recouvrement_noun
culpable_adjective	coupable_adjective
saint-vincent-i-les-grenadines_propernoun	saint-vincent-et-les-grenadines_propernoun
atenes_propernoun	athènes_propernoun
proximal_adjective	proximal_adjective
coincidir_verb	coïncider_verb
goti_propernoun	goti_propernoun
pangermànic_adjective	pangermanique_adjective
funest_adjective	funeste_adjective
ventilatori_adjective	ventilatoire_adjective
sheppard_propernoun	sheppard_propernoun
tasca_noun	tâche_noun
parcial_adjective	partiel_adjective
algonquí_adjective	algonquin_adjective
icahel_propernoun	icahel_propernoun
al-punt_adverb	à-point_adverb
assortit_adjective	assorti_adjective
participació_noun	participation_noun
imida_noun	imide_noun
cautxú_noun	caoutchouc_noun
capar_verb	castrer_verb
leylén_propernoun	leylén_propernoun
assayag_propernoun	assayag_propernoun
reportatge_noun	reportage_noun
intermitent_adjective	intermitent_adjective
ratisbona_propernoun	ratisbonne_propernoun
rota_propernoun	rota_propernoun
unitiu_adjective	unitif_adjective
desenvolupament_noun	déroulement_noun
legitimista_adjective	loyaliste_adjective
saberut_adjective	savant_adjective
fer-morros_verb	faire-la-gueule_verb
jardim_propernoun	jardim_propernoun
ragueneaux_propernoun	ragueneaux_propernoun
yamilem_propernoun	yamilem_propernoun
assunção_propernoun	assunção_propernoun
velocista_noun	vélociste_noun
tritó_noun	triton_noun
rovirosa_propernoun	rovirosa_propernoun
cilíndric_adjective	cylindrique_adjective
