by-a-whisker_adverb	pels-pèls_adverb
nice_adjective	bo_adjective
orthogonalisation_noun	ortogonalització_noun
help_verb	socórrer_verb
pujol_propernoun	pujol_propernoun
saxophonist_noun	saxofonista_noun
cecelia_propernoun	cecelia_propernoun
zone_verb	qualificar_verb
all_determiner	tot_determiner
declination_noun	declinació_noun
timber_noun	fusta_noun
gabarron_propernoun	gabarron_propernoun
magali_propernoun	magali_propernoun
hearing_noun	vista_noun
belony_propernoun	belony_propernoun
faber_propernoun	faber_propernoun
ballmer_propernoun	ballmer_propernoun
minimise_verb	minimitzar_verb
perrine_propernoun	perrine_propernoun
lluis_propernoun	lluis_propernoun
meyer_propernoun	meyer_propernoun
chlorine_noun	clor_noun
windows-2000_propernoun	windows-2000_propernoun
peruvian_noun	peruà_noun
retinaculum_noun	retinacle_noun
aluja_propernoun	aluja_propernoun
democrat_noun	demòcrata_noun
shaving_adjective	d'afaitar_adjective
paradoxically_adverb	paradoxalment_adverb
endorsement_noun	aprovació_noun
berry_propernoun	berry_propernoun
tightness_noun	tibantor_noun
star_noun	astre_noun
crown_noun	corona_noun
stonehenge_propernoun	stonehenge_propernoun
who_relativepronoun	que_relativepronoun
who_pronoun	que_pronoun
cyberspace_noun	ciberespai_noun
holohedron_noun	holoedre_noun
baking-powder_noun	llevat-en-pols_noun
atherton_propernoun	atherton_propernoun
guindon_propernoun	guindon_propernoun
lune_noun	lúnula_noun
celide_propernoun	celide_propernoun
acquiesce_verb	accedir_verb
zidane_propernoun	zidane_propernoun
exhibit_noun	prova_noun
paddy_propernoun	paddy_propernoun
birth_noun	naixença_noun
familiarity_noun	familiaritat_noun
delimiter_noun	delimitador_noun
ariane_propernoun	ariane_propernoun
brahma_propernoun	brahma_propernoun
martella_propernoun	martella_propernoun
milhomme_propernoun	milhomme_propernoun
manière_propernoun	manière_propernoun
mondésir_propernoun	mondésir_propernoun
fluet_propernoun	fluet_propernoun
calf_noun	vedell_noun
have_verb	ostentar_verb
abandonment_noun	abandonament_noun
second-world-war_propernoun	primera-guerra-mundial_propernoun
ergotherapy_noun	ergoteràpia_noun
mesocarp_noun	mesocarpi_noun
imperceptibly_adverb	imperceptiblement_adverb
windows-95_propernoun	windows-95_propernoun
marcelon_propernoun	marcelon_propernoun
fix_verb	apanyar_verb
overlapped_adjective	fullat_adjective
immunofluorescence_noun	immunofluorescència_noun
contrast_noun	contrast_noun
curt_propernoun	curt_propernoun
impractical_adjective	inútil_adjective
pentode_noun	pèntode_noun
migneault_propernoun	migneault_propernoun
chromite_noun	cromita_noun
wintry_adjective	hivernal_adjective
exaction_noun	exacció_noun
utterly_adverb	absolutament_adverb
inspired-by_adjective	inspirat-en_adjective
centrifuge_verb	centrifugar_verb
hundredth_adjective	centè_adjective
eroticism_noun	erotisme_noun
educating_adjective	educador_adjective
beniamino_propernoun	beniamino_propernoun
celestial_adjective	celeste_adjective
badía_propernoun	badía_propernoun
object_verb	objectar_verb
fiasco_noun	fiasco_noun
amice_propernoun	amice_propernoun
parochial_adjective	parroquial_adjective
tuning_noun	sintonia_noun
on-sale_adverb	en-venda_adverb
a-while_adverb	una-estona_adverb
sociolinguist_noun	sociolingüista_noun
television_adjective	televisiu_adjective
rocheleau_propernoun	rocheleau_propernoun
jihad_noun	jihad_noun
ulcer_noun	úlcera_noun
leech_noun	sangonera_noun
go-along_verb	anar_verb
ibarretxe_propernoun	ibarretxe_propernoun
berenguel_propernoun	berenguel_propernoun
surplus_noun	sobrant_noun
cablegram_noun	cablegrama_noun
injurious_adjective	injuriós_adjective
fernandez_propernoun	fernandez_propernoun
triacylglyceride_noun	triacilglicèrid_noun
force-majeure_noun	força-major_noun
pseudoscience_noun	pseudociència_noun
march_noun	març_noun
radioimmunoassay_noun	radioimmunoassaig_noun
functionalist_noun	funcionalista_noun
eosinophilia_noun	eosinofília_noun
barcelonès_propernoun	barcelonès_propernoun
generosa_propernoun	generosa_propernoun
lescault_propernoun	lescault_propernoun
craig_propernoun	craig_propernoun
interchangeably_adverb	de-manera-intercambiable_adverb
mills_propernoun	mills_propernoun
