propietario_noun	proprietário_noun
cercanía_noun	cercania_noun
anclar_verb	ancorar_verb
monitorización_noun	monitorização_noun
lus_propernoun	lus_propernoun
estándar_adjective	regular_adjective
visibilidad_noun	visibilidade_noun
exoneración_noun	exoneração_noun
guardia_noun	guarda_noun
necio_adjective	néscio_adjective
racionalidad_noun	racionalidade_noun
millonariamente_adverb	milionariamente_adverb
desconocedor_adjective	desconhecedor_adjective
check-out_noun	check-out_noun
tranquilamente_adverb	calmamente_adverb
hijo_noun	filho_noun
reactivación_noun	reativação_noun
enemigo_noun	inimigo_noun
acoger_verb	sediar_verb
sustentablemente_adverb	sustentavelmente_adverb
hito_noun	meta_noun
seno_noun	seio_noun
rubiralta_propernoun	rubiralta_propernoun
fiera_noun	fera_noun
tiniebla_noun	treva_noun
prometido_noun	noivo_noun
indirectamente_adverb	indiretamente_adverb
a-perro-flaco-todo-son-pulgas_adverb	desgraça-pouca-é-bobagem_adverb
problemático_adjective	problemático_adjective
sonido_noun	som_noun
vanamente_adverb	em-vão_adverb
represivo_adjective	repressivo_adjective
dilución_noun	diluição_noun
arrogancia_noun	arrogância_noun
cariñoso_adjective	carinhoso_adjective
temprano_adjective	temporão_adjective
extruir_verb	extruir_verb
sombrero_noun	chapéu_noun
lanzar_verb	lançar_verb
pareja_noun	dupla_noun
hamaca_noun	rede_noun
pensión_noun	pensão_noun
asentir_verb	assentir_verb
elasticidad_noun	elasticidade_noun
chao_adverb	tchau_adverb
clausuradamente_adverb	interditadamente_adverb
elemental_adjective	elementar_adjective
al-por-menor_adverb	a-varejo_adverb
infarmed_propernoun	infarmed_propernoun
mello_propernoun	mello_propernoun
valientemente_adverb	valentemente_adverb
lituania_propernoun	lituânia_propernoun
ovación_noun	ovação_noun
póstumamente_adverb	postumamente_adverb
bellamente_adverb	belamente_adverb
sedimentar_verb	sedimentar_verb
depresivamente_adverb	depressivamente_adverb
configurar_verb	configurar_verb
microbiano_adjective	microbiano_adjective
aclimatar_verb	aclimatar_verb
oriente-medio_propernoun	médio-oriente_propernoun
maleabilidad_noun	maleabilidade_noun
indicación_noun	indicação_noun
dentado_adjective	dentado_adjective
cerca-de_adverb	para-perto-de_adverb
aisladamente_adverb	isoladamente_adverb
vicente_propernoun	vicente_propernoun
empaque_noun	empacotamento_noun
astrónomo_noun	astrônomo_noun
dependente_adjective	dependente_adjective
presentar_verb	apresentar_verb
url_noun	url_noun
microeconómico_adjective	microeconómico_adjective
demás_noun	demais_noun
litigar_verb	litigar_verb
frecuentar_verb	frequentar_verb
cuál_adverb	qual_adverb
cuál_relativepronoun	qual_relativepronoun
cuál_pronoun	qual_pronoun
cuál_interrogativepronoun	qual_interrogativepronoun
subscriptor_noun	assinante_noun
lacra_noun	marca_noun
reproducción_noun	reprodução_noun
duplicación_noun	duplicação_noun
sabio_adjective	sábio_adjective
wifredo_propernoun	wifredo_propernoun
inquebrantablemente_adverb	inquebrantavelmente_adverb
sutil_adjective	subtil_adjective
rueda_noun	roda_noun
talar_verb	devastar_verb
teclado_noun	teclado_noun
ghana_propernoun	ghana_propernoun
diseñar_verb	desenhar_verb
fatalidad_noun	fatalidade_noun
canónicamente_adverb	canonicamente_adverb
alpaca_noun	alpaca_noun
escariado_noun	rebaixo_noun
sudafricano_adjective	sul-africano_adjective
gallopín_propernoun	gallopín_propernoun
carbonizar_verb	carbonizar_verb
consecuentemente_adverb	conseqüentemente_adverb
reciamente_adverb	rijamente_adverb
afonso_propernoun	afonso_propernoun
ca_noun	ca_noun
concretización_noun	concretização_noun
mantenimiento_noun	manutenção_noun
dosificación_noun	dosificação_noun
nobleza_noun	nobreza_noun
reasociar_verb	reassociar_verb
simpáticamente_adverb	simpaticamente_adverb
mano-dura_adverb	mão-de-ferro_adverb
responsablemente_adverb	responsavelmente_adverb
tallar_verb	talhar_verb
machacar_verb	esmagar_verb
soñar_verb	sonhar_verb
francia_propernoun	frança_propernoun
providencia_noun	providência_noun
mayoritario_adjective	majoritário_adjective
correcto_adjective	correto_adjective
sucesivamente_adverb	sucessivamente_adverb
defraudador_noun	fraudador_noun
terrible_adjective	terrível_adjective
muy-cercano_adverb	muito-próximo_adverb
analógicamente_adverb	analogicamente_adverb
ligar_verb	engatar_verb
túnez_propernoun	tunísia_propernoun
extraer_verb	extrair_verb
viaje_noun	viagem_noun
subcategoría_noun	subcategoria_noun
escuela_noun	escola_noun
centro-hospitalario_noun	centro-hospitalar_noun
adn_noun	dna_noun
correctamente_adverb	corretamente_adverb
