source,target,POS
apelovati,апелира,verb
parlamentarac,парламентарец,noun
blisko,блиско,adverb
preorijentacija,преориентација,noun
kuharski,готварски,adverb
pod,под,preposition
Zdravković,Здравковиќ,properNoun
lihtenštajnski,лихтенштански,adverb
Šarkić,Шаркиќ,properNoun
služba,служба,noun
izbor,избор,noun
Vraniškovski,Вранишковски,properNoun
radije,повеќе,adverb
hilendarski,хилендарски,adjective
uzvraćati,возвраќа,verb
plavo,сино,adverb
Radivojević,Радивојевиќ,properNoun
ekipa,тим,noun
harmonizacija,хармонизирање,noun
Dujarić,Дујариќ,properNoun
hotimično,намерено,adverb
kontrolni,контролен,adjective
Horvatović,Хорватовиќ,properNoun
sporno,спорно,adverb
milimetarski,милиметарски,adjective
zbilja,навистина,adverb
teniski,тениски,adjective
razuznavački,разузнавачки,adjective
proislamski,происламски,adverb
špediterski,шпедитерски,adjective
protiv,против,preposition
biser,бисер,noun
Baković,Баковиќ,properNoun
rezultirati,резултира,verb
euroatlanski,евроатлански,adjective
rom,ром,noun
oštetiti,оштети,verb
turnir,турнир,noun
Dragić,Драгиќ,properNoun
mračno,мрачно,adverb
kolektivan,колективен,adjective
osoblje,екипаж,noun
lagano,лесно,adverb
opstrukcija,опструкција,noun
gostoprimstvo,гостопримливост,noun
poštovanje,почит,noun
zaražavanje,заразување,noun
raspoloženo,расположено,adverb
uhapšen,уапсен,adjective
falsifikacija,фалсификување,noun
uništiti,уништи,verb
opće,општо,adverb
put,пат,noun
napraviti,направи,verb
putnik,патник,noun
rang,ранг,noun
infrastrukturni,инфраструктурен,adjective
trenutak,момент,noun
subota,сабота,noun
rakija,ракија,noun
zrakoplovno,воздухопловно,adverb
rođak,роднина,noun
jesti,јаде,verb
sred,сред,preposition
manevrirati,маневрира,verb
Davinić,Давиниќ,properNoun
Lalić,Лалиќ,properNoun
nasljednik,наследник,noun
doplaćivati,доплаќа,verb
italijanski,италијански,adverb
Mladenovski,Младеновски,properNoun
potpukovnik,потполковник,noun
ručni,рачен,adjective
ampermetar,амперметар,noun
otsustvovati,отсуствува,verb
predvidjeti,предвиди,verb
unifikacija,унификација,noun
presuđivati,пресудува,verb
formalno,формално,adverb
Dragičević,Драгичевиќ,properNoun
