ilegitimamente_adverb	il·legítimament_adverb
macdermott_propernoun	macdermott_propernoun
reny_propernoun	reny_propernoun
o-qual_pronoun	el-qual_pronoun
borea_propernoun	borea_propernoun
rubefacção_noun	rubefacció_noun
prata_noun	argent_noun
endesa_propernoun	endesa_propernoun
dispositivo_adjective	dispositiu_adjective
bornemisza_propernoun	bornemisza_propernoun
inconvertível_adjective	inconvertible_adjective
altitude_noun	altitud_noun
correlativo_adjective	correlatiu_adjective
porta_propernoun	porta_propernoun
alvorada_noun	aurora_noun
vara-de-condão_noun	vareta-màgica_noun
tecnólogo_noun	tecnòleg_noun
snobismo_noun	esnobisme_noun
viveiros_propernoun	viveiros_propernoun
reciprocamente_adverb	recíprocament_adverb
seller_propernoun	seller_propernoun
inconstitucional_adjective	inconstitucional_adjective
recapitalização_noun	recapitalització_noun
reda_propernoun	reda_propernoun
sintáctico_adjective	sintàctic_adjective
backer_propernoun	backer_propernoun
nada_adverb	gens_adverb
melgarejo_propernoun	melgarejo_propernoun
barroco_noun	barroc_noun
autodestruição_noun	autodestrucció_noun
rui_propernoun	rui_propernoun
tribal_adjective	tribal_adjective
divisionário_adjective	divisionari_adjective
explosivo_noun	explosiu_noun
ismail_propernoun	ismail_propernoun
figurativo_adjective	figuratiu_adjective
ostentação_noun	ostentació_noun
fôlego_noun	alè_noun
bardeen_propernoun	bardeen_propernoun
d_noun	d_noun
frassinetti_propernoun	frassinetti_propernoun
espiralmente_adverb	espiralment_adverb
áureo_propernoun	áureo_propernoun
cultural_adjective	cultural_adjective
marenger_propernoun	marenger_propernoun
mucci_propernoun	mucci_propernoun
concentracionário_adjective	concentracionari_adjective
howells_propernoun	howells_propernoun
bragulat_propernoun	bragulat_propernoun
amplo_adjective	ampli_adjective
berengário_propernoun	berengário_propernoun
sistematicamente_adverb	sistemàticament_adverb
mitológico_adjective	mitològic_adjective
capodicasa_propernoun	capodicasa_propernoun
karamanou_propernoun	karamanou_propernoun
recta_noun	recta_noun
vernetti_propernoun	vernetti_propernoun
conceptualista_adjective	conceptualista_adjective
bergkamp_propernoun	bergkamp_propernoun
inconsciente_adjective	inconscient_adjective
argentin_propernoun	argentin_propernoun
java_propernoun	java_propernoun
