positioner	sutra	noun	0.99
by a whisker	de ce pas	adverb	0.74
nice	enchanté	adjective	0.97
orthogonalisation	prix Goncourt	noun	0.99
help	aider	verb	0.99
Isabela	Isabela	properNoun	0.99
Pujol	Pujol	properNoun	1.0
saxophonist	saxophoniste	noun	0.95
Cecelia	Cecelia	properNoun	0.99
zone	qualifier	verb	0.99
all	tout	determiner	0.99
Silverman	Silverman	properNoun	0.98
inequality	inégalité	noun	0.99
declination	déclination	noun	0.99
timber	bois ligno	noun	0.99
Gabarron	Gabarron	properNoun	0.99
Magali	Magali	properNoun	0.98
hearing	écoute	noun	0.93
Belony	Belony	properNoun	0.99
Faber	Faber	properNoun	0.99
Asperger	Asperger	properNoun	0.99
Ballmer	Ballmer	properNoun	0.99
minimise	minimiser	verb	0.84
Annika	Annika	properNoun	0.99
Viau	Viau	properNoun	0.97
Perrine	Perrine	properNoun	0.98
Lluis	Lluis	properNoun	0.96
Meyer	Meyer	properNoun	0.99
chlorine	chlore	noun	1.0
Windows 2000	Windows 2000	properNoun	0.99
Peruvian	Péruvien	noun	0.99
retinaculum	méprobamate	noun	0.99
Aluja	Aluja	properNoun	0.99
democrat	démocrate	noun	0.99
shaving	de zarautz	adjective	0.97
paradoxically	paradoxalement	adverb	1.0
endorsement	approbation	noun	0.92
Elettra	Elettra	properNoun	0.99
Berry	Berry	properNoun	0.98
tightness	raidissement	noun	0.87
star	star	noun	0.99
crown	couronne	noun	0.94
Stonehenge	Saint Georges	properNoun	0.99
who	qui	relativePronoun	0.99
who	qui	pronoun	1.0
embryologist	Pueblo	noun	0.95
cyberspace	cyberespace	noun	0.92
Ireland	Irlande	properNoun	0.99
holohedron	miliseconde	noun	0.98
operate	opérer	verb	0.94
baking powder	arien	noun	0.97
Atherton	Atherton	properNoun	0.99
Kuwaiti	koweïtien	adjective	0.99
Guindon	Guindon	properNoun	0.98
lune	grammaire comparée	noun	0.95
Celide	Celide	properNoun	0.99
ppm	point d'honneur	noun	0.91
disgust	répugner	verb	0.99
acquiesce	accéder	verb	0.96
marginalisation	marginalisation	noun	0.99
Zidane	Zidane	properNoun	0.98
exhibit	pièce à conviction	noun	0.9
Paddy	Stains	properNoun	0.99
birth	naissance	noun	0.98
Andrada	Andrada	properNoun	0.97
familiarity	familiarité	noun	0.91
Degrandpré	Degrandpré	properNoun	0.99
delimiter	triplicata	noun	0.95
Ariane	Sozialista Abertzaleak	properNoun	0.96
Brahma	Lawrence d'Arabie	properNoun	0.99
barrel	barrique	noun	0.99
Martella	Martella	properNoun	0.99
Erazo	Erazo	properNoun	0.98
Milhomme	Milhomme	properNoun	0.99
anyone	quiconque	pronoun	0.97
Esclados	Agustines	properNoun	0.99
Manière	Manière	properNoun	0.99
Mondésir	Mondésir	properNoun	0.99
Bonell	Bonell	properNoun	0.99
Fluet	Fluet	properNoun	0.98
calf	génisse	noun	0.97
have	tabler sur	verb	0.99
abandonment	abandonnement	noun	0.95
Second World War	Première Guerre mondiale	properNoun	0.93
ergotherapy	ergothérapie	noun	0.99
mesocarp	picotin	noun	0.95
imperceptibly	imperceptiblement	adverb	0.99
Windows 95	Windows 95	properNoun	0.99
Marcelon	Ascension	properNoun	0.99
diagonal	diagonal	adjective	0.99
fix	rafistoler	verb	0.99
heraldist	héraldiste	noun	0.99
